"Total signals"	"Cell type"
"orange"	0	""
"blue"	13	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia Tcells"
"red"	0	""
"plum1"	1	" Mastcells"
"darkolivegreen"	0	""
"magenta"	3	" Cortex_Endothelial_Neuroexpresso Endothelial Hippocampus_MicrogliaDeactivation_Neuroexpresso"
"lightsteelblue1"	0	""
"lightcyan1"	0	""
"grey60"	0	""
"tan"	0	""
"turquoise"	0	""
"steelblue"	0	""
"white"	0	""
"lightyellow"	0	""
"cyan"	0	""
"pink"	0	""
"darkgreen"	0	""
"darkmagenta"	3	" Astrocyte Ependymal Ex6"
"skyblue"	6	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cytotoxiccells Hippocampus_MicrogliaActivation_Neuroexpresso Neutrophils"
"darkred"	0	""
"orangered4"	0	""
"brown"	0	""
"darkgrey"	2	" Dopaminergic_Neuron Dopaminergic"
"green"	0	""
"greenyellow"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"purple"	0	""
"darkturquoise"	0	""
"saddlebrown"	0	""
"lightgreen"	0	""
"mediumpurple3"	4	" Astrocyte Ex7 Interneuron Neuron_Interneuton"
"paleturquoise"	1	" Oligodendrocyte"
"midnightblue"	0	""
"darkorange"	0	""
"violet"	0	""
"lightcyan"	0	""
"royalblue"	1	" Mural"
"yellow"	0	""
"black"	0	""
"sienna3"	0	""
"skyblue3"	1	" DARMANIS_FETAL1"
"yellowgreen"	0	""
