"Total signals"	"Cell type"
"skyblue3"	0	""
"thistle2"	0	""
"lightgreen"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"lightcyan"	0	""
"pink"	0	""
"grey"	0	""
"darkred"	2	" Dopaminergic_Neuron Dopaminergic"
"brown"	0	""
"lavenderblush3"	5	" Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia"
"tan"	0	""
"green"	0	""
"midnightblue"	0	""
"darkgreen"	0	""
"mediumpurple3"	6	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso"
"skyblue"	0	""
"orange"	0	""
"yellow"	5	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"navajowhite2"	0	""
"coral1"	0	""
"magenta"	0	""
"cyan"	0	""
"grey60"	0	""
"floralwhite"	0	""
"plum2"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"antiquewhite4"	0	""
"steelblue"	0	""
"thistle1"	0	""
"royalblue"	3	" Astrocyte Cerebellum_Bergmann_Neuroexpresso DARMANIS_ASTROCYES"
"darkorange"	1	" Oligodendrocyte"
"plum1"	6	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso Cortex_OligoPrecursors_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"darkseagreen4"	0	""
"darkorange2"	0	""
"darkmagenta"	0	""
"lightpink4"	1	" Mural"
"honeydew1"	9	" Cortex_GabaPV_Neuroexpresso D_NEuronCom5 GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso In5 In6 Interneuron Neuroexpresso_CortexD_GabaPV Neuron_Interneuton"
"palevioletred3"	7	" Cortex_GabaVIPReln_Neuroexpresso DARMANIS_MIXTURENEUASTRO Ex1 In4 Interneuron Neuroexpresso_CortexD_GabaVIPReln Neuron_Interneuton"
"paleturquoise"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"sienna3"	0	""
"darkslateblue"	0	""
"bisque4"	0	""
"greenyellow"	1	" Astrocyte"
"ivory"	4	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Pyramidal_CA1"
"darkturquoise"	2	" Dopaminergic_Neuron Dopaminergic"
"brown4"	0	""
"darkgrey"	5	" CA1_Pyramidal CA1.Pyramidal Ex1 Neuron_Pyramidal_CA1 Pyramidal_CA1"
"blue"	4	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Pyramidal_CA1"
"salmon"	0	""
"coral2"	0	""
"violet"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"lightcyan1"	2	" Dopaminergic_Neuron_SN Dopaminergic"
"white"	0	""
"lightsteelblue1"	0	""
"maroon"	1	" Cerebellum_Microglia_Neuroexpresso"
"darkolivegreen"	0	""
