"Total signals"	"Cell type"
"greenyellow"	0	""
"brown4"	0	""
"white"	0	""
"turquoise"	0	""
"sienna3"	0	""
"orangered3"	0	""
"pink"	0	""
"honeydew1"	0	""
"magenta"	0	""
"mediumorchid"	0	""
"red"	4	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Mural"
"steelblue"	1	" Cerebellum_Purkinje_Neuroexpresso"
"plum1"	0	""
"darkred"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"blue"	0	""
"thistle2"	0	""
"green"	0	""
"brown"	0	""
"lightyellow"	0	""
"darkmagenta"	0	""
"darkturquoise"	8	" Cerebellum_Basket_Neuroexpresso Ex6 Interneuron Neuron_Interneuton Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"lightcyan1"	0	""
"yellowgreen"	0	""
"salmon4"	0	""
"darkgreen"	0	""
"royalblue"	0	""
"darkorange2"	4	" Cerebellum_Microglia_Neuroexpresso Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"darkolivegreen"	0	""
"purple"	0	""
"maroon"	0	""
"ivory"	0	""
"lightsteelblue1"	0	""
"paleturquoise"	0	""
"antiquewhite4"	0	""
"navajowhite2"	2	" Astrocyte DARMANIS_ASTROCYES"
"plum2"	0	""
"skyblue2"	0	""
"black"	5	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"orangered4"	9	" Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia Neutrophils"
"skyblue"	0	""
"skyblue1"	0	""
"darkgrey"	0	""
"saddlebrown"	0	""
"salmon"	5	" DARMANIS_NEUROND Dopaminergic_Neuron_SN Dopaminergic Interneuron Neuron_Interneuton"
"palevioletred3"	0	""
"tan"	0	""
"mediumpurple2"	0	""
"plum"	0	""
"lightcyan"	0	""
"darkorange"	0	""
"darkslateblue"	0	""
"bisque4"	0	""
"skyblue3"	0	""
"coral1"	0	""
"coral2"	0	""
"cyan"	0	""
"darkseagreen4"	4	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"violet"	0	""
"mediumpurple3"	0	""
"yellow"	0	""
"orange"	4	" Astrocyte Cerebellum_Bergmann_Neuroexpresso DARMANIS_ASTROCYES In1"
"lavenderblush3"	1	" Astrocyte"
"midnightblue"	0	""
"yellow4"	0	""
"thistle1"	0	""
