"Total signals"	"Cell type"
"red"	1	" Cerebellum_Purkinje_Neuroexpresso"
"sienna3"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"lightgreen"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"royalblue"	1	" Oligodendrocyte"
"cyan"	0	""
"skyblue3"	0	""
"white"	8	" D_NEuronCom4 Ex2 Ex4 Ex6 Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"grey60"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"greenyellow"	6	" Dopaminergic_Neuron_SN Dopaminergic Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"darkgrey"	0	""
"ivory"	0	""
"magenta"	0	""
"darkturquoise"	0	""
"midnightblue"	0	""
"pink"	0	""
"purple"	3	" Cortex_Endothelial_Neuroexpresso Endothelial Mural"
"paleturquoise"	0	""
"orange"	0	""
"green"	0	""
"blue"	0	""
"lightyellow"	3	" Astrocyte Cerebellum_Bergmann_Neuroexpresso DARMANIS_ASTROCYES"
"darkmagenta"	7	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso"
"lightsteelblue1"	0	""
"saddlebrown"	0	""
"steelblue"	0	""
"orangered4"	0	""
"darkred"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"salmon"	0	""
"yellow"	0	""
"black"	0	""
"darkgreen"	0	""
"tan"	0	""
"plum1"	0	""
"lightcyan"	2	" Dopaminergic_Neuron Dopaminergic"
"turquoise"	6	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso Cortex_OligoPrecursors_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"yellowgreen"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"mediumpurple3"	1	" Ependymal"
"violet"	8	" Cortex_GabaVIPReln_Neuroexpresso Ex1 GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso In2 Interneuron Neuroexpresso_CortexD_GabaVIPReln Neuron_Interneuton"
"darkorange"	5	" CA1_Pyramidal CA1.Pyramidal Ex1 Neuron_Pyramidal_CA1 Pyramidal_CA1"
"skyblue"	0	""
"darkolivegreen"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"brown"	0	""
"lightcyan1"	0	""
