"Total signals"	"Cell type"
"red"	0	""
"sienna3"	9	" Astrocyte Cerebellum_Bergmann_Neuroexpresso Cortex_GabaPV_Neuroexpresso Cortex_GabaVIPReln_Neuroexpresso In6 Interneuron Neuroexpresso_CortexD_GabaPV Neuroexpresso_CortexD_GabaVIPReln Neuron_Interneuton"
"mediumpurple3"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"black"	7	" DARMANIS_NEUROND Interneuron Neuron_Interneuton Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"greenyellow"	0	""
"plum1"	8	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Neuron_Pyramidal_S1 Pyramidal_CA1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"cyan"	0	""
"lightsteelblue1"	1	" Astrocyte"
"magenta"	0	""
"tan"	1	" Astrocyte"
"darkgrey"	2	" Dopaminergic_Neuron Dopaminergic"
"darkgreen"	0	""
"lightgreen"	0	""
"darkolivegreen"	0	""
"orangered4"	0	""
"paleturquoise"	0	""
"steelblue"	0	""
"ivory"	1	" DARMANIS_OPCS"
"skyblue"	0	""
"blue"	0	""
"darkturquoise"	0	""
"purple"	11	" CA1_Pyramidal CA1.Pyramidal Ex1 Ex2 Ex7 In2 In4 Interneuron Neuron_Interneuton Neuron_Pyramidal_CA1 Pyramidal_CA1"
"white"	3	" Cortex_Endothelial_Neuroexpresso Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso"
"grey60"	0	""
"lightcyan"	0	""
"lightyellow"	0	""
"orange"	0	""
"lightcyan1"	8	" D_NEuronCom4 Ex6 Ex8 In1 Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"brown"	6	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso Cortex_OligoPrecursors_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"green"	0	""
"violet"	0	""
"skyblue3"	0	""
"yellowgreen"	7	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso"
"darkmagenta"	2	" Dopaminergic_Neuron_SN Dopaminergic"
"royalblue"	0	""
"darkorange"	7	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"darkred"	3	" Cortex_Endothelial_Neuroexpresso Endothelial Mural"
"pink"	4	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Pyramidal_CA1"
