"Total signals"	"Cell type"
"lightyellow"	0	""
"plum1"	0	""
"yellow"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"blue2"	0	""
"royalblue"	2	" Dopaminergic_Neuron Dopaminergic"
"brown4"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"coral2"	0	""
"navajowhite2"	2	" Dopaminergic_Neuron_SN Dopaminergic"
"black"	3	" Cortex_Oligo_Neuroexpresso Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"darkgrey"	0	""
"firebrick4"	0	""
"lightcyan1"	0	""
"ivory"	0	""
"mediumorchid"	0	""
"salmon"	0	""
"plum2"	0	""
"darkseagreen4"	0	""
"darkturquoise"	0	""
"lightcoral"	0	""
"darkorange2"	1	" Mural"
"coral1"	0	""
"palevioletred2"	0	""
"plum3"	3	" Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Oligodendrocyte"
"orangered3"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"sienna3"	0	""
"turquoise"	1	" Ependymal"
"red"	0	""
"pink"	5	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso"
"green"	0	""
"brown2"	0	""
"lightsteelblue1"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"magenta"	0	""
"tan"	0	""
"thistle3"	0	""
"thistle"	0	""
"lightcyan"	0	""
"greenyellow"	0	""
"yellowgreen"	0	""
"darkolivegreen"	0	""
"violet"	0	""
"salmon4"	0	""
"thistle2"	0	""
"maroon"	0	""
"orangered4"	0	""
"palevioletred3"	0	""
"antiquewhite4"	11	" Cortex_GabaPV_Neuroexpresso Cortex_GabaVIPReln_Neuroexpresso D_NEuronCom5 Ex8 GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso In5 In6 Interneuron Neuroexpresso_CortexD_GabaVIPReln Neuron_Interneuton"
"purple"	0	""
"darkorange"	2	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_OPCS"
"steelblue"	0	""
"skyblue2"	2	" Astrocyte DARMANIS_ASTROCYES"
"skyblue"	3	" Astrocyte Cortex_Endothelial_Neuroexpresso Endothelial"
"brown"	0	""
"lavenderblush3"	0	""
"skyblue3"	4	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Pyramidal_CA1"
"yellow4"	0	""
"blue"	0	""
"lightpink4"	0	""
"lightgreen"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso iDC Microglia"
"darkmagenta"	0	""
"indianred4"	0	""
"darkred"	0	""
"bisque4"	0	""
"mediumpurple3"	4	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Pyramidal_CA1"
"floralwhite"	0	""
"thistle1"	0	""
"honeydew1"	0	""
"skyblue1"	0	""
"mediumpurple2"	0	""
"saddlebrown"	0	""
"darkslateblue"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"navajowhite1"	0	""
"white"	0	""
"orange"	0	""
"darkviolet"	0	""
"plum"	0	""
"darkgreen"	0	""
"darkolivegreen4"	0	""
"grey60"	0	""
"paleturquoise"	0	""
"lightsteelblue"	0	""
