"Total signals"	"Cell type"
"navajowhite2"	0	""
"black"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"maroon"	0	""
"ivory"	0	""
"thistle2"	4	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Ex5"
"plum1"	0	""
"brown4"	0	""
"thistle1"	0	""
"blue"	1	" Ependymal"
"greenyellow"	0	""
"lightcyan1"	4	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Pyramidal_CA1"
"violet"	0	""
"darkgreen"	0	""
"white"	0	""
"brown"	0	""
"royalblue"	0	""
"darkgrey"	0	""
"coral1"	0	""
"mediumpurple3"	0	""
"magenta"	0	""
"green"	0	""
"skyblue2"	0	""
"salmon"	0	""
"purple"	0	""
"lightsteelblue1"	0	""
"pink"	0	""
"floralwhite"	0	""
"saddlebrown"	2	" Dopaminergic_Neuron Dopaminergic"
"turquoise"	0	""
"coral2"	4	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"mediumorchid"	2	" Cortex_Oligo_Neuroexpresso Oligodendrocyte"
"sienna3"	0	""
"darkturquoise"	5	" GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso In5 Interneuron Neuron_Interneuton"
"darkmagenta"	0	""
"darkseagreen4"	1	" Ependymal"
"plum2"	0	""
"darkslateblue"	0	""
"lavenderblush3"	0	""
"darkorange2"	0	""
"bisque4"	0	""
"salmon4"	6	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso"
"orangered4"	0	""
"darkolivegreen"	0	""
"red"	6	" CA1_Pyramidal CA1.Pyramidal Interneuron Neuron_Interneuton Neuron_Pyramidal_CA1 Pyramidal_CA1"
"darkorange"	0	""
"midnightblue"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"honeydew1"	0	""
"lightyellow"	0	""
"palevioletred3"	0	""
"grey60"	0	""
"grey"	0	""
"yellowgreen"	1	" Oligodendrocyte"
"cyan"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"lightgreen"	1	" Astrocyte"
"yellow"	0	""
"skyblue3"	7	" DARMANIS_OPCS Interneuron Neuron_Interneuton Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"tan"	0	""
"paleturquoise"	0	""
"lightpink4"	0	""
"antiquewhite4"	0	""
"lightcyan"	7	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso"
"darkred"	0	""
"orange"	5	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
