"Total signals"	"Cell type"
"plum1"	0	""
"grey"	0	""
"mediumpurple3"	13	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA DARMANIS_FETAL1 Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"brown4"	2	" Dopaminergic_Neuron Dopaminergic"
"navajowhite2"	0	""
"purple"	5	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"darkolivegreen"	6	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso"
"bisque4"	0	""
"darkred"	0	""
"maroon"	7	" DARMANIS_NEUROND Interneuron Neuron_Interneuton Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"darkslateblue"	4	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Pyramidal_CA1"
"plum2"	1	" Ependymal"
"darkorange2"	0	""
"black"	4	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Pyramidal_CA1"
"lightcyan1"	4	" GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso Interneuron Neuron_Interneuton"
"skyblue"	0	""
"ivory"	0	""
"steelblue"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkorange"	8	" CA1_Pyramidal CA1.Pyramidal Neuron_Pyramidal_CA1 Neuron_Pyramidal_S1 Pyramidal_CA1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"orange"	3	" Cerebellum_Bergmann_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkgreen"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"saddlebrown"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"brown"	0	""
"lightyellow"	0	""
"darkmagenta"	0	""
"darkturquoise"	1	" Cytotoxiccells"
"palevioletred3"	1	" Cortex_MicrogliaActivation_Neuroexpresso"
"cyan"	0	""
"skyblue3"	3	" Cortex_Oligo_Neuroexpresso Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"thistle2"	1	" Ex1"
"darkgrey"	3	" Astrocyte Cerebellum_Bergmann_Neuroexpresso DARMANIS_ASTROCYES"
"floralwhite"	0	""
"blue"	0	""
"violet"	0	""
"magenta"	0	""
"turquoise"	0	""
"sienna3"	0	""
"thistle1"	1	" Astrocyte"
