"Total signals"	"Cell type"
"magenta4"	0	""
"magenta"	1	" Astrocyte"
"sienna3"	0	""
"mediumpurple3"	0	""
"maroon"	0	""
"darkseagreen3"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"lightsteelblue1"	0	""
"darkgreen"	0	""
"lightpink4"	1	" DARMANIS_FETAL1"
"cyan"	2	" Interneuron Neuron_Interneuton"
"antiquewhite2"	0	""
"green"	9	" CA1_Pyramidal CA1.Pyramidal Cortex_Pyramidal_Neuroexpresso Neuron_Pyramidal_CA1 Neuron_Pyramidal_S1 Pyramidal_CA1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"red"	0	""
"lightcyan1"	0	""
"darkseagreen4"	0	""
"grey60"	0	""
"greenyellow"	0	""
"midnightblue"	1	" Cerebellum_MicrogliaDeactivation_Neuroexpresso"
"lightcyan"	0	""
"coral1"	0	""
"brown4"	0	""
"skyblue"	0	""
"yellow3"	0	""
"yellowgreen"	0	""
"black"	4	" Dopaminergic_Neuron_SN Dopaminergic Interneuron Neuron_Interneuton"
"lightpink3"	5	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Microglia"
"darkred"	0	""
"coral2"	0	""
"yellow4"	0	""
"sienna4"	0	""
"navajowhite2"	0	""
"lightcoral"	0	""
"blue"	0	""
"orangered3"	0	""
"steelblue"	0	""
"mediumorchid"	0	""
"brown2"	0	""
"pink4"	0	""
"darkorange2"	0	""
"paleturquoise"	0	""
"palevioletred2"	0	""
"coral3"	0	""
"darkviolet"	1	" Oligodendrocyte"
"coral"	0	""
"darkorange"	0	""
"pink"	0	""
"salmon2"	0	""
"saddlebrown"	0	""
"plum3"	0	""
"blue2"	0	""
"yellow"	1	" Ependymal"
"lavenderblush3"	0	""
"thistle3"	0	""
"orangered4"	2	" Interneuron Neuron_Interneuton"
"floralwhite"	1	" Microglia"
"thistle2"	1	" Mural"
"bisque4"	0	""
"skyblue2"	0	""
"brown"	5	" DARMANIS_NEUROND Dopaminergic_Neuron_SN Dopaminergic Interneuron Neuron_Interneuton"
"darkturquoise"	0	""
"lightsteelblue"	0	""
"darkgrey"	2	" Dopaminergic_Neuron Dopaminergic"
"plum1"	0	""
"darkmagenta"	7	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"darkolivegreen4"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkolivegreen"	0	""
"royalblue"	0	""
"darkslateblue"	0	""
"indianred4"	0	""
"skyblue1"	0	""
"skyblue3"	0	""
"purple"	0	""
"tan"	0	""
"skyblue4"	0	""
"honeydew1"	0	""
"mediumpurple4"	0	""
"lavenderblush2"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"lightyellow"	2	" Cytotoxiccells Tcells"
"thistle1"	2	" Dopaminergic_Neuron_SN Dopaminergic"
"palevioletred3"	3	" Astrocyte Cerebellum_Bergmann_Neuroexpresso DARMANIS_ASTROCYES"
"plum2"	5	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"navajowhite1"	0	""
"lightgreen"	0	""
"thistle"	0	""
"firebrick4"	0	""
"salmon4"	8	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"violet"	0	""
"plum"	3	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_OPCS In1"
"mediumpurple2"	0	""
"honeydew"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"antiquewhite4"	0	""
"orange"	0	""
"ivory"	1	" Oligodendrocyte"
