"Total signals"	"Cell type"
"brown"	0	""
"darkturquoise"	0	""
"orangered4"	1	" Astrocyte"
"floralwhite"	0	""
"cyan"	0	""
"lightyellow"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"skyblue3"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"plum2"	0	""
"saddlebrown"	0	""
"purple"	0	""
"darkolivegreen"	0	""
"red"	13	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA DARMANIS_FETAL1 Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"mediumpurple3"	0	""
"magenta"	0	""
"darkmagenta"	0	""
"darkorange"	0	""
"salmon4"	0	""
"brown4"	0	""
"thistle2"	0	""
"grey60"	0	""
"ivory"	1	" Mural"
"darkorange2"	2	" Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkred"	4	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"plum1"	1	" Bcells"
"tan"	0	""
"pink"	0	""
"lightgreen"	1	" Astrocyte"
"black"	2	" Dopaminergic_Neuron Dopaminergic"
"greenyellow"	0	""
"paleturquoise"	0	""
"darkgrey"	1	" Endothelial"
"midnightblue"	0	""
"skyblue"	0	""
"white"	0	""
"lightcyan"	3	" Cortex_Endothelial_Neuroexpresso D_NEuronCom5 Endothelial"
"orange"	0	""
"blue"	0	""
"violet"	0	""
"green"	0	""
"lightsteelblue1"	0	""
"lightcyan1"	0	""
"royalblue"	0	""
"darkslateblue"	2	" Cortex_Oligo_Neuroexpresso Oligodendrocyte"
"palevioletred3"	0	""
"darkgreen"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso iDC Microglia"
"sienna3"	2	" Cytotoxiccells Tcells"
"yellowgreen"	0	""
"thistle1"	1	" Oligodendrocyte"
"bisque4"	0	""
