"Total signals"	"Cell type"
"green"	0	""
"skyblue3"	0	""
"white"	13	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso iDC Macrophages Microglia"
"darkorange"	1	" Neuroexpresso_CortexD_GabaPV"
"ivory"	0	""
"darkgrey"	6	" DARMANIS_NEUROND Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic Interneuron Neuron_Interneuton"
"salmon"	1	" Mural"
"darkturquoise"	1	" Astrocyte"
"grey"	0	""
"cyan"	0	""
"lightgreen"	0	""
"blue"	0	""
"grey60"	0	""
"purple"	0	""
"lightsteelblue1"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkolivegreen"	0	""
"red"	10	" Bcells Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Cytotoxiccells Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Tcells"
"orangered4"	0	""
"saddlebrown"	0	""
"pink"	1	" Astrocyte"
"darkgreen"	0	""
"brown"	0	""
"tan"	2	" Dopaminergic_Neuron Dopaminergic"
"magenta"	0	""
"paleturquoise"	1	" Cortex_MicrogliaActivation_Neuroexpresso"
"plum1"	0	""
"lightcyan1"	1	" Oligodendrocyte"
"steelblue"	0	""
"yellow"	0	""
"yellowgreen"	0	""
"turquoise"	0	""
"orange"	0	""
"greenyellow"	0	""
"darkmagenta"	0	""
"midnightblue"	0	""
"skyblue"	0	""
"lightyellow"	0	""
"floralwhite"	0	""
"black"	3	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_FETAL1 Th2cells"
"sienna3"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"violet"	0	""
"lightcyan"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkred"	0	""
"mediumpurple3"	0	""
