"Total signals"	"Cell type"
"blue"	0	""
"orange"	5	" Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia Neutrophils"
"lightgreen"	0	""
"yellowgreen"	0	""
"maroon"	0	""
"bisque4"	0	""
"darkgrey"	0	""
"midnightblue"	0	""
"lightcyan1"	0	""
"lightpink4"	1	" DARMANIS_FETAL1"
"darkmagenta"	0	""
"darkred"	0	""
"greenyellow"	0	""
"cyan"	0	""
"skyblue"	0	""
"darkturquoise"	0	""
"darkgreen"	0	""
"purple"	0	""
"pink"	0	""
"white"	1	" Endothelial"
"navajowhite2"	0	""
"lightsteelblue1"	0	""
"salmon4"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"tan"	0	""
"antiquewhite4"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"plum2"	0	""
"floralwhite"	0	""
"grey60"	0	""
"orangered4"	0	""
"mediumpurple3"	0	""
"green"	2	" Dopaminergic_Neuron Dopaminergic"
"lavenderblush3"	0	""
"darkorange"	0	""
"skyblue2"	0	""
"plum1"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"royalblue"	1	" Cortex_Endothelial_Neuroexpresso"
"darkolivegreen"	0	""
"darkseagreen4"	0	""
"honeydew1"	0	""
"darkorange2"	0	""
"skyblue3"	0	""
"sienna3"	0	""
"brown4"	0	""
"lightcyan"	0	""
"mediumorchid"	0	""
"ivory"	0	""
"thistle1"	0	""
"thistle2"	0	""
"turquoise"	0	""
"palevioletred3"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"black"	0	""
"yellow4"	0	""
"coral1"	0	""
"brown"	0	""
"paleturquoise"	0	""
"saddlebrown"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso iDC Macrophages Microglia"
"steelblue"	7	" Bcells Cerebellum_Microglia_Neuroexpresso Cortex_Microglia_Neuroexpresso Cytotoxiccells Hyppocampus_Microglia_Neuroexpresso Microglia Tcells"
"darkslateblue"	0	""
"coral2"	0	""
