"Total signals"	"Cell type"
"lightyellow"	0	""
"plum2"	0	""
"darkslateblue"	1	" Neutrophils"
"bisque4"	1	" Mural"
"lightsteelblue1"	1	" Hippocampus_MicrogliaActivation_Neuroexpresso"
"grey"	0	""
"thistle2"	3	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso"
"skyblue"	1	" Endothelial"
"brown4"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"brown"	0	""
"lightcyan"	0	""
"saddlebrown"	0	""
"black"	0	""
"darkgreen"	0	""
"darkorange2"	0	""
"salmon"	0	""
"darkgrey"	0	""
"purple"	2	" Dopaminergic_Neuron Dopaminergic"
"tan"	3	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkred"	0	""
"darkmagenta"	0	""
"sienna3"	0	""
"mediumpurple3"	0	""
"cyan"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"darkolivegreen"	0	""
"pink"	0	""
"yellowgreen"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"ivory"	0	""
"darkturquoise"	0	""
"skyblue3"	0	""
"plum1"	0	""
"magenta"	0	""
"white"	0	""
"greenyellow"	0	""
"blue"	0	""
"floralwhite"	0	""
"steelblue"	7	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"grey60"	0	""
"thistle1"	0	""
"lightgreen"	0	""
"violet"	0	""
"orangered4"	1	" Cytotoxiccells"
"lightcyan1"	7	" Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia"
"green"	0	""
"darkorange"	0	""
"royalblue"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
