"Total signals"	"Cell type"
"tan"	0	""
"darkolivegreen"	0	""
"darkgrey"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"magenta"	0	""
"pink"	0	""
"darkturquoise"	13	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso iDC Macrophages Microglia"
"skyblue"	0	""
"yellow"	0	""
"paleturquoise"	6	" Cortex_Endothelial_Neuroexpresso Endothelial Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"white"	1	" Ex8"
"cyan"	0	""
"lightcyan"	3	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_FETAL1 Th2cells"
"saddlebrown"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"black"	0	""
"greenyellow"	0	""
"blue"	1	" Ependymal"
"lightgreen"	3	" Bcells Cytotoxiccells Tcells"
"salmon"	2	" Dopaminergic_Neuron Dopaminergic"
"purple"	0	""
"darkred"	1	" Bcells"
"darkgreen"	0	""
"lightyellow"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"brown"	0	""
"violet"	0	""
"darkorange"	1	" Mural"
"red"	0	""
"grey60"	3	" Astrocyte Cortex_Endothelial_Neuroexpresso Endothelial"
"royalblue"	0	""
"orange"	0	""
"midnightblue"	1	" Hippocampus_MicrogliaActivation_Neuroexpresso"
"steelblue"	1	" Cerebellum_Oligo_Neuroexpresso"
