"Total signals"	"Cell type"
"darkgreen"	0	""
"magenta"	14	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso iDC Macrophages Mastcells Microglia"
"bisque4"	0	""
"skyblue"	0	""
"thistle1"	0	""
"mediumpurple3"	0	""
"yellow"	4	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"greenyellow"	1	" Mural"
"thistle2"	0	""
"salmon4"	0	""
"navajowhite2"	0	""
"brown"	0	""
"cyan"	0	""
"turquoise"	0	""
"darkred"	0	""
"floralwhite"	0	""
"paleturquoise"	0	""
"steelblue"	0	""
"darkorange2"	0	""
"darkmagenta"	3	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"salmon"	1	" Ependymal"
"tan"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"skyblue3"	0	""
"midnightblue"	0	""
"darkorange"	0	""
"royalblue"	0	""
"lightgreen"	0	""
"lightcyan1"	0	""
"sienna3"	2	" Dopaminergic_Neuron Dopaminergic"
"palevioletred3"	0	""
"lightyellow"	0	""
"darkslateblue"	0	""
"plum2"	0	""
"darkturquoise"	0	""
"lightcyan"	6	" DARMANIS_MIXTURENEUOLIGOPC DARMANIS_NEUROND Dopaminergic_Neuron_SN Dopaminergic Interneuron Neuron_Interneuton"
"saddlebrown"	0	""
"plum1"	1	" Endothelial"
"ivory"	0	""
"blue"	0	""
"red"	0	""
"white"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"violet"	0	""
"orange"	1	" DARMANIS_FETAL1"
"darkolivegreen"	0	""
"lightsteelblue1"	0	""
"yellowgreen"	0	""
"darkgrey"	0	""
"purple"	0	""
"green"	0	""
"orangered4"	2	" Cytotoxiccells Tcells"
"grey60"	0	""
"black"	0	""
"brown4"	0	""
