"Total signals"	"Cell type"
"royalblue"	0	""
"mediumorchid"	3	" Cytotoxiccells Mastcells Tcells"
"lightcyan"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"steelblue"	5	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso"
"plum1"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"navajowhite2"	0	""
"darkslateblue"	0	""
"plum2"	0	""
"darkmagenta"	0	""
"cyan"	0	""
"palevioletred3"	0	""
"darkred"	0	""
"ivory"	0	""
"antiquewhite4"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"greenyellow"	0	""
"lightgreen"	0	""
"midnightblue"	0	""
"thistle1"	0	""
"turquoise"	0	""
"skyblue1"	0	""
"brown4"	0	""
"darkorange2"	1	" Mural"
"green"	0	""
"lavenderblush3"	0	""
"tan"	1	" Astrocyte"
"darkgrey"	0	""
"skyblue2"	0	""
"yellow4"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkseagreen4"	7	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Endothelial Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"magenta"	0	""
"salmon4"	2	" Dopaminergic_Neuron Dopaminergic"
"lightyellow"	0	""
"skyblue3"	0	""
"lightcyan1"	0	""
"salmon"	1	" Astrocyte"
"violet"	0	""
"lightsteelblue1"	0	""
"orangered4"	0	""
"coral2"	0	""
"floralwhite"	0	""
"brown"	1	" Astrocyte"
"skyblue"	0	""
"paleturquoise"	0	""
"purple"	0	""
"mediumpurple3"	0	""
"bisque4"	0	""
"coral1"	0	""
"yellowgreen"	0	""
"darkolivegreen"	0	""
"red"	0	""
"darkorange"	0	""
"orange"	0	""
"thistle2"	0	""
"yellow"	0	""
"maroon"	0	""
"grey60"	0	""
"blue"	0	""
"black"	0	""
"honeydew1"	0	""
"lightpink4"	1	" Ependymal"
"white"	0	""
"darkturquoise"	0	""
"pink"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
