"Total signals"	"Cell type"
"black"	0	""
"orange"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"yellow4"	0	""
"darkred"	0	""
"blue"	0	""
"blueviolet"	0	""
"lightslateblue"	0	""
"paleturquoise"	0	""
"sienna4"	0	""
"firebrick4"	0	""
"brown2"	0	""
"honeydew"	0	""
"mediumpurple4"	0	""
"salmon4"	0	""
"violet"	0	""
"orangered1"	0	""
"darkolivegreen4"	0	""
"plum"	0	""
"floralwhite"	0	""
"maroon"	1	" Astrocyte"
"plum2"	0	""
"orangered3"	0	""
"bisque4"	0	""
"antiquewhite4"	0	""
"pink"	0	""
"red"	1	" Mural"
"plum3"	8	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"purple"	0	""
"firebrick3"	1	" D_NEuronCom4"
"honeydew1"	3	" Cerebellum_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Neutrophils"
"turquoise"	0	""
"darkslateblue"	0	""
"mediumpurple3"	0	""
"orangered4"	0	""
"lightpink4"	0	""
"darkturquoise"	0	""
"coral"	0	""
"saddlebrown"	0	""
"skyblue3"	0	""
"navajowhite1"	0	""
"navajowhite2"	0	""
"thistle"	0	""
"brown"	0	""
"lightblue4"	0	""
"lightcyan"	0	""
"magenta"	0	""
"coral1"	0	""
"coral2"	0	""
"yellow"	1	" Mural"
"darkorange"	0	""
"darkorange2"	1	" Mastcells"
"sienna3"	0	""
"blue2"	0	""
"lavenderblush2"	0	""
"greenyellow"	0	""
"darkmagenta"	0	""
"coral3"	0	""
"darkseagreen3"	3	" Cytotoxiccells Microglia Tcells"
"skyblue2"	0	""
"lightgreen"	0	""
"darkviolet"	0	""
"yellow3"	0	""
"thistle2"	0	""
"green"	0	""
"royalblue"	3	" Cortex_Endothelial_Neuroexpresso Endothelial Hippocampus_MicrogliaDeactivation_Neuroexpresso"
"pink4"	0	""
"ivory"	0	""
"darkgreen"	0	""
"indianred4"	0	""
"cyan"	0	""
"brown4"	0	""
"grey60"	1	" DARMANIS_FETAL1"
"white"	1	" Endothelial"
"thistle3"	0	""
"skyblue4"	0	""
"blue4"	0	""
"darkseagreen4"	0	""
"lightsteelblue1"	0	""
"lightcyan1"	0	""
"mediumpurple2"	0	""
"yellowgreen"	0	""
"palevioletred3"	0	""
"thistle1"	0	""
"indianred3"	0	""
"antiquewhite2"	0	""
"deeppink"	0	""
"darkolivegreen"	0	""
"magenta4"	0	""
"lightyellow"	0	""
"tan"	0	""
"midnightblue"	0	""
"skyblue"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"lavenderblush3"	0	""
"mediumorchid"	0	""
"plum1"	0	""
"lightsteelblue"	0	""
"darkgrey"	0	""
"salmon2"	0	""
"mediumpurple1"	0	""
"lightcoral"	0	""
"darkolivegreen2"	0	""
"lightpink3"	0	""
"skyblue1"	0	""
"palevioletred2"	0	""
