"Total signals"	"Cell type"
"purple"	0	""
"bisque4"	0	""
"darkslateblue"	0	""
"navajowhite2"	0	""
"yellow"	0	""
"greenyellow"	0	""
"darkturquoise"	0	""
"thistle1"	0	""
"palevioletred3"	2	" Cerebellum_Bergmann_Neuroexpresso Mural"
"darkgrey"	0	""
"lightpink4"	0	""
"black"	1	" Tcm"
"tan"	0	""
"sienna3"	1	" Mural"
"mediumpurple3"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"darkorange"	1	" Cytotoxiccells"
"salmon"	0	""
"darkmagenta"	0	""
"darkgreen"	0	""
"lightsteelblue1"	0	""
"orangered4"	0	""
"saddlebrown"	0	""
"ivory"	0	""
"salmon4"	0	""
"midnightblue"	0	""
"magenta"	4	" Cerebellum_Microglia_Neuroexpresso Cortex_Microglia_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"lightcyan1"	0	""
"brown4"	1	" Bcells"
"darkolivegreen"	1	" Tcells"
"plum1"	0	""
"lightgreen"	0	""
"darkorange2"	0	""
"darkseagreen4"	0	""
"skyblue3"	0	""
"orange"	0	""
"thistle2"	1	" Mastcells"
"brown"	0	""
"lightyellow"	3	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_FETAL1 Th2cells"
"paleturquoise"	0	""
"plum2"	0	""
"coral1"	0	""
"floralwhite"	0	""
"maroon"	0	""
"blue"	0	""
"lavenderblush3"	4	" Cortex_Microglia_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"steelblue"	0	""
