"cyan"	"darkred"	"purple"	"yellow"	"pink"	"darkgrey"	"grey"	"mediumpurple3"	"turquoise"	"lightyellow"	"lightsteelblue1"	"salmon"	"ivory"	"darkolivegreen"	"greenyellow"	"darkslateblue"	"red"	"lightcyan"	"lightgreen"	"plum1"	"midnightblue"	"lightcyan1"	"orange"	"orangered4"	"yellowgreen"	"darkgreen"	"skyblue3"	"lightpink4"	"black"	"brown"	"magenta"	"navajowhite2"	"brown4"	"darkorange"	"floralwhite"	"paleturquoise"	"darkorange2"	"tan"	"bisque4"	"palevioletred3"	"green"	"royalblue"	"sienna3"	"salmon4"	"thistle2"	"thistle1"	"violet"	"grey60"	"maroon"	"lavenderblush3"
"Astrocyte"	1	1	1	1	1	0.000737843531077274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	0.00165107051539611	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0167782177997952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.9991449338066e-06	1	1	1	1	1	1	1	1	1.93189651626014e-29	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.13114570815181e-05	1	1	1	1.36324282596155e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.54178713773459e-10	1	1	1	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000140479146089997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.75692110469045e-07	1	1	1	1	1	1	1	1	8.11984206031937e-06	1	1.80848123812819e-05	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
