"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"violet"	TRUE	0.0273	176	260	12	0.046	0.068	"GO:0000086"	"BP"	1	"G2/M transition of mitotic cell cycle"	1	"ENSG00000046651,ENSG00000108465,ENSG00000110274,ENSG00000141577,ENSG00000159147,ENSG00000161010,ENSG00000161692,ENSG00000172732,ENSG00000198089,ENSG00000198707,ENSG00000249115,ENSG00000250506"	6.54796323703931
"2"	"violet"	TRUE	0.0116	353	260	18	0.069	0.051	"GO:1901987"	"BP"	1	"regulation of cell cycle phase transition"	1	"ENSG00000046651,ENSG00000078900,ENSG00000108465,ENSG00000109670,ENSG00000110274,ENSG00000126215,ENSG00000141577,ENSG00000159147,ENSG00000161010,ENSG00000161692,ENSG00000172732,ENSG00000177595,ENSG00000184445,ENSG00000198089,ENSG00000198625,ENSG00000198707,ENSG00000249115,ENSG00000250506"	5.86765320324004
"3"	"violet"	TRUE	0.00488	149	260	12	0.046	0.081	"GO:1902749"	"BP"	1	"regulation of cell cycle G2/M phase transition"	1	"ENSG00000046651,ENSG00000108465,ENSG00000110274,ENSG00000141577,ENSG00000159147,ENSG00000161010,ENSG00000161692,ENSG00000172732,ENSG00000198089,ENSG00000198707,ENSG00000249115,ENSG00000250506"	7.80072620553468
"4"	"violet"	TRUE	0.0136	322	260	17	0.065	0.053	"GO:1901990"	"BP"	1	"regulation of mitotic cell cycle phase transition"	1	"ENSG00000046651,ENSG00000078900,ENSG00000108465,ENSG00000110274,ENSG00000126215,ENSG00000141577,ENSG00000159147,ENSG00000161010,ENSG00000161692,ENSG00000172732,ENSG00000177595,ENSG00000184445,ENSG00000198089,ENSG00000198625,ENSG00000198707,ENSG00000249115,ENSG00000250506"	5.93167506200497
"5"	"violet"	TRUE	0.00157	134	260	12	0.046	0.09	"GO:0010389"	"BP"	1	"regulation of G2/M transition of mitotic cell cycle"	2	"ENSG00000046651,ENSG00000108465,ENSG00000110274,ENSG00000141577,ENSG00000159147,ENSG00000161010,ENSG00000161692,ENSG00000172732,ENSG00000198089,ENSG00000198707,ENSG00000249115,ENSG00000250506"	7.8748341776884
"6"	"thistle2"	TRUE	0.0204	866	115	18	0.157	0.021	"GO:0034097"	"BP"	14	"response to cytokine"	1	"ENSG00000007908,ENSG00000081041,ENSG00000099985,ENSG00000103313,ENSG00000107968,ENSG00000111913,ENSG00000113368,ENSG00000115590,ENSG00000115604,ENSG00000115607,ENSG00000118520,ENSG00000119535,ENSG00000124882,ENSG00000125538,ENSG00000136997,ENSG00000171051,ENSG00000180871,ENSG00000184557"	4.57544238437114
"7"	"thistle2"	TRUE	1.29e-18	2441	115	59	0.513	0.024	"GO:0002376"	"BP"	2	"immune system process"	1	"ENSG00000007908,ENSG00000008438,ENSG00000008516,ENSG00000076662,ENSG00000077984,ENSG00000081041,ENSG00000085265,ENSG00000101307,ENSG00000102010,ENSG00000103196,ENSG00000103313,ENSG00000104918,ENSG00000105501,ENSG00000107968,ENSG00000111913,ENSG00000115271,ENSG00000115590,ENSG00000115604,ENSG00000115607,ENSG00000117090,ENSG00000118520,ENSG00000123405,ENSG00000124102,ENSG00000124882,ENSG00000125538,ENSG00000125910,ENSG00000126262,ENSG00000126759,ENSG00000128383,ENSG00000133710,ENSG00000136997,ENSG00000137801,ENSG00000138135,ENSG00000143546,ENSG00000145287,ENSG00000155307,ENSG00000158825,ENSG00000162747,ENSG00000163220,ENSG00000163221,ENSG00000163464,ENSG00000163661,ENSG00000163993,ENSG00000166523,ENSG00000171049,ENSG00000171051,ENSG00000171236,ENSG00000171777,ENSG00000172216,ENSG00000172322,ENSG00000173535,ENSG00000180871,ENSG00000182885,ENSG00000183019,ENSG00000184557,ENSG00000186407,ENSG00000186431,ENSG00000188404,ENSG00000257335"	2.79342981270393
"8"	"thistle2"	TRUE	3.35e-12	1054	115	34	0.296	0.032	"GO:0002252"	"BP"	2	"immune effector process"	2	"ENSG00000008438,ENSG00000008516,ENSG00000085265,ENSG00000101307,ENSG00000103196,ENSG00000104918,ENSG00000105501,ENSG00000115271,ENSG00000115604,ENSG00000117090,ENSG00000118520,ENSG00000125538,ENSG00000126262,ENSG00000126759,ENSG00000128383,ENSG00000143546,ENSG00000145287,ENSG00000158825,ENSG00000162747,ENSG00000163220,ENSG00000163221,ENSG00000163464,ENSG00000163661,ENSG00000163993,ENSG00000171049,ENSG00000171051,ENSG00000171236,ENSG00000172322,ENSG00000180871,ENSG00000182885,ENSG00000183019,ENSG00000186431,ENSG00000188404,ENSG00000257335"	4.69437938580291
"9"	"thistle2"	TRUE	8.13e-14	748	115	31	0.27	0.041	"GO:0002443"	"BP"	2	"leukocyte mediated immunity"	3	"ENSG00000008438,ENSG00000008516,ENSG00000085265,ENSG00000101307,ENSG00000103196,ENSG00000104918,ENSG00000105501,ENSG00000115271,ENSG00000115604,ENSG00000118520,ENSG00000125538,ENSG00000126759,ENSG00000143546,ENSG00000145287,ENSG00000158825,ENSG00000162747,ENSG00000163220,ENSG00000163221,ENSG00000163464,ENSG00000163661,ENSG00000163993,ENSG00000171049,ENSG00000171051,ENSG00000171236,ENSG00000172322,ENSG00000180871,ENSG00000182885,ENSG00000183019,ENSG00000186431,ENSG00000188404,ENSG00000257335"	5.8296258076508
"10"	"thistle2"	TRUE	3.09e-16	517	115	29	0.252	0.056	"GO:0002444"	"BP"	2	"myeloid leukocyte mediated immunity"	4	"ENSG00000008438,ENSG00000008516,ENSG00000085265,ENSG00000101307,ENSG00000103196,ENSG00000104918,ENSG00000105501,ENSG00000115271,ENSG00000118520,ENSG00000126759,ENSG00000143546,ENSG00000145287,ENSG00000158825,ENSG00000162747,ENSG00000163220,ENSG00000163221,ENSG00000163464,ENSG00000163661,ENSG00000163993,ENSG00000171049,ENSG00000171051,ENSG00000171236,ENSG00000172322,ENSG00000180871,ENSG00000182885,ENSG00000183019,ENSG00000186431,ENSG00000188404,ENSG00000257335"	7.38342663977951
"11"	"thistle2"	TRUE	8.41e-17	493	115	29	0.252	0.059	"GO:0002446"	"BP"	2	"neutrophil mediated immunity"	5	"ENSG00000008438,ENSG00000008516,ENSG00000085265,ENSG00000101307,ENSG00000103196,ENSG00000104918,ENSG00000105501,ENSG00000115271,ENSG00000118520,ENSG00000126759,ENSG00000143546,ENSG00000145287,ENSG00000158825,ENSG00000162747,ENSG00000163220,ENSG00000163221,ENSG00000163464,ENSG00000163661,ENSG00000163993,ENSG00000171049,ENSG00000171051,ENSG00000171236,ENSG00000172322,ENSG00000180871,ENSG00000182885,ENSG00000183019,ENSG00000186431,ENSG00000188404,ENSG00000257335"	8.49387338609462
"12"	"thistle2"	TRUE	0.000646	1256	115	25	0.217	0.02	"GO:0002682"	"BP"	2	"regulation of immune system process"	2	"ENSG00000076662,ENSG00000081041,ENSG00000085265,ENSG00000107968,ENSG00000111913,ENSG00000115604,ENSG00000118520,ENSG00000123405,ENSG00000124882,ENSG00000125538,ENSG00000126262,ENSG00000126759,ENSG00000133710,ENSG00000136997,ENSG00000137801,ENSG00000143546,ENSG00000155307,ENSG00000163220,ENSG00000166523,ENSG00000171049,ENSG00000171051,ENSG00000172216,ENSG00000184557,ENSG00000186407,ENSG00000188404"	3.53403025883847
"13"	"thistle2"	TRUE	0.000422	390	115	14	0.122	0.036	"GO:0050900"	"BP"	2	"leukocyte migration"	2	"ENSG00000007908,ENSG00000081041,ENSG00000111913,ENSG00000126262,ENSG00000137801,ENSG00000138135,ENSG00000143546,ENSG00000163220,ENSG00000163221,ENSG00000163464,ENSG00000171049,ENSG00000171051,ENSG00000180871,ENSG00000188404"	5.4408834972721
"14"	"thistle2"	TRUE	0.00821	144	115	8	0.07	0.056	"GO:0097529"	"BP"	2	"myeloid leukocyte migration"	3	"ENSG00000081041,ENSG00000111913,ENSG00000137801,ENSG00000143546,ENSG00000163220,ENSG00000163221,ENSG00000171049,ENSG00000180871"	6.32074636033746
"15"	"thistle2"	TRUE	0.00516	95	115	7	0.061	0.074	"GO:0097530"	"BP"	2	"granulocyte migration"	4	"ENSG00000081041,ENSG00000111913,ENSG00000137801,ENSG00000143546,ENSG00000163220,ENSG00000163221,ENSG00000180871"	6.86323326600992
"16"	"thistle2"	TRUE	0.0286	82	115	6	0.052	0.073	"GO:1990266"	"BP"	2	"neutrophil migration"	5	"ENSG00000081041,ENSG00000111913,ENSG00000143546,ENSG00000163220,ENSG00000163221,ENSG00000180871"	7.23095804613523
"17"	"thistle2"	TRUE	2.51e-05	7282	115	77	0.67	0.011	"GO:0050896"	"BP"	2	"response to stimulus"	1	"ENSG00000007908,ENSG00000008438,ENSG00000008516,ENSG00000036672,ENSG00000076662,ENSG00000077984,ENSG00000081041,ENSG00000085265,ENSG00000099985,ENSG00000101307,ENSG00000102010,ENSG00000103196,ENSG00000103313,ENSG00000104918,ENSG00000105501,ENSG00000107968,ENSG00000108551,ENSG00000111432,ENSG00000111913,ENSG00000113368,ENSG00000115271,ENSG00000115590,ENSG00000115604,ENSG00000115607,ENSG00000117090,ENSG00000117479,ENSG00000118520,ENSG00000119535,ENSG00000123405,ENSG00000124102,ENSG00000124882,ENSG00000125538,ENSG00000125787,ENSG00000125910,ENSG00000126262,ENSG00000126759,ENSG00000128383,ENSG00000133710,ENSG00000136997,ENSG00000137801,ENSG00000138135,ENSG00000140563,ENSG00000143536,ENSG00000143546,ENSG00000145287,ENSG00000155307,ENSG00000158825,ENSG00000162551,ENSG00000162747,ENSG00000163209,ENSG00000163220,ENSG00000163221,ENSG00000163421,ENSG00000163464,ENSG00000163661,ENSG00000163993,ENSG00000166523,ENSG00000169715,ENSG00000171049,ENSG00000171051,ENSG00000171236,ENSG00000171777,ENSG00000172216,ENSG00000172322,ENSG00000173334,ENSG00000173535,ENSG00000173559,ENSG00000173597,ENSG00000174885,ENSG00000180871,ENSG00000182885,ENSG00000183019,ENSG00000184557,ENSG00000186407,ENSG00000186431,ENSG00000188404,ENSG00000257335"	1.35563016342414
"18"	"thistle2"	TRUE	0.00032	1577	115	29	0.252	0.018	"GO:0009605"	"BP"	2	"response to external stimulus"	2	"ENSG00000007908,ENSG00000008438,ENSG00000036672,ENSG00000081041,ENSG00000099985,ENSG00000103313,ENSG00000111913,ENSG00000118520,ENSG00000124102,ENSG00000125538,ENSG00000126262,ENSG00000126759,ENSG00000128383,ENSG00000137801,ENSG00000138135,ENSG00000143546,ENSG00000162551,ENSG00000163220,ENSG00000163221,ENSG00000163421,ENSG00000163464,ENSG00000171049,ENSG00000171051,ENSG00000171777,ENSG00000172216,ENSG00000173334,ENSG00000173535,ENSG00000174885,ENSG00000180871"	3.41780711207777
"19"	"thistle2"	TRUE	0.00457	621	115	16	0.139	0.026	"GO:0032101"	"BP"	2	"regulation of response to external stimulus"	3	"ENSG00000007908,ENSG00000081041,ENSG00000099985,ENSG00000103313,ENSG00000111913,ENSG00000118520,ENSG00000125538,ENSG00000126262,ENSG00000126759,ENSG00000137801,ENSG00000143546,ENSG00000163220,ENSG00000163221,ENSG00000171049,ENSG00000173334,ENSG00000174885"	4.82210375954714
"20"	"thistle2"	TRUE	0.000403	223	115	11	0.096	0.049	"GO:0032103"	"BP"	2	"positive regulation of response to external stimulus"	3	"ENSG00000081041,ENSG00000099985,ENSG00000111913,ENSG00000118520,ENSG00000125538,ENSG00000126262,ENSG00000137801,ENSG00000143546,ENSG00000163220,ENSG00000163221,ENSG00000171049"	5.97675311632297
"21"	"thistle2"	TRUE	0.000959	3060	115	42	0.365	0.014	"GO:0006950"	"BP"	2	"response to stress"	2	"ENSG00000007908,ENSG00000008438,ENSG00000008516,ENSG00000076662,ENSG00000081041,ENSG00000085265,ENSG00000099985,ENSG00000101307,ENSG00000102010,ENSG00000103313,ENSG00000107968,ENSG00000111432,ENSG00000115607,ENSG00000117090,ENSG00000118520,ENSG00000119535,ENSG00000123405,ENSG00000124882,ENSG00000125538,ENSG00000126262,ENSG00000126759,ENSG00000128383,ENSG00000136997,ENSG00000137801,ENSG00000143536,ENSG00000143546,ENSG00000163209,ENSG00000163220,ENSG00000163221,ENSG00000163421,ENSG00000163661,ENSG00000166523,ENSG00000171049,ENSG00000171051,ENSG00000172216,ENSG00000173334,ENSG00000173535,ENSG00000173559,ENSG00000174885,ENSG00000180871,ENSG00000184557,ENSG00000186407"	2.58356079259842
