"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"lavenderblush3"	TRUE	0.0377	4986	248	100	0.403	0.02	"GO:0031974"	"CC"	5	"membrane-enclosed lumen"	1	"ENSG00000005206,ENSG00000006744,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000089053,ENSG00000092094,ENSG00000099917,ENSG00000100023,ENSG00000100416,ENSG00000100949,ENSG00000101224,ENSG00000101442,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000108465,ENSG00000110274,ENSG00000112855,ENSG00000113761,ENSG00000115207,ENSG00000116809,ENSG00000117385,ENSG00000119760,ENSG00000122515,ENSG00000125755,ENSG00000127054,ENSG00000127415,ENSG00000127586,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000136279,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000141562,ENSG00000141644,ENSG00000144589,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160360,ENSG00000161265,ENSG00000162227,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000176248,ENSG00000177030,ENSG00000177595,ENSG00000178295,ENSG00000182872,ENSG00000185917,ENSG00000196739,ENSG00000197774,ENSG00000198026,ENSG00000204344,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000256087,ENSG00000258366,ENSG00000266173"	2.31652234550961
"2"	"lavenderblush3"	TRUE	0.0146	8082	248	147	0.593	0.018	"GO:0044422"	"CC"	5	"organelle part"	1	"ENSG00000005206,ENSG00000006744,ENSG00000007541,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000080823,ENSG00000085998,ENSG00000089053,ENSG00000092094,ENSG00000099917,ENSG00000100023,ENSG00000100258,ENSG00000100284,ENSG00000100314,ENSG00000100416,ENSG00000100949,ENSG00000101019,ENSG00000101224,ENSG00000101246,ENSG00000101442,ENSG00000102125,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000105726,ENSG00000108465,ENSG00000109063,ENSG00000110274,ENSG00000110719,ENSG00000112855,ENSG00000113761,ENSG00000115207,ENSG00000115275,ENSG00000116786,ENSG00000116809,ENSG00000117385,ENSG00000119760,ENSG00000122515,ENSG00000124574,ENSG00000125450,ENSG00000125755,ENSG00000127054,ENSG00000127415,ENSG00000127586,ENSG00000128159,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000135596,ENSG00000135702,ENSG00000135723,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000136279,ENSG00000136878,ENSG00000137343,ENSG00000138834,ENSG00000139266,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000140983,ENSG00000141562,ENSG00000141644,ENSG00000144120,ENSG00000144589,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160226,ENSG00000160360,ENSG00000161265,ENSG00000161904,ENSG00000162227,ENSG00000163093,ENSG00000163516,ENSG00000164877,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167566,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000169228,ENSG00000169682,ENSG00000170037,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000176248,ENSG00000177030,ENSG00000177082,ENSG00000177595,ENSG00000178209,ENSG00000178295,ENSG00000180834,ENSG00000182872,ENSG00000183091,ENSG00000184056,ENSG00000185246,ENSG00000185917,ENSG00000186866,ENSG00000196739,ENSG00000197774,ENSG00000197912,ENSG00000198026,ENSG00000198198,ENSG00000204344,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213339,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000242612,ENSG00000244607,ENSG00000256087,ENSG00000258366,ENSG00000266173"	1.42400670158964
"3"	"lavenderblush3"	TRUE	0.0377	4986	248	100	0.403	0.02	"GO:0043233"	"CC"	5	"organelle lumen"	2	"ENSG00000005206,ENSG00000006744,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000089053,ENSG00000092094,ENSG00000099917,ENSG00000100023,ENSG00000100416,ENSG00000100949,ENSG00000101224,ENSG00000101442,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000108465,ENSG00000110274,ENSG00000112855,ENSG00000113761,ENSG00000115207,ENSG00000116809,ENSG00000117385,ENSG00000119760,ENSG00000122515,ENSG00000125755,ENSG00000127054,ENSG00000127415,ENSG00000127586,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000136279,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000141562,ENSG00000141644,ENSG00000144589,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160360,ENSG00000161265,ENSG00000162227,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000176248,ENSG00000177030,ENSG00000177595,ENSG00000178295,ENSG00000182872,ENSG00000185917,ENSG00000196739,ENSG00000197774,ENSG00000198026,ENSG00000204344,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000256087,ENSG00000258366,ENSG00000266173"	2.32959442707696
"4"	"lavenderblush3"	TRUE	0.0229	7923	248	144	0.581	0.018	"GO:0044446"	"CC"	5	"intracellular organelle part"	1	"ENSG00000005206,ENSG00000006744,ENSG00000007541,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000085998,ENSG00000089053,ENSG00000092094,ENSG00000099917,ENSG00000100023,ENSG00000100258,ENSG00000100284,ENSG00000100314,ENSG00000100416,ENSG00000100949,ENSG00000101019,ENSG00000101224,ENSG00000101246,ENSG00000101442,ENSG00000102125,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000105726,ENSG00000108465,ENSG00000109063,ENSG00000110274,ENSG00000110719,ENSG00000112855,ENSG00000113761,ENSG00000115207,ENSG00000115275,ENSG00000116786,ENSG00000116809,ENSG00000117385,ENSG00000119760,ENSG00000122515,ENSG00000124574,ENSG00000125450,ENSG00000125755,ENSG00000127054,ENSG00000127415,ENSG00000127586,ENSG00000128159,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000135596,ENSG00000135702,ENSG00000135723,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000136279,ENSG00000136878,ENSG00000137343,ENSG00000138834,ENSG00000139266,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000140983,ENSG00000141562,ENSG00000141644,ENSG00000144120,ENSG00000144589,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160226,ENSG00000160360,ENSG00000161265,ENSG00000161904,ENSG00000162227,ENSG00000163093,ENSG00000163516,ENSG00000164877,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167566,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000169228,ENSG00000169682,ENSG00000170037,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000176248,ENSG00000177030,ENSG00000177082,ENSG00000177595,ENSG00000178295,ENSG00000180834,ENSG00000182872,ENSG00000184056,ENSG00000185246,ENSG00000185917,ENSG00000186866,ENSG00000196739,ENSG00000197774,ENSG00000197912,ENSG00000198026,ENSG00000198198,ENSG00000204344,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213339,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000242612,ENSG00000244607,ENSG00000256087,ENSG00000258366,ENSG00000266173"	1.46724466181727
"5"	"lavenderblush3"	TRUE	0.0377	4986	248	100	0.403	0.02	"GO:0070013"	"CC"	5	"intracellular organelle lumen"	1	"ENSG00000005206,ENSG00000006744,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000089053,ENSG00000092094,ENSG00000099917,ENSG00000100023,ENSG00000100416,ENSG00000100949,ENSG00000101224,ENSG00000101442,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000108465,ENSG00000110274,ENSG00000112855,ENSG00000113761,ENSG00000115207,ENSG00000116809,ENSG00000117385,ENSG00000119760,ENSG00000122515,ENSG00000125755,ENSG00000127054,ENSG00000127415,ENSG00000127586,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000136279,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000141562,ENSG00000141644,ENSG00000144589,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160360,ENSG00000161265,ENSG00000162227,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000176248,ENSG00000177030,ENSG00000177595,ENSG00000178295,ENSG00000182872,ENSG00000185917,ENSG00000196739,ENSG00000197774,ENSG00000198026,ENSG00000204344,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000256087,ENSG00000258366,ENSG00000266173"	2.34223377680148
"6"	"lavenderblush3"	TRUE	0.0173	8902	248	158	0.637	0.018	"GO:0043231"	"CC"	5	"intracellular membrane-bounded organelle"	1	"ENSG00000005206,ENSG00000005238,ENSG00000006744,ENSG00000007541,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000070610,ENSG00000071894,ENSG00000073169,ENSG00000076201,ENSG00000080823,ENSG00000085998,ENSG00000089053,ENSG00000092094,ENSG00000099326,ENSG00000099917,ENSG00000100023,ENSG00000100239,ENSG00000100258,ENSG00000100284,ENSG00000100314,ENSG00000100416,ENSG00000100949,ENSG00000101019,ENSG00000101224,ENSG00000101246,ENSG00000101442,ENSG00000102125,ENSG00000102858,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000105726,ENSG00000108465,ENSG00000110274,ENSG00000110719,ENSG00000112855,ENSG00000113761,ENSG00000114316,ENSG00000115207,ENSG00000115275,ENSG00000116809,ENSG00000117385,ENSG00000119760,ENSG00000122515,ENSG00000123815,ENSG00000124574,ENSG00000125450,ENSG00000125755,ENSG00000127054,ENSG00000127415,ENSG00000127586,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130299,ENSG00000130640,ENSG00000130813,ENSG00000130827,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000135702,ENSG00000135723,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000137221,ENSG00000137343,ENSG00000138834,ENSG00000139266,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000140983,ENSG00000141562,ENSG00000141644,ENSG00000142330,ENSG00000144120,ENSG00000144589,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160226,ENSG00000160360,ENSG00000161265,ENSG00000161904,ENSG00000162227,ENSG00000163516,ENSG00000165233,ENSG00000165458,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167113,ENSG00000167302,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000168876,ENSG00000169228,ENSG00000169682,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000172775,ENSG00000174989,ENSG00000176248,ENSG00000177030,ENSG00000177595,ENSG00000178295,ENSG00000178950,ENSG00000180098,ENSG00000182872,ENSG00000184056,ENSG00000185246,ENSG00000185917,ENSG00000186866,ENSG00000188566,ENSG00000196460,ENSG00000196739,ENSG00000197114,ENSG00000197586,ENSG00000197774,ENSG00000197912,ENSG00000198026,ENSG00000198198,ENSG00000204344,ENSG00000204348,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213339,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000242612,ENSG00000244607,ENSG00000256087,ENSG00000258366,ENSG00000266173"	1.06743453164193
"7"	"lavenderblush3"	TRUE	0.0234	5787	248	113	0.456	0.02	"GO:0005634"	"CC"	5	"nucleus"	2	"ENSG00000005206,ENSG00000005238,ENSG00000006744,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000080823,ENSG00000089053,ENSG00000092094,ENSG00000099326,ENSG00000099917,ENSG00000100023,ENSG00000100416,ENSG00000100949,ENSG00000101224,ENSG00000101442,ENSG00000102858,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000108465,ENSG00000110274,ENSG00000113761,ENSG00000114316,ENSG00000115207,ENSG00000116809,ENSG00000119760,ENSG00000122515,ENSG00000125450,ENSG00000125755,ENSG00000127054,ENSG00000127586,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000130827,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000135723,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000141562,ENSG00000141644,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160360,ENSG00000161265,ENSG00000161904,ENSG00000162227,ENSG00000165233,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000168876,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000172775,ENSG00000176248,ENSG00000177030,ENSG00000177595,ENSG00000178295,ENSG00000180098,ENSG00000182872,ENSG00000185246,ENSG00000185917,ENSG00000188566,ENSG00000196460,ENSG00000197114,ENSG00000197774,ENSG00000198026,ENSG00000204344,ENSG00000204348,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000244607,ENSG00000256087,ENSG00000258366,ENSG00000266173"	1.71060122635403
"8"	"lavenderblush3"	TRUE	6.51e-05	4200	248	97	0.391	0.023	"GO:0044428"	"CC"	5	"nuclear part"	3	"ENSG00000005206,ENSG00000006744,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000089053,ENSG00000092094,ENSG00000099917,ENSG00000100023,ENSG00000100416,ENSG00000100949,ENSG00000101224,ENSG00000101442,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000108465,ENSG00000110274,ENSG00000113761,ENSG00000115207,ENSG00000116809,ENSG00000119760,ENSG00000122515,ENSG00000125450,ENSG00000125755,ENSG00000127054,ENSG00000127586,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000141562,ENSG00000141644,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160360,ENSG00000161265,ENSG00000161904,ENSG00000162227,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000176248,ENSG00000177030,ENSG00000177595,ENSG00000178295,ENSG00000182872,ENSG00000185246,ENSG00000185917,ENSG00000197774,ENSG00000198026,ENSG00000204344,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000256087,ENSG00000258366,ENSG00000266173"	2.26686113785937
"9"	"lavenderblush3"	TRUE	2.16e-05	3933	248	94	0.379	0.024	"GO:0031981"	"CC"	5	"nuclear lumen"	4	"ENSG00000005206,ENSG00000006744,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000089053,ENSG00000092094,ENSG00000099917,ENSG00000100023,ENSG00000100416,ENSG00000100949,ENSG00000101224,ENSG00000101442,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000108465,ENSG00000110274,ENSG00000113761,ENSG00000115207,ENSG00000116809,ENSG00000119760,ENSG00000122515,ENSG00000125755,ENSG00000127054,ENSG00000127586,ENSG00000128482,ENSG00000128534,ENSG00000128563,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000131165,ENSG00000132207,ENSG00000132781,ENSG00000136147,ENSG00000136243,ENSG00000136271,ENSG00000139351,ENSG00000140400,ENSG00000140464,ENSG00000141562,ENSG00000141644,ENSG00000145214,ENSG00000145908,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000149716,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160360,ENSG00000161265,ENSG00000162227,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000176248,ENSG00000177030,ENSG00000177595,ENSG00000178295,ENSG00000182872,ENSG00000185917,ENSG00000197774,ENSG00000198026,ENSG00000204344,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000256087,ENSG00000258366,ENSG00000266173"	2.48419377213271
"10"	"lavenderblush3"	TRUE	0.000184	3384	248	82	0.331	0.024	"GO:0005654"	"CC"	5	"nucleoplasm"	4	"ENSG00000005206,ENSG00000006744,ENSG00000011243,ENSG00000014164,ENSG00000038358,ENSG00000039650,ENSG00000066117,ENSG00000071894,ENSG00000076201,ENSG00000089053,ENSG00000092094,ENSG00000099917,ENSG00000100023,ENSG00000100416,ENSG00000100949,ENSG00000101224,ENSG00000101442,ENSG00000102901,ENSG00000103510,ENSG00000104447,ENSG00000104859,ENSG00000105618,ENSG00000110274,ENSG00000115207,ENSG00000116809,ENSG00000119760,ENSG00000122515,ENSG00000125755,ENSG00000127054,ENSG00000127586,ENSG00000128482,ENSG00000128534,ENSG00000130177,ENSG00000130640,ENSG00000130813,ENSG00000132207,ENSG00000132781,ENSG00000136147,ENSG00000136243,ENSG00000140400,ENSG00000140464,ENSG00000141644,ENSG00000145214,ENSG00000146063,ENSG00000148606,ENSG00000149262,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000155256,ENSG00000158773,ENSG00000158941,ENSG00000160360,ENSG00000161265,ENSG00000162227,ENSG00000165684,ENSG00000165792,ENSG00000165819,ENSG00000167302,ENSG00000167967,ENSG00000168255,ENSG00000168488,ENSG00000171720,ENSG00000171824,ENSG00000172613,ENSG00000172732,ENSG00000176248,ENSG00000177595,ENSG00000178295,ENSG00000182872,ENSG00000198026,ENSG00000204344,ENSG00000204569,ENSG00000204713,ENSG00000204859,ENSG00000205581,ENSG00000213780,ENSG00000214078,ENSG00000239382,ENSG00000256087,ENSG00000258366,ENSG00000266173"	2.82602063333852
