"steelblue"	"green"	"darkgrey"	"orange"	"purple"	"blue"	"white"	"skyblue"	"skyblue3"	"salmon"	"lightcyan"	"red"	"turquoise"	"sienna3"	"darkorange"	"midnightblue"	"darkred"	"cyan"	"violet"	"grey60"	"pink"	"brown"	"saddlebrown"	"greenyellow"	"tan"	"black"	"darkgreen"	"paleturquoise"	"magenta"	"darkolivegreen"	"darkmagenta"	"lightyellow"	"lightgreen"	"yellowgreen"	"darkturquoise"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00248841181666466	1	1	1	1	1	1	1	1	1	1	0.000150796312228	1	1	1	1	1	1	1	1	1
"Bcells"	1	0.0204627081652579	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1.07891791220167e-41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	5.16010023645073e-15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.05654006404831e-07	1	1	1	1	1	1	1	1	1	1	1	6.48279835115345e-12	1	1	1	1
