"violet"	"purple"	"coral2"	"steelblue"	"lightpink4"	"brown2"	"skyblue3"	"saddlebrown"	"honeydew1"	"blue2"	"skyblue1"	"darkslateblue"	"plum1"	"darkolivegreen4"	"coral1"	"bisque4"	"lightcyan"	"darkorange2"	"darkseagreen4"	"firebrick4"	"mediumpurple3"	"darkgrey"	"magenta"	"plum2"	"darkolivegreen"	"blue"	"yellow4"	"antiquewhite4"	"brown4"	"yellowgreen"	"pink"	"navajowhite2"	"plum"	"ivory"	"darkmagenta"	"maroon"	"royalblue"	"lavenderblush3"	"mediumorchid"	"lightsteelblue"	"orangered3"	"mediumpurple2"	"darkturquoise"	"lightcoral"	"indianred4"	"thistle2"
"Astrocyte"	1	1	1	1	1	1	1	7.87814744480994e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.67259227149568e-23	1	1	1	1	1	1	1	0.00366508227862713	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	0.0142133737647091	1	1	1	1	1	1	1	1	0.000213606528283068	1	1	1	1	1	1	1.18455810525127e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	0.0142133737647091	1	1	1	1	1	1	1	1	0.000213606528283068	1	1	1	1	1	1	1.18455810525127e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	0.0184379357593903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.76671309851964e-06	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	9.69610929409318e-46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.27884667845861e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	8.89751900689135e-15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000504974050516787	1	5.43662555760147e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	9.75288273425158e-47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.2934557366745e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1.75244941047244e-22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Purkinje_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
