"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"violet"	TRUE	0.0438	162	206	10	0.049	0.062	"GO:0005775"	"CC"	2	"vacuolar lumen"	1	"ENSG00000005381,ENSG00000100299,ENSG00000108784,ENSG00000143387,ENSG00000169919,ENSG00000171298,ENSG00000172232,ENSG00000174080,ENSG00000179163,ENSG00000213420"	6.73094533457724
"2"	"violet"	TRUE	0.0142	85	206	8	0.039	0.094	"GO:0043202"	"CC"	2	"lysosomal lumen"	2	"ENSG00000100299,ENSG00000108784,ENSG00000143387,ENSG00000169919,ENSG00000171298,ENSG00000174080,ENSG00000179163,ENSG00000213420"	6.78095575515191
"3"	"violet"	TRUE	0.0137	4	206	3	0.015	0.75	"GO:0016428"	"MF"	3	"tRNA (cytosine-5-)-methyltransferase activity"	1	"ENSG00000037474,ENSG00000107614,ENSG00000241058"	10.9587050955517
"4"	"violet"	TRUE	0.0024	123	73	8	0.11	0.065	"KEGG:04142"	"keg"	1	"Lysosome"	1	"ENSG00000100299,ENSG00000108784,ENSG00000134262,ENSG00000143387,ENSG00000169919,ENSG00000171298,ENSG00000174080,ENSG00000179163"	NA
"5"	"purple"	TRUE	0.00417	237	326	17	0.052	0.072	"GO:0018212"	"BP"	45	"peptidyl-tyrosine modification"	1	"ENSG00000010671,ENSG00000019582,ENSG00000095970,ENSG00000101336,ENSG00000105329,ENSG00000105639,ENSG00000111679,ENSG00000150782,ENSG00000155307,ENSG00000155926,ENSG00000158517,ENSG00000160255,ENSG00000165025,ENSG00000167851,ENSG00000180353,ENSG00000182578,ENSG00000254087"	5.6074777765781
"6"	"purple"	TRUE	0.0035	234	326	17	0.052	0.073	"GO:0018108"	"BP"	45	"peptidyl-tyrosine phosphorylation"	2	"ENSG00000010671,ENSG00000019582,ENSG00000095970,ENSG00000101336,ENSG00000105329,ENSG00000105639,ENSG00000111679,ENSG00000150782,ENSG00000155307,ENSG00000155926,ENSG00000158517,ENSG00000160255,ENSG00000165025,ENSG00000167851,ENSG00000180353,ENSG00000182578,ENSG00000254087"	5.61146979784763
"7"	"purple"	TRUE	0.000712	26	326	7	0.021	0.269	"GO:0045730"	"BP"	55	"respiratory burst"	1	"ENSG00000018280,ENSG00000051523,ENSG00000101336,ENSG00000116701,ENSG00000128340,ENSG00000158517,ENSG00000165168"	8.32957033480334
"8"	"purple"	TRUE	0.00614	49	326	8	0.025	0.163	"GO:0006801"	"BP"	28	"superoxide metabolic process"	1	"ENSG00000051523,ENSG00000105329,ENSG00000116701,ENSG00000158517,ENSG00000160255,ENSG00000165025,ENSG00000165168,ENSG00000169896"	7.53561845512143
"9"	"purple"	TRUE	1.01e-05	23	326	8	0.025	0.348	"GO:0042554"	"BP"	28	"superoxide anion generation"	2	"ENSG00000051523,ENSG00000105329,ENSG00000116701,ENSG00000158517,ENSG00000160255,ENSG00000165025,ENSG00000165168,ENSG00000169896"	8.5302410302655
"10"	"purple"	TRUE	0.000108	1397	326	55	0.169	0.039	"GO:0051704"	"BP"	1	"multi-organism process"	1	"ENSG00000010327,ENSG00000010610,ENSG00000018280,ENSG00000019582,ENSG00000042980,ENSG00000051523,ENSG00000064012,ENSG00000081237,ENSG00000090382,ENSG00000091106,ENSG00000096996,ENSG00000101336,ENSG00000101347,ENSG00000103490,ENSG00000105329,ENSG00000105697,ENSG00000106799,ENSG00000111348,ENSG00000112799,ENSG00000118640,ENSG00000118785,ENSG00000131042,ENSG00000134061,ENSG00000134516,ENSG00000135077,ENSG00000137462,ENSG00000150782,ENSG00000154589,ENSG00000158869,ENSG00000161640,ENSG00000164342,ENSG00000165025,ENSG00000167207,ENSG00000168329,ENSG00000168961,ENSG00000169385,ENSG00000169413,ENSG00000170312,ENSG00000170458,ENSG00000172243,ENSG00000173535,ENSG00000174125,ENSG00000174130,ENSG00000183160,ENSG00000187554,ENSG00000196126,ENSG00000196664,ENSG00000197471,ENSG00000211893,ENSG00000211896,ENSG00000239713,ENSG00000239998,ENSG00000244509,ENSG00000254087,ENSG00000258484"	3.52629472432004
