"black"	"darkolivegreen"	"lightyellow"	"skyblue3"	"sienna3"	"turquoise"	"darkorange2"	"orangered4"	"darkturquoise"	"darkmagenta"	"cyan"	"darkorange"	"magenta"	"plum1"	"lightcyan1"	"lightsteelblue1"	"floralwhite"	"darkgrey"	"paleturquoise"	"saddlebrown"	"ivory"	"tan"	"darkgreen"
"Astrocyte"	1	1.93391714129196e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00168079723374881	9.47032628901572e-20	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	7.47943571787459e-21	1	1	1	1	1	1	1	1	1	1	1	1	3.83062149976687e-06	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	7.47943571787459e-21	1	1	1	1	1	1	1	1	1	1	1	1	3.83062149976687e-06	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	2.30508840259327e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000334777869173356	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	1.00936476755247e-43	1	1	1	1	1	1	1	1	1	1	5.42055128756357e-06	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1	4.64468489733166e-24	1	1	1	1	1	1	1	1	1	1	4.17601551635227e-17	0.000367446156039732	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	1	8.65429904657349e-47	1	1	1	1	1	1	1	1	1	1	0.0157022596125565	1	1	1	1	1	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1.23652840059558e-14	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Purkinje_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Endothelial_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1.46601415496352e-63	1	1	1	1	1	1	1	1	1
"Cortex_GabaPV_Neuroexpresso"	1	1	1	1	1	0.00361819463634938	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaRelnCalb_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaVIPReln_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00175386894512288	1	1	1	1
"Cortex_Microglia_Neuroexpresso"	1	1	1.36795781549799e-54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_MicrogliaActivation_Neuroexpresso"	1	1	2.52283519967944e-35	1	1	1	1	1	1	0.0212105647237735	1	1	1	1.0156672923307e-09	1	1	1	1	1	1	1	1	1
"Cortex_MicrogliaDeactivation_Neuroexpresso"	1	1	6.20252385027329e-62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1.09771011926074e-32	4.23099140587491e-05	1	1	1	1	1	1	1	1	1	1	1
"Cortex_OligoPrecursors_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	0.000474278438761569	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Pyramidal_Neuroexpresso"	1	1	1	1	1	4.82846075683543e-13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cytotoxiccells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom4"	1	1	1	1	1	1.17369142618084e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
