"greenyellow"	"maroon"	"darkmagenta"	"honeydew1"	"antiquewhite4"	"salmon"	"darkorange2"	"pink"	"violet"	"cyan"	"mediumorchid"	"orange"	"yellowgreen"	"palevioletred3"	"floralwhite"	"lavenderblush3"	"turquoise"	"lightgreen"	"darkslateblue"	"mediumpurple3"	"darkgrey"	"coral2"	"black"	"coral1"	"brown4"	"lightpink4"	"bisque4"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.92149441818133e-10	1	1	1.33181151025249e-06	1	1	1	1	1	1	6.39213928333685e-05	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	4.04008879486548e-08	1	1	1	1	1	3.08718893998049e-06	1	1	1	1	1	1	1	1	1	1	1	6.92509357658302e-09	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	4.04008879486548e-08	1	1	1	1	1	3.08718893998049e-06	1	1	1	1	1	1	1	1	1	1	1	6.92509357658302e-09	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.02777477016082e-05	1	1	0.00982440066614837	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1.58624833373595e-13	1	1	1	1	1	1	1.17133513296819e-34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	0.000219269839665442	1	1	1	1	1	1	1.38798941951466e-24	1	1	1	1	5.56917142393464e-05	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	1.72565447765177e-29	1	1	1	1	1	1	2.22169148721731e-22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	1.82798858347564e-24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Purkinje_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Endothelial_Neuroexpresso"	1	1	1	1.12869294007618e-10	1	1	1	1	0.00073400516450145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.52862123457088e-45
