"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"darkgreen"	TRUE	0.00228	5153	422	168	0.398	0.033	"GO:0071840"	"BP"	11	"cellular component organization or biogenesis"	1	"ENSG00000006712,ENSG00000008735,ENSG00000011009,ENSG00000015475,ENSG00000031823,ENSG00000054282,ENSG00000055950,ENSG00000061938,ENSG00000063245,ENSG00000064687,ENSG00000065518,ENSG00000071462,ENSG00000071655,ENSG00000073150,ENSG00000074071,ENSG00000076924,ENSG00000077463,ENSG00000079616,ENSG00000081059,ENSG00000086589,ENSG00000089163,ENSG00000092964,ENSG00000099624,ENSG00000099864,ENSG00000099901,ENSG00000100084,ENSG00000100225,ENSG00000101161,ENSG00000101189,ENSG00000101361,ENSG00000102030,ENSG00000102103,ENSG00000102178,ENSG00000102879,ENSG00000102996,ENSG00000103126,ENSG00000103510,ENSG00000103647,ENSG00000103653,ENSG00000104833,ENSG00000104946,ENSG00000104969,ENSG00000104980,ENSG00000105255,ENSG00000105270,ENSG00000105357,ENSG00000105364,ENSG00000105618,ENSG00000106089,ENSG00000106400,ENSG00000108518,ENSG00000108592,ENSG00000112130,ENSG00000113758,ENSG00000115286,ENSG00000116670,ENSG00000116871,ENSG00000116906,ENSG00000118046,ENSG00000120049,ENSG00000120896,ENSG00000121211,ENSG00000122033,ENSG00000122034,ENSG00000122140,ENSG00000123143,ENSG00000124688,ENSG00000126457,ENSG00000127191,ENSG00000127824,ENSG00000127837,ENSG00000128011,ENSG00000128596,ENSG00000129194,ENSG00000129355,ENSG00000129460,ENSG00000130165,ENSG00000130204,ENSG00000130479,ENSG00000130489,ENSG00000130558,ENSG00000130643,ENSG00000130669,ENSG00000130726,ENSG00000130734,ENSG00000131165,ENSG00000131351,ENSG00000131409,ENSG00000131462,ENSG00000132376,ENSG00000132471,ENSG00000132589,ENSG00000132591,ENSG00000133316,ENSG00000136271,ENSG00000136717,ENSG00000136856,ENSG00000137343,ENSG00000141456,ENSG00000141499,ENSG00000141522,ENSG00000141551,ENSG00000141577,ENSG00000142655,ENSG00000144524,ENSG00000147099,ENSG00000148335,ENSG00000148356,ENSG00000156261,ENSG00000156928,ENSG00000157851,ENSG00000157927,ENSG00000157954,ENSG00000158747,ENSG00000159069,ENSG00000159363,ENSG00000159692,ENSG00000159840,ENSG00000160087,ENSG00000160570,ENSG00000160633,ENSG00000160948,ENSG00000163159,ENSG00000163348,ENSG00000165688,ENSG00000165879,ENSG00000166333,ENSG00000166582,ENSG00000167535,ENSG00000167552,ENSG00000167657,ENSG00000167674,ENSG00000167792,ENSG00000168275,ENSG00000168434,ENSG00000169217,ENSG00000169221,ENSG00000169738,ENSG00000169750,ENSG00000171552,ENSG00000171992,ENSG00000173801,ENSG00000175467,ENSG00000175826,ENSG00000176476,ENSG00000179588,ENSG00000184363,ENSG00000184640,ENSG00000184922,ENSG00000185324,ENSG00000185627,ENSG00000186395,ENSG00000188229,ENSG00000188486,ENSG00000196230,ENSG00000196365,ENSG00000196998,ENSG00000197457,ENSG00000203879,ENSG00000204209,ENSG00000204316,ENSG00000204435,ENSG00000204673,ENSG00000205138,ENSG00000205571,ENSG00000231925,ENSG00000232838,ENSG00000258947"	2.24797428336949
"2"	"darkgreen"	TRUE	0.038	4989	422	158	0.374	0.032	"GO:0016043"	"BP"	11	"cellular component organization"	2	"ENSG00000006712,ENSG00000008735,ENSG00000011009,ENSG00000015475,ENSG00000031823,ENSG00000054282,ENSG00000055950,ENSG00000061938,ENSG00000063245,ENSG00000064687,ENSG00000065518,ENSG00000071655,ENSG00000073150,ENSG00000074071,ENSG00000076924,ENSG00000077463,ENSG00000079616,ENSG00000081059,ENSG00000086589,ENSG00000089163,ENSG00000092964,ENSG00000099624,ENSG00000099864,ENSG00000099901,ENSG00000100084,ENSG00000100225,ENSG00000101161,ENSG00000101189,ENSG00000102030,ENSG00000102103,ENSG00000102178,ENSG00000102879,ENSG00000102996,ENSG00000103126,ENSG00000103510,ENSG00000103647,ENSG00000103653,ENSG00000104833,ENSG00000104946,ENSG00000104969,ENSG00000104980,ENSG00000105255,ENSG00000105270,ENSG00000105357,ENSG00000105364,ENSG00000105618,ENSG00000106089,ENSG00000106400,ENSG00000108518,ENSG00000112130,ENSG00000113758,ENSG00000115286,ENSG00000116670,ENSG00000116871,ENSG00000116906,ENSG00000118046,ENSG00000120049,ENSG00000120896,ENSG00000121211,ENSG00000122033,ENSG00000122140,ENSG00000123143,ENSG00000124688,ENSG00000126457,ENSG00000127191,ENSG00000127824,ENSG00000128011,ENSG00000128596,ENSG00000129194,ENSG00000129355,ENSG00000130165,ENSG00000130204,ENSG00000130479,ENSG00000130489,ENSG00000130558,ENSG00000130643,ENSG00000130669,ENSG00000130726,ENSG00000130734,ENSG00000131165,ENSG00000131351,ENSG00000131409,ENSG00000131462,ENSG00000132376,ENSG00000132471,ENSG00000132589,ENSG00000132591,ENSG00000136717,ENSG00000136856,ENSG00000137343,ENSG00000141499,ENSG00000141522,ENSG00000141551,ENSG00000141577,ENSG00000142655,ENSG00000144524,ENSG00000147099,ENSG00000148335,ENSG00000148356,ENSG00000156261,ENSG00000157851,ENSG00000157927,ENSG00000157954,ENSG00000158747,ENSG00000159069,ENSG00000159363,ENSG00000159692,ENSG00000159840,ENSG00000160087,ENSG00000160570,ENSG00000160633,ENSG00000160948,ENSG00000163159,ENSG00000163348,ENSG00000165688,ENSG00000165879,ENSG00000166333,ENSG00000166582,ENSG00000167535,ENSG00000167552,ENSG00000167657,ENSG00000167674,ENSG00000167792,ENSG00000168275,ENSG00000168434,ENSG00000169217,ENSG00000169221,ENSG00000169738,ENSG00000169750,ENSG00000171552,ENSG00000171992,ENSG00000173801,ENSG00000175467,ENSG00000175826,ENSG00000176476,ENSG00000179588,ENSG00000184363,ENSG00000184640,ENSG00000184922,ENSG00000185324,ENSG00000185627,ENSG00000186395,ENSG00000188229,ENSG00000188486,ENSG00000196230,ENSG00000196365,ENSG00000196998,ENSG00000197457,ENSG00000203879,ENSG00000204209,ENSG00000204316,ENSG00000204435,ENSG00000204673,ENSG00000205138,ENSG00000205571,ENSG00000231925,ENSG00000232838,ENSG00000258947"	2.26874934594445
"3"	"darkgreen"	TRUE	0.0359	760	422	38	0.09	0.05	"GO:0006396"	"BP"	9	"RNA processing"	1	"ENSG00000006712,ENSG00000014164,ENSG00000060688,ENSG00000068438,ENSG00000071462,ENSG00000076924,ENSG00000084072,ENSG00000086589,ENSG00000091542,ENSG00000099783,ENSG00000100142,ENSG00000101161,ENSG00000101361,ENSG00000102103,ENSG00000104824,ENSG00000105618,ENSG00000105705,ENSG00000108592,ENSG00000116350,ENSG00000123154,ENSG00000125970,ENSG00000129460,ENSG00000130956,ENSG00000136271,ENSG00000137656,ENSG00000138385,ENSG00000141456,ENSG00000143294,ENSG00000143368,ENSG00000160075,ENSG00000160570,ENSG00000160633,ENSG00000164610,ENSG00000169217,ENSG00000169564,ENSG00000175467,ENSG00000205571,ENSG00000205937"	4.43281480150599
"4"	"darkgreen"	TRUE	0.0327	375	422	24	0.057	0.064	"GO:0008380"	"BP"	9	"RNA splicing"	2	"ENSG00000060688,ENSG00000076924,ENSG00000084072,ENSG00000086589,ENSG00000099783,ENSG00000100142,ENSG00000101161,ENSG00000102103,ENSG00000104824,ENSG00000105618,ENSG00000105705,ENSG00000116350,ENSG00000123154,ENSG00000125970,ENSG00000130956,ENSG00000137656,ENSG00000143294,ENSG00000143368,ENSG00000164610,ENSG00000169217,ENSG00000169564,ENSG00000175467,ENSG00000205571,ENSG00000205937"	5.11921555966708
"5"	"darkgreen"	TRUE	0.015	310	422	22	0.052	0.071	"GO:0000375"	"BP"	9	"RNA splicing, via transesterification reactions"	3	"ENSG00000060688,ENSG00000076924,ENSG00000084072,ENSG00000086589,ENSG00000099783,ENSG00000100142,ENSG00000101161,ENSG00000102103,ENSG00000104824,ENSG00000105618,ENSG00000105705,ENSG00000116350,ENSG00000123154,ENSG00000125970,ENSG00000137656,ENSG00000143294,ENSG00000143368,ENSG00000169217,ENSG00000169564,ENSG00000175467,ENSG00000205571,ENSG00000205937"	5.57610265401034
"6"	"darkgreen"	TRUE	0.0129	307	422	22	0.052	0.072	"GO:0000377"	"BP"	9	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	4	"ENSG00000060688,ENSG00000076924,ENSG00000084072,ENSG00000086589,ENSG00000099783,ENSG00000100142,ENSG00000101161,ENSG00000102103,ENSG00000104824,ENSG00000105618,ENSG00000105705,ENSG00000116350,ENSG00000123154,ENSG00000125970,ENSG00000137656,ENSG00000143294,ENSG00000143368,ENSG00000169217,ENSG00000169564,ENSG00000175467,ENSG00000205571,ENSG00000205937"	5.62556872222713
"7"	"darkgreen"	TRUE	0.00217	391	422	27	0.064	0.069	"GO:0006397"	"BP"	9	"mRNA processing"	1	"ENSG00000006712,ENSG00000014164,ENSG00000060688,ENSG00000076924,ENSG00000084072,ENSG00000086589,ENSG00000091542,ENSG00000099783,ENSG00000100142,ENSG00000101161,ENSG00000102103,ENSG00000104824,ENSG00000105618,ENSG00000105705,ENSG00000116350,ENSG00000123154,ENSG00000125970,ENSG00000137656,ENSG00000143294,ENSG00000143368,ENSG00000160075,ENSG00000160633,ENSG00000169217,ENSG00000169564,ENSG00000175467,ENSG00000205571,ENSG00000205937"	5.10706474188456
"8"	"darkgreen"	TRUE	0.0129	307	422	22	0.052	0.072	"GO:0000398"	"BP"	9	"mRNA splicing, via spliceosome"	2	"ENSG00000060688,ENSG00000076924,ENSG00000084072,ENSG00000086589,ENSG00000099783,ENSG00000100142,ENSG00000101161,ENSG00000102103,ENSG00000104824,ENSG00000105618,ENSG00000105705,ENSG00000116350,ENSG00000123154,ENSG00000125970,ENSG00000137656,ENSG00000143294,ENSG00000143368,ENSG00000169217,ENSG00000169564,ENSG00000175467,ENSG00000205571,ENSG00000205937"	5.62556872222713
"9"	"darkgreen"	TRUE	0.000353	4713	422	160	0.379	0.034	"GO:0005829"	"CC"	8	"cytosol"	1	"ENSG00000008018,ENSG00000011009,ENSG00000014216,ENSG00000015475,ENSG00000037042,ENSG00000054282,ENSG00000060688,ENSG00000063245,ENSG00000067057,ENSG00000068120,ENSG00000068308,ENSG00000068438,ENSG00000070423,ENSG00000070814,ENSG00000079435,ENSG00000079616,ENSG00000084072,ENSG00000085662,ENSG00000087460,ENSG00000090273,ENSG00000091542,ENSG00000092964,ENSG00000099901,ENSG00000100142,ENSG00000100225,ENSG00000101199,ENSG00000102030,ENSG00000102103,ENSG00000102178,ENSG00000103024,ENSG00000103126,ENSG00000103275,ENSG00000103653,ENSG00000104140,ENSG00000104825,ENSG00000104833,ENSG00000104946,ENSG00000104969,ENSG00000104976,ENSG00000105173,ENSG00000105270,ENSG00000105357,ENSG00000105364,ENSG00000106089,ENSG00000106263,ENSG00000107829,ENSG00000108262,ENSG00000108518,ENSG00000112130,ENSG00000115211,ENSG00000116670,ENSG00000116871,ENSG00000116906,ENSG00000118046,ENSG00000120896,ENSG00000121905,ENSG00000123143,ENSG00000126457,ENSG00000127191,ENSG00000127554,ENSG00000127585,ENSG00000127824,ENSG00000127837,ENSG00000129158,ENSG00000129355,ENSG00000130204,ENSG00000130479,ENSG00000130560,ENSG00000130734,ENSG00000130956,ENSG00000131351,ENSG00000131462,ENSG00000132323,ENSG00000132376,ENSG00000132522,ENSG00000132591,ENSG00000133243,ENSG00000135144,ENSG00000136717,ENSG00000137343,ENSG00000140691,ENSG00000141499,ENSG00000141522,ENSG00000141551,ENSG00000141577,ENSG00000141985,ENSG00000143207,ENSG00000143774,ENSG00000144524,ENSG00000144827,ENSG00000145901,ENSG00000147099,ENSG00000147813,ENSG00000148335,ENSG00000148356,ENSG00000149923,ENSG00000151640,ENSG00000156261,ENSG00000156873,ENSG00000156928,ENSG00000157514,ENSG00000157851,ENSG00000157954,ENSG00000158417,ENSG00000159069,ENSG00000159231,ENSG00000159692,ENSG00000159840,ENSG00000160075,ENSG00000160948,ENSG00000160999,ENSG00000163481,ENSG00000163541,ENSG00000163719,ENSG00000163931,ENSG00000164610,ENSG00000164897,ENSG00000165233,ENSG00000165879,ENSG00000166333,ENSG00000166896,ENSG00000167363,ENSG00000167535,ENSG00000167552,ENSG00000167671,ENSG00000167792,ENSG00000168393,ENSG00000169217,ENSG00000169564,ENSG00000169750,ENSG00000170445,ENSG00000171206,ENSG00000172354,ENSG00000173020,ENSG00000173801,ENSG00000175467,ENSG00000177380,ENSG00000179262,ENSG00000179632,ENSG00000182208,ENSG00000184922,ENSG00000185236,ENSG00000185627,ENSG00000185909,ENSG00000186395,ENSG00000188191,ENSG00000188229,ENSG00000196365,ENSG00000196998,ENSG00000198355,ENSG00000203879,ENSG00000204209,ENSG00000204315,ENSG00000204435,ENSG00000204673,ENSG00000205571,ENSG00000205937,ENSG00000213523,ENSG00000214530,ENSG00000244687"	2.92726832673672
"10"	"darkgreen"	TRUE	0.00222	192	422	18	0.043	0.094	"GO:0005874"	"CC"	7	"microtubule"	1	"ENSG00000037042,ENSG00000070501,ENSG00000092964,ENSG00000104833,ENSG00000105255,ENSG00000127824,ENSG00000130479,ENSG00000131462,ENSG00000137267,ENSG00000141551,ENSG00000156261,ENSG00000157927,ENSG00000167552,ENSG00000169738,ENSG00000184640,ENSG00000188229,ENSG00000196230,ENSG00000258947"	5.1093860616108
