"paleturquoise"	"coral1"	"lightsteelblue1"	"yellowgreen"	"darkolivegreen"	"grey"	"mediumpurple2"	"indianred4"	"saddlebrown"	"darkgrey"	"green"	"coral2"	"white"	"sienna3"	"mediumpurple3"	"darkred"	"cyan"	"darkorange"	"maroon"	"darkturquoise"	"plum2"	"mediumorchid"	"darkorange2"	"yellow4"	"lightpink4"	"orangered4"	"lightcyan"	"antiquewhite4"	"royalblue"	"floralwhite"	"darkgreen"	"lightgreen"	"skyblue"	"darkseagreen4"	"orange"	"greenyellow"	"lightcoral"	"tan"	"grey60"	"lightsteelblue"	"ivory"	"brown4"	"skyblue3"	"plum1"	"lavenderblush3"	"navajowhite2"	"thistle1"	"bisque4"	"honeydew1"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00609418011446581	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.42382130275396e-18	1	1	1	1	0.00326867185553674	1	0.00608377327958533	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0351794286353795	1	1	1	1	0.0347069823289187	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0351794286353795	1	1	1	1	0.0347069823289187	1	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0229005216610004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.91688400854312e-06	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	1	1	1	1	1	1	3.97897826974338e-34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0365630601327634	1	1	1
