"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"paleturquoise"	TRUE	0.0311	10321	345	238	0.69	0.023	"GO:0043229"	"CC"	2	"intracellular organelle"	1	"ENSG00000001497,ENSG00000004777,ENSG00000006025,ENSG00000008838,ENSG00000009950,ENSG00000011143,ENSG00000013573,ENSG00000013810,ENSG00000014164,ENSG00000015676,ENSG00000028277,ENSG00000037757,ENSG00000041880,ENSG00000044090,ENSG00000046647,ENSG00000060971,ENSG00000065717,ENSG00000065989,ENSG00000068120,ENSG00000070366,ENSG00000072135,ENSG00000077463,ENSG00000078808,ENSG00000079974,ENSG00000083807,ENSG00000089094,ENSG00000094914,ENSG00000095383,ENSG00000096093,ENSG00000099783,ENSG00000099797,ENSG00000099840,ENSG00000100038,ENSG00000100099,ENSG00000100142,ENSG00000100151,ENSG00000100197,ENSG00000100307,ENSG00000100836,ENSG00000101019,ENSG00000101115,ENSG00000101337,ENSG00000102030,ENSG00000102125,ENSG00000102878,ENSG00000102901,ENSG00000103202,ENSG00000103510,ENSG00000103932,ENSG00000104852,ENSG00000104897,ENSG00000104946,ENSG00000104973,ENSG00000105053,ENSG00000105221,ENSG00000105327,ENSG00000105397,ENSG00000105618,ENSG00000105755,ENSG00000106009,ENSG00000106290,ENSG00000106628,ENSG00000108465,ENSG00000108669,ENSG00000108773,ENSG00000109072,ENSG00000109083,ENSG00000110074,ENSG00000110274,ENSG00000111653,ENSG00000111676,ENSG00000111752,ENSG00000112039,ENSG00000112855,ENSG00000114270,ENSG00000114388,ENSG00000114626,ENSG00000115204,ENSG00000115257,ENSG00000115286,ENSG00000116039,ENSG00000117640,ENSG00000119650,ENSG00000121053,ENSG00000121057,ENSG00000121289,ENSG00000121851,ENSG00000122965,ENSG00000124507,ENSG00000124587,ENSG00000124749,ENSG00000125485,ENSG00000125746,ENSG00000125755,ENSG00000125912,ENSG00000126001,ENSG00000126218,ENSG00000126351,ENSG00000126457,ENSG00000127054,ENSG00000127445,ENSG00000127580,ENSG00000130299,ENSG00000130414,ENSG00000130702,ENSG00000130714,ENSG00000131069,ENSG00000131400,ENSG00000132024,ENSG00000132259,ENSG00000132589,ENSG00000132591,ENSG00000132781,ENSG00000133243,ENSG00000133247,ENSG00000133878,ENSG00000135074,ENSG00000135390,ENSG00000135423,ENSG00000135702,ENSG00000135931,ENSG00000137074,ENSG00000137098,ENSG00000137100,ENSG00000137497,ENSG00000138162,ENSG00000139437,ENSG00000139624,ENSG00000139767,ENSG00000140398,ENSG00000140488,ENSG00000141252,ENSG00000141391,ENSG00000141562,ENSG00000141622,ENSG00000141837,ENSG00000142765,ENSG00000142784,ENSG00000143442,ENSG00000143624,ENSG00000145191,ENSG00000145901,ENSG00000146067,ENSG00000148308,ENSG00000149541,ENSG00000149577,ENSG00000151500,ENSG00000154370,ENSG00000155066,ENSG00000155256,ENSG00000156787,ENSG00000157379,ENSG00000157927,ENSG00000159111,ENSG00000160439,ENSG00000161513,ENSG00000161558,ENSG00000163155,ENSG00000163161,ENSG00000163482,ENSG00000165661,ENSG00000165684,ENSG00000165819,ENSG00000166582,ENSG00000167323,ENSG00000167371,ENSG00000167393,ENSG00000167549,ENSG00000167733,ENSG00000167925,ENSG00000168014,ENSG00000168395,ENSG00000168936,ENSG00000169683,ENSG00000169689,ENSG00000169919,ENSG00000170276,ENSG00000171097,ENSG00000171163,ENSG00000171680,ENSG00000171703,ENSG00000171953,ENSG00000172009,ENSG00000172345,ENSG00000172819,ENSG00000172936,ENSG00000173818,ENSG00000173992,ENSG00000174483,ENSG00000174669,ENSG00000174915,ENSG00000176476,ENSG00000176884,ENSG00000176978,ENSG00000178028,ENSG00000178927,ENSG00000178950,ENSG00000178971,ENSG00000179304,ENSG00000179335,ENSG00000179364,ENSG00000181404,ENSG00000182196,ENSG00000182979,ENSG00000183020,ENSG00000184381,ENSG00000184451,ENSG00000184465,ENSG00000184897,ENSG00000185324,ENSG00000185633,ENSG00000186787,ENSG00000188130,ENSG00000188603,ENSG00000197956,ENSG00000198563,ENSG00000198720,ENSG00000198722,ENSG00000204316,ENSG00000204536,ENSG00000204991,ENSG00000205593,ENSG00000205702,ENSG00000213015,ENSG00000213339,ENSG00000213672,ENSG00000214022,ENSG00000221978,ENSG00000228049,ENSG00000240771,ENSG00000241878,ENSG00000242173,ENSG00000246922,ENSG00000249115,ENSG00000250506,ENSG00000254852,ENSG00000257365,ENSG00000261308"	0.883484947044495
"2"	"paleturquoise"	TRUE	0.0132	11003	345	252	0.73	0.023	"GO:0005515"	"MF"	1	"protein binding"	1	"ENSG00000004777,ENSG00000006025,ENSG00000006071,ENSG00000008838,ENSG00000009950,ENSG00000011132,ENSG00000011143,ENSG00000013573,ENSG00000013810,ENSG00000015676,ENSG00000037757,ENSG00000044090,ENSG00000046647,ENSG00000049540,ENSG00000055118,ENSG00000059915,ENSG00000060971,ENSG00000065717,ENSG00000065989,ENSG00000067840,ENSG00000068120,ENSG00000070366,ENSG00000071889,ENSG00000072135,ENSG00000076344,ENSG00000077463,ENSG00000078808,ENSG00000079974,ENSG00000084764,ENSG00000089094,ENSG00000092295,ENSG00000095059,ENSG00000095383,ENSG00000096093,ENSG00000099783,ENSG00000099797,ENSG00000099866,ENSG00000100038,ENSG00000100099,ENSG00000100151,ENSG00000100302,ENSG00000100307,ENSG00000100836,ENSG00000100842,ENSG00000101019,ENSG00000101115,ENSG00000101337,ENSG00000101391,ENSG00000102030,ENSG00000102901,ENSG00000103202,ENSG00000103510,ENSG00000103932,ENSG00000104852,ENSG00000104897,ENSG00000104946,ENSG00000104973,ENSG00000105053,ENSG00000105221,ENSG00000105327,ENSG00000105397,ENSG00000105618,ENSG00000105664,ENSG00000105700,ENSG00000106009,ENSG00000106290,ENSG00000106333,ENSG00000106628,ENSG00000107281,ENSG00000107829,ENSG00000108375,ENSG00000108465,ENSG00000108669,ENSG00000108773,ENSG00000108839,ENSG00000109065,ENSG00000109072,ENSG00000109083,ENSG00000110274,ENSG00000111653,ENSG00000111676,ENSG00000111752,ENSG00000112039,ENSG00000112855,ENSG00000114270,ENSG00000114388,ENSG00000114626,ENSG00000115204,ENSG00000115257,ENSG00000115286,ENSG00000116691,ENSG00000117640,ENSG00000119650,ENSG00000120896,ENSG00000121057,ENSG00000121289,ENSG00000121851,ENSG00000124357,ENSG00000124507,ENSG00000124587,ENSG00000125485,ENSG00000125510,ENSG00000125746,ENSG00000125755,ENSG00000125826,ENSG00000125912,ENSG00000126001,ENSG00000126218,ENSG00000126351,ENSG00000126457,ENSG00000127054,ENSG00000127445,ENSG00000127580,ENSG00000128891,ENSG00000130299,ENSG00000130702,ENSG00000131067,ENSG00000132024,ENSG00000132589,ENSG00000132591,ENSG00000132635,ENSG00000132781,ENSG00000132879,ENSG00000133243,ENSG00000133247,ENSG00000133878,ENSG00000134291,ENSG00000135074,ENSG00000135083,ENSG00000135423,ENSG00000136002,ENSG00000137074,ENSG00000137098,ENSG00000137100,ENSG00000137171,ENSG00000137497,ENSG00000137764,ENSG00000138162,ENSG00000139437,ENSG00000140398,ENSG00000141084,ENSG00000141252,ENSG00000141391,ENSG00000141504,ENSG00000141562,ENSG00000141622,ENSG00000141699,ENSG00000141837,ENSG00000142765,ENSG00000142784,ENSG00000143375,ENSG00000143442,ENSG00000143624,ENSG00000143847,ENSG00000145191,ENSG00000145901,ENSG00000146021,ENSG00000146067,ENSG00000146776,ENSG00000147439,ENSG00000148308,ENSG00000148356,ENSG00000149541,ENSG00000154370,ENSG00000155256,ENSG00000157379,ENSG00000157927,ENSG00000159111,ENSG00000160767,ENSG00000160972,ENSG00000162728,ENSG00000162729,ENSG00000163155,ENSG00000163161,ENSG00000163482,ENSG00000163701,ENSG00000165684,ENSG00000165819,ENSG00000167323,ENSG00000167371,ENSG00000167393,ENSG00000167508,ENSG00000167525,ENSG00000167549,ENSG00000167615,ENSG00000168014,ENSG00000168096,ENSG00000168395,ENSG00000168477,ENSG00000169683,ENSG00000169689,ENSG00000169919,ENSG00000170276,ENSG00000171097,ENSG00000171425,ENSG00000171680,ENSG00000171703,ENSG00000171953,ENSG00000172819,ENSG00000172890,ENSG00000172936,ENSG00000173992,ENSG00000174483,ENSG00000176476,ENSG00000176884,ENSG00000178028,ENSG00000178498,ENSG00000178927,ENSG00000178950,ENSG00000178971,ENSG00000179304,ENSG00000179335,ENSG00000179364,ENSG00000181404,ENSG00000181513,ENSG00000182196,ENSG00000182979,ENSG00000183020,ENSG00000183317,ENSG00000184451,ENSG00000184465,ENSG00000184787,ENSG00000184897,ENSG00000185324,ENSG00000186184,ENSG00000186787,ENSG00000187902,ENSG00000188130,ENSG00000188603,ENSG00000196405,ENSG00000196663,ENSG00000196689,ENSG00000197956,ENSG00000198563,ENSG00000198722,ENSG00000198753,ENSG00000203950,ENSG00000204084,ENSG00000205593,ENSG00000213015,ENSG00000213339,ENSG00000213672,ENSG00000213927,ENSG00000214946,ENSG00000221978,ENSG00000237441,ENSG00000239779,ENSG00000242173,ENSG00000246922,ENSG00000249115,ENSG00000250506,ENSG00000257365"	1.0162372433747
"3"	"lightsteelblue1"	TRUE	0.0486	51	122	5	0.041	0.098	"GO:0051438"	"BP"	16	"regulation of ubiquitin-protein transferase activity"	1	"ENSG00000122406,ENSG00000125691,ENSG00000140988,ENSG00000142676,ENSG00000171863"	6.11234509076046
"4"	"lightsteelblue1"	TRUE	0.0179	20	122	4	0.033	0.2	"GO:1904666"	"BP"	16	"regulation of ubiquitin protein ligase activity"	2	"ENSG00000122406,ENSG00000125691,ENSG00000142676,ENSG00000171863"	7.99743649978073
"5"	"lightsteelblue1"	TRUE	0.00518	15	122	4	0.033	0.267	"GO:0051444"	"BP"	16	"negative regulation of ubiquitin-protein transferase activity"	1	"ENSG00000122406,ENSG00000125691,ENSG00000142676,ENSG00000171863"	7.03028735067308
"6"	"lightsteelblue1"	TRUE	0.000493	9	122	4	0.033	0.444	"GO:1904667"	"BP"	16	"negative regulation of ubiquitin protein ligase activity"	2	"ENSG00000122406,ENSG00000125691,ENSG00000142676,ENSG00000171863"	8.04188826235156
"7"	"lightsteelblue1"	TRUE	0.0112	38	122	5	0.041	0.132	"GO:2000059"	"BP"	10	"negative regulation of ubiquitin-dependent protein catabolic process"	1	"ENSG00000105373,ENSG00000122406,ENSG00000125691,ENSG00000142676,ENSG00000171863"	9.74663635458999
"8"	"lightsteelblue1"	TRUE	0.0189	5153	122	58	0.475	0.011	"GO:0071840"	"BP"	4	"cellular component organization or biogenesis"	1	"ENSG00000063046,ENSG00000083845,ENSG00000089009,ENSG00000100316,ENSG00000101213,ENSG00000102871,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000109475,ENSG00000111678,ENSG00000114391,ENSG00000115268,ENSG00000122406,ENSG00000124614,ENSG00000125691,ENSG00000130529,ENSG00000131469,ENSG00000134571,ENSG00000135486,ENSG00000136938,ENSG00000136942,ENSG00000137154,ENSG00000138326,ENSG00000140988,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000142945,ENSG00000143947,ENSG00000147403,ENSG00000147604,ENSG00000148303,ENSG00000149273,ENSG00000161970,ENSG00000164171,ENSG00000164587,ENSG00000168028,ENSG00000170889,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000177954,ENSG00000181163,ENSG00000182264,ENSG00000182899,ENSG00000186468,ENSG00000188846,ENSG00000196683,ENSG00000197616,ENSG00000197958,ENSG00000198242,ENSG00000198755,ENSG00000204628,ENSG00000211445,ENSG00000221983,ENSG00000231500,ENSG00000233927"	2.24797428336949
"9"	"lightsteelblue1"	TRUE	1.34e-09	2574	122	50	0.41	0.019	"GO:0044085"	"BP"	4	"cellular component biogenesis"	2	"ENSG00000063046,ENSG00000083845,ENSG00000089009,ENSG00000100316,ENSG00000102871,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000109475,ENSG00000114391,ENSG00000115268,ENSG00000122406,ENSG00000124614,ENSG00000130529,ENSG00000131469,ENSG00000134571,ENSG00000136938,ENSG00000136942,ENSG00000137154,ENSG00000138326,ENSG00000140988,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143947,ENSG00000147403,ENSG00000147604,ENSG00000148303,ENSG00000149273,ENSG00000161970,ENSG00000164587,ENSG00000168028,ENSG00000170889,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000177954,ENSG00000181163,ENSG00000182899,ENSG00000186468,ENSG00000188846,ENSG00000197616,ENSG00000197958,ENSG00000198242,ENSG00000198755,ENSG00000204628,ENSG00000211445,ENSG00000221983,ENSG00000231500,ENSG00000233927"	3.59204368857778
"10"	"lightsteelblue1"	TRUE	2.28e-33	382	122	40	0.328	0.105	"GO:0022613"	"BP"	4	"ribonucleoprotein complex biogenesis"	3	"ENSG00000063046,ENSG00000083845,ENSG00000089009,ENSG00000100316,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000109475,ENSG00000114391,ENSG00000115268,ENSG00000122406,ENSG00000124614,ENSG00000131469,ENSG00000136942,ENSG00000137154,ENSG00000138326,ENSG00000140988,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000147403,ENSG00000147604,ENSG00000148303,ENSG00000161970,ENSG00000164587,ENSG00000168028,ENSG00000170889,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000177954,ENSG00000181163,ENSG00000182899,ENSG00000186468,ENSG00000188846,ENSG00000197958,ENSG00000198242,ENSG00000198755,ENSG00000231500,ENSG00000233927"	5.54568205730963
