"steelblue"	"pink"	"lightgreen"	"lightyellow"	"darkorange"	"red"	"darkred"	"darkgreen"	"royalblue"	"white"	"salmon"	"blue"	"orange"	"paleturquoise"	"brown"	"darkgrey"	"turquoise"	"black"	"midnightblue"	"magenta"	"skyblue"	"darkturquoise"	"saddlebrown"	"cyan"	"lightcyan"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	0.0116325830574854	1	1	1	1	1	1	1	1	1	0.00448899522498154	1	8.60184418145718e-32	1	0.00497863093812636
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.32423492948946e-12	1	2.91899627042462e-05	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.32423492948946e-12	1	2.91899627042462e-05	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00382938768880263	1	0.0261779929371914
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	4.1453730022395e-39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.83964322385997e-05	1	1	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1	9.61480559212588e-12	1	1	1	0.00255748802403382	1	1	1	1	1	1	0.0340069716580144	1	1	1	1	1.56071777158467e-15	1	1	1	1	1	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	1	7.63759669958727e-39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	4.22256902710345e-16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Purkinje_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Endothelial_Neuroexpresso"	1	0.00556656356915401	1	1	1	1	1	1	1	1	1	1	1	1	1	3.07412639901703e-49	1	1	1.2558138016347e-10	1	1	1	1	1	1
"Cortex_GabaPV_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaRelnCalb_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaVIPReln_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0491204488099916	1	1	1	1	1	1	1	1	1	1
"Cortex_Microglia_Neuroexpresso"	1	1	4.2570773196808e-48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0284718292102735	1	1	1	1	1	1
"Cortex_MicrogliaActivation_Neuroexpresso"	1	1	3.03094005366855e-20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.11763409888831e-16	1	1	1	1	1	1
"Cortex_MicrogliaDeactivation_Neuroexpresso"	1	1	6.81616582191513e-52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
