"blue"	"lightyellow"	"violet"	"paleturquoise"	"red"	"darkgreen"	"orange"	"grey60"	"cyan"	"black"	"darkmagenta"	"darkred"	"greenyellow"	"turquoise"	"green"	"darkgrey"	"white"	"skyblue3"	"plum1"	"darkorange"	"darkolivegreen"	"magenta"	"midnightblue"	"sienna3"	"darkturquoise"	"orangered4"
"Astrocyte"	1	1	1	1	5.90437910189735e-13	1	1	3.0704529391368e-13	1	1	1	1	1	1	1	1	0.0149637924393037	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	6.36403164986153e-16	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	6.36403164986153e-16	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	2.48439156575281e-06	1	1	7.92520411802393e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	6.28156268699306e-37	1	1	1	1	1	1	1	1	1	0.00147588296732852	1	1	1	1	1	1	1	1	1	1	1	1	1	1
