"darkslateblue"	"cyan"	"violet"	"lavenderblush3"	"saddlebrown"	"salmon4"	"darkorange2"	"lightyellow"	"mediumpurple3"	"brown"	"darkgreen"	"darkturquoise"	"palevioletred3"	"maroon"	"brown4"	"orangered4"	"pink"	"lightcyan1"	"ivory"	"coral1"	"navajowhite2"	"sienna3"	"darkorange"	"honeydew1"	"yellowgreen"	"darkgrey"	"plum1"	"skyblue"	"lightpink4"	"bisque4"	"steelblue"	"tan"	"plum2"	"blue"	"yellow"	"darkred"	"orange"	"darkolivegreen"	"floralwhite"
"Astrocyte"	1	1	1	1	1	1	1.29729709552244e-14	1	1	1	1	1	1	1	0.0274598321255193	1	1	1	1	1	1	1	1	1	1	1	1	2.15813619928603e-08	1	1	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	2.01519119461659e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.03299567032349e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.57239777296628e-13	1	1	1	1
"CA1.Pyramidal"	1	2.01519119461659e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.03299567032349e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.57239777296628e-13	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1.16511108110234e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	0.00685894308799177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	2.53978973769723e-36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.77851792964242e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
