"darkolivegreen"	"yellowgreen"	"purple"	"brown"	"ivory"	"darkturquoise"	"darkgreen"	"cyan"	"floralwhite"	"darkred"	"mediumpurple3"	"darkorange"	"violet"	"steelblue"	"red"	"sienna3"	"plum1"	"midnightblue"	"skyblue"	"lightsteelblue1"	"lightcyan"	"orange"	"black"	"white"	"lightcyan1"	"paleturquoise"	"skyblue3"	"darkorange2"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.74942949566819e-06	1	1.66020755926631e-26	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	2.58984385740358e-14	1	1	1	1	1	1	1	1	1	0.00239348021597567	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	2.58984385740358e-14	1	1	1	1	1	1	1	1	1	0.00239348021597567	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00667409972964957	1	1.41677982540903e-08	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	1.35169107450692e-48	1	1	1	1	1	1	1	1	1	1	1	1	6.1152104215748e-07	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1	5.73186040674163e-21	1	1	1	1	1	1	1	1	1	1	1	1	1.6773391667324e-10	1	1	1	1	1	1	1	1	1	0.000441580473774564	1	2.25502689841198e-07
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	1	2.61973850995322e-53	1	1	1	1	1	1	1	1	1	1	1	1	0.00835756911331632	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.88352865145926e-22	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Purkinje_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
