"mediumpurple3"	"lightcyan"	"darkmagenta"	"lightsteelblue1"	"yellowgreen"	"floralwhite"	"blue"	"black"	"darkolivegreen"	"greenyellow"	"darkred"	"brown4"	"sienna3"	"ivory"	"darkorange"	"orangered4"	"darkgreen"	"darkorange2"	"green"	"darkgrey"	"lightcyan1"	"cyan"	"pink"	"midnightblue"	"steelblue"	"saddlebrown"	"salmon"	"orange"	"paleturquoise"	"grey60"	"skyblue"	"darkturquoise"	"tan"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	2.59350366501803e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0324209022910268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0324209022910268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	9.99741776062466e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	2.80052863474465e-12	1	1	1	1	1	1	1	1	1	1	1	1	0.00192817061540589	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016747003406769	1	1	1	5.69546950240006e-22
