"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"brown"	TRUE	0.0179	3953	332	108	0.325	0.027	"GO:0090304"	"BP"	1	"nucleic acid metabolic process"	1	"ENSG00000004534,ENSG00000006704,ENSG00000007392,ENSG00000008128,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000065970,ENSG00000071564,ENSG00000076108,ENSG00000078699,ENSG00000079134,ENSG00000087365,ENSG00000089902,ENSG00000100811,ENSG00000100836,ENSG00000103126,ENSG00000103168,ENSG00000103510,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000112855,ENSG00000112941,ENSG00000113240,ENSG00000114127,ENSG00000115368,ENSG00000116809,ENSG00000117000,ENSG00000120798,ENSG00000120832,ENSG00000122257,ENSG00000125878,ENSG00000126226,ENSG00000129197,ENSG00000129347,ENSG00000130254,ENSG00000130783,ENSG00000131061,ENSG00000131115,ENSG00000131127,ENSG00000133740,ENSG00000134597,ENSG00000135365,ENSG00000137976,ENSG00000139352,ENSG00000140525,ENSG00000141232,ENSG00000141956,ENSG00000143033,ENSG00000143437,ENSG00000144791,ENSG00000147174,ENSG00000149922,ENSG00000154920,ENSG00000159086,ENSG00000159147,ENSG00000160117,ENSG00000160685,ENSG00000161265,ENSG00000161904,ENSG00000163884,ENSG00000164048,ENSG00000164404,ENSG00000164663,ENSG00000164938,ENSG00000166851,ENSG00000167711,ENSG00000168795,ENSG00000169249,ENSG00000169967,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172766,ENSG00000172943,ENSG00000175727,ENSG00000179335,ENSG00000179862,ENSG00000181090,ENSG00000182263,ENSG00000182979,ENSG00000183474,ENSG00000185252,ENSG00000188629,ENSG00000196267,ENSG00000196335,ENSG00000197579,ENSG00000197619,ENSG00000197961,ENSG00000198160,ENSG00000198182,ENSG00000204060,ENSG00000204305,ENSG00000204569,ENSG00000204713,ENSG00000213096,ENSG00000213923,ENSG00000221829,ENSG00000221978,ENSG00000239732,ENSG00000241058"	2.2717223785017
"2"	"brown"	TRUE	0.014	4986	332	130	0.392	0.026	"GO:0031974"	"CC"	3	"membrane-enclosed lumen"	1	"ENSG00000006704,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000064999,ENSG00000065970,ENSG00000071564,ENSG00000071626,ENSG00000076108,ENSG00000079134,ENSG00000081052,ENSG00000081665,ENSG00000083544,ENSG00000087008,ENSG00000087365,ENSG00000089902,ENSG00000100796,ENSG00000100811,ENSG00000100836,ENSG00000101203,ENSG00000101224,ENSG00000103168,ENSG00000103510,ENSG00000103995,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000105221,ENSG00000105552,ENSG00000106086,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000109920,ENSG00000112855,ENSG00000112941,ENSG00000114646,ENSG00000115368,ENSG00000116809,ENSG00000117385,ENSG00000119403,ENSG00000120798,ENSG00000120832,ENSG00000122257,ENSG00000127415,ENSG00000129197,ENSG00000129347,ENSG00000130177,ENSG00000130254,ENSG00000130396,ENSG00000130783,ENSG00000131400,ENSG00000132424,ENSG00000133740,ENSG00000134152,ENSG00000134686,ENSG00000135365,ENSG00000136378,ENSG00000138032,ENSG00000140525,ENSG00000141569,ENSG00000141956,ENSG00000142856,ENSG00000143033,ENSG00000143437,ENSG00000144029,ENSG00000145386,ENSG00000146067,ENSG00000146676,ENSG00000148187,ENSG00000153157,ENSG00000153914,ENSG00000154920,ENSG00000155545,ENSG00000157741,ENSG00000158636,ENSG00000159256,ENSG00000160685,ENSG00000161265,ENSG00000161860,ENSG00000163545,ENSG00000164048,ENSG00000164663,ENSG00000164938,ENSG00000166295,ENSG00000166851,ENSG00000167333,ENSG00000167393,ENSG00000167711,ENSG00000168137,ENSG00000168264,ENSG00000168434,ENSG00000168488,ENSG00000169249,ENSG00000169967,ENSG00000171097,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172943,ENSG00000174990,ENSG00000176783,ENSG00000179335,ENSG00000179862,ENSG00000181090,ENSG00000181788,ENSG00000182263,ENSG00000182979,ENSG00000183474,ENSG00000185252,ENSG00000188895,ENSG00000188906,ENSG00000189079,ENSG00000196436,ENSG00000197579,ENSG00000198156,ENSG00000198160,ENSG00000198464,ENSG00000204305,ENSG00000204569,ENSG00000204713,ENSG00000213923,ENSG00000214078,ENSG00000221829,ENSG00000221978,ENSG00000242028,ENSG00000243716"	2.31652234550961
"3"	"brown"	TRUE	0.014	4986	332	130	0.392	0.026	"GO:0043233"	"CC"	3	"organelle lumen"	2	"ENSG00000006704,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000064999,ENSG00000065970,ENSG00000071564,ENSG00000071626,ENSG00000076108,ENSG00000079134,ENSG00000081052,ENSG00000081665,ENSG00000083544,ENSG00000087008,ENSG00000087365,ENSG00000089902,ENSG00000100796,ENSG00000100811,ENSG00000100836,ENSG00000101203,ENSG00000101224,ENSG00000103168,ENSG00000103510,ENSG00000103995,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000105221,ENSG00000105552,ENSG00000106086,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000109920,ENSG00000112855,ENSG00000112941,ENSG00000114646,ENSG00000115368,ENSG00000116809,ENSG00000117385,ENSG00000119403,ENSG00000120798,ENSG00000120832,ENSG00000122257,ENSG00000127415,ENSG00000129197,ENSG00000129347,ENSG00000130177,ENSG00000130254,ENSG00000130396,ENSG00000130783,ENSG00000131400,ENSG00000132424,ENSG00000133740,ENSG00000134152,ENSG00000134686,ENSG00000135365,ENSG00000136378,ENSG00000138032,ENSG00000140525,ENSG00000141569,ENSG00000141956,ENSG00000142856,ENSG00000143033,ENSG00000143437,ENSG00000144029,ENSG00000145386,ENSG00000146067,ENSG00000146676,ENSG00000148187,ENSG00000153157,ENSG00000153914,ENSG00000154920,ENSG00000155545,ENSG00000157741,ENSG00000158636,ENSG00000159256,ENSG00000160685,ENSG00000161265,ENSG00000161860,ENSG00000163545,ENSG00000164048,ENSG00000164663,ENSG00000164938,ENSG00000166295,ENSG00000166851,ENSG00000167333,ENSG00000167393,ENSG00000167711,ENSG00000168137,ENSG00000168264,ENSG00000168434,ENSG00000168488,ENSG00000169249,ENSG00000169967,ENSG00000171097,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172943,ENSG00000174990,ENSG00000176783,ENSG00000179335,ENSG00000179862,ENSG00000181090,ENSG00000181788,ENSG00000182263,ENSG00000182979,ENSG00000183474,ENSG00000185252,ENSG00000188895,ENSG00000188906,ENSG00000189079,ENSG00000196436,ENSG00000197579,ENSG00000198156,ENSG00000198160,ENSG00000198464,ENSG00000204305,ENSG00000204569,ENSG00000204713,ENSG00000213923,ENSG00000214078,ENSG00000221829,ENSG00000221978,ENSG00000242028,ENSG00000243716"	2.32959442707696
"4"	"brown"	TRUE	0.014	4986	332	130	0.392	0.026	"GO:0070013"	"CC"	3	"intracellular organelle lumen"	1	"ENSG00000006704,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000064999,ENSG00000065970,ENSG00000071564,ENSG00000071626,ENSG00000076108,ENSG00000079134,ENSG00000081052,ENSG00000081665,ENSG00000083544,ENSG00000087008,ENSG00000087365,ENSG00000089902,ENSG00000100796,ENSG00000100811,ENSG00000100836,ENSG00000101203,ENSG00000101224,ENSG00000103168,ENSG00000103510,ENSG00000103995,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000105221,ENSG00000105552,ENSG00000106086,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000109920,ENSG00000112855,ENSG00000112941,ENSG00000114646,ENSG00000115368,ENSG00000116809,ENSG00000117385,ENSG00000119403,ENSG00000120798,ENSG00000120832,ENSG00000122257,ENSG00000127415,ENSG00000129197,ENSG00000129347,ENSG00000130177,ENSG00000130254,ENSG00000130396,ENSG00000130783,ENSG00000131400,ENSG00000132424,ENSG00000133740,ENSG00000134152,ENSG00000134686,ENSG00000135365,ENSG00000136378,ENSG00000138032,ENSG00000140525,ENSG00000141569,ENSG00000141956,ENSG00000142856,ENSG00000143033,ENSG00000143437,ENSG00000144029,ENSG00000145386,ENSG00000146067,ENSG00000146676,ENSG00000148187,ENSG00000153157,ENSG00000153914,ENSG00000154920,ENSG00000155545,ENSG00000157741,ENSG00000158636,ENSG00000159256,ENSG00000160685,ENSG00000161265,ENSG00000161860,ENSG00000163545,ENSG00000164048,ENSG00000164663,ENSG00000164938,ENSG00000166295,ENSG00000166851,ENSG00000167333,ENSG00000167393,ENSG00000167711,ENSG00000168137,ENSG00000168264,ENSG00000168434,ENSG00000168488,ENSG00000169249,ENSG00000169967,ENSG00000171097,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172943,ENSG00000174990,ENSG00000176783,ENSG00000179335,ENSG00000179862,ENSG00000181090,ENSG00000181788,ENSG00000182263,ENSG00000182979,ENSG00000183474,ENSG00000185252,ENSG00000188895,ENSG00000188906,ENSG00000189079,ENSG00000196436,ENSG00000197579,ENSG00000198156,ENSG00000198160,ENSG00000198464,ENSG00000204305,ENSG00000204569,ENSG00000204713,ENSG00000213923,ENSG00000214078,ENSG00000221829,ENSG00000221978,ENSG00000242028,ENSG00000243716"	2.34223377680148
"5"	"brown"	TRUE	0.012	8902	332	206	0.62	0.023	"GO:0043231"	"CC"	3	"intracellular membrane-bounded organelle"	1	"ENSG00000004534,ENSG00000006704,ENSG00000006837,ENSG00000007392,ENSG00000008128,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000064999,ENSG00000065970,ENSG00000071564,ENSG00000071626,ENSG00000076108,ENSG00000076604,ENSG00000078699,ENSG00000079134,ENSG00000081052,ENSG00000081665,ENSG00000083544,ENSG00000087008,ENSG00000087365,ENSG00000089902,ENSG00000099840,ENSG00000100796,ENSG00000100811,ENSG00000100836,ENSG00000101203,ENSG00000101224,ENSG00000102125,ENSG00000103126,ENSG00000103168,ENSG00000103510,ENSG00000103995,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000104936,ENSG00000105221,ENSG00000105552,ENSG00000106086,ENSG00000106144,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000109920,ENSG00000111300,ENSG00000111846,ENSG00000112079,ENSG00000112761,ENSG00000112855,ENSG00000112941,ENSG00000114646,ENSG00000115295,ENSG00000115368,ENSG00000115687,ENSG00000116273,ENSG00000116704,ENSG00000116783,ENSG00000116809,ENSG00000116819,ENSG00000117000,ENSG00000117280,ENSG00000117385,ENSG00000119403,ENSG00000119688,ENSG00000120798,ENSG00000120832,ENSG00000121057,ENSG00000122257,ENSG00000122674,ENSG00000122863,ENSG00000124181,ENSG00000124587,ENSG00000125409,ENSG00000126226,ENSG00000127415,ENSG00000129197,ENSG00000129347,ENSG00000130177,ENSG00000130254,ENSG00000130396,ENSG00000130783,ENSG00000131061,ENSG00000131269,ENSG00000131400,ENSG00000131748,ENSG00000132424,ENSG00000133740,ENSG00000134152,ENSG00000134597,ENSG00000134686,ENSG00000135365,ENSG00000136378,ENSG00000136811,ENSG00000137404,ENSG00000138032,ENSG00000138617,ENSG00000139352,ENSG00000139370,ENSG00000139547,ENSG00000139914,ENSG00000140525,ENSG00000140839,ENSG00000141232,ENSG00000141569,ENSG00000141956,ENSG00000142856,ENSG00000143033,ENSG00000143228,ENSG00000143437,ENSG00000144029,ENSG00000144791,ENSG00000145191,ENSG00000145386,ENSG00000145832,ENSG00000146067,ENSG00000146676,ENSG00000147174,ENSG00000148187,ENSG00000153157,ENSG00000153914,ENSG00000154920,ENSG00000155545,ENSG00000157741,ENSG00000158636,ENSG00000159086,ENSG00000159147,ENSG00000159256,ENSG00000160117,ENSG00000160685,ENSG00000161265,ENSG00000161860,ENSG00000161904,ENSG00000162526,ENSG00000163516,ENSG00000163545,ENSG00000163884,ENSG00000164048,ENSG00000164663,ENSG00000164938,ENSG00000166295,ENSG00000166851,ENSG00000167333,ENSG00000167393,ENSG00000168137,ENSG00000168264,ENSG00000168434,ENSG00000168488,ENSG00000168795,ENSG00000168890,ENSG00000169249,ENSG00000169967,ENSG00000171097,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172766,ENSG00000172893,ENSG00000172943,ENSG00000174990,ENSG00000175727,ENSG00000176783,ENSG00000178927,ENSG00000179335,ENSG00000179862,ENSG00000180098,ENSG00000180667,ENSG00000181090,ENSG00000181788,ENSG00000182263,ENSG00000182979,ENSG00000183474,ENSG00000183864,ENSG00000184254,ENSG00000185252,ENSG00000185955,ENSG00000186866,ENSG00000188488,ENSG00000188895,ENSG00000188906,ENSG00000189079,ENSG00000196296,ENSG00000196335,ENSG00000196436,ENSG00000196470,ENSG00000197579,ENSG00000197852,ENSG00000198156,ENSG00000198160,ENSG00000198464,ENSG00000198722,ENSG00000204060,ENSG00000204305,ENSG00000204569,ENSG00000204713,ENSG00000213923,ENSG00000214078,ENSG00000221829,ENSG00000221978,ENSG00000239732,ENSG00000242028,ENSG00000243716,ENSG00000250506"	1.06743453164193
"6"	"brown"	TRUE	9.45e-08	5787	332	165	0.497	0.029	"GO:0005634"	"CC"	3	"nucleus"	2	"ENSG00000004534,ENSG00000006704,ENSG00000006837,ENSG00000007392,ENSG00000008128,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000064999,ENSG00000065970,ENSG00000071564,ENSG00000071626,ENSG00000076108,ENSG00000076604,ENSG00000078699,ENSG00000079134,ENSG00000081665,ENSG00000083544,ENSG00000087365,ENSG00000089902,ENSG00000099840,ENSG00000100796,ENSG00000100811,ENSG00000100836,ENSG00000101224,ENSG00000103126,ENSG00000103168,ENSG00000103510,ENSG00000103995,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000104936,ENSG00000105221,ENSG00000106086,ENSG00000106144,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000109920,ENSG00000112079,ENSG00000112941,ENSG00000115368,ENSG00000115687,ENSG00000116273,ENSG00000116783,ENSG00000116809,ENSG00000116819,ENSG00000117000,ENSG00000119403,ENSG00000120798,ENSG00000122257,ENSG00000124181,ENSG00000125409,ENSG00000126226,ENSG00000129197,ENSG00000129347,ENSG00000130177,ENSG00000130254,ENSG00000130396,ENSG00000130783,ENSG00000131061,ENSG00000132424,ENSG00000133740,ENSG00000134152,ENSG00000134597,ENSG00000134686,ENSG00000135365,ENSG00000136811,ENSG00000137404,ENSG00000138032,ENSG00000138617,ENSG00000139352,ENSG00000140525,ENSG00000141232,ENSG00000141569,ENSG00000141956,ENSG00000142856,ENSG00000143033,ENSG00000143228,ENSG00000143437,ENSG00000144791,ENSG00000145191,ENSG00000145386,ENSG00000146067,ENSG00000146676,ENSG00000147174,ENSG00000153157,ENSG00000153914,ENSG00000154920,ENSG00000155545,ENSG00000157741,ENSG00000158636,ENSG00000159086,ENSG00000159147,ENSG00000159256,ENSG00000160117,ENSG00000160685,ENSG00000161265,ENSG00000161860,ENSG00000161904,ENSG00000162526,ENSG00000163545,ENSG00000163884,ENSG00000164048,ENSG00000164663,ENSG00000164938,ENSG00000166295,ENSG00000166851,ENSG00000167333,ENSG00000167393,ENSG00000168137,ENSG00000168264,ENSG00000168434,ENSG00000168488,ENSG00000168795,ENSG00000169249,ENSG00000169967,ENSG00000171097,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172766,ENSG00000172893,ENSG00000172943,ENSG00000175727,ENSG00000176783,ENSG00000179335,ENSG00000179862,ENSG00000180098,ENSG00000180667,ENSG00000181090,ENSG00000181788,ENSG00000182263,ENSG00000182979,ENSG00000183474,ENSG00000183864,ENSG00000184254,ENSG00000185252,ENSG00000185955,ENSG00000188895,ENSG00000188906,ENSG00000189079,ENSG00000196335,ENSG00000196436,ENSG00000196470,ENSG00000197579,ENSG00000197852,ENSG00000198156,ENSG00000198160,ENSG00000198464,ENSG00000204060,ENSG00000204305,ENSG00000204569,ENSG00000204713,ENSG00000213923,ENSG00000214078,ENSG00000221829,ENSG00000221978,ENSG00000242028,ENSG00000243716,ENSG00000250506"	1.71060122635403
"7"	"brown"	TRUE	1.14e-05	4200	332	125	0.377	0.03	"GO:0044428"	"CC"	3	"nuclear part"	3	"ENSG00000006704,ENSG00000007392,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000064999,ENSG00000065970,ENSG00000071564,ENSG00000071626,ENSG00000076108,ENSG00000079134,ENSG00000081665,ENSG00000083544,ENSG00000087365,ENSG00000089902,ENSG00000100796,ENSG00000100811,ENSG00000100836,ENSG00000101224,ENSG00000103168,ENSG00000103510,ENSG00000103995,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000104936,ENSG00000105221,ENSG00000106086,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000109920,ENSG00000112941,ENSG00000115368,ENSG00000116809,ENSG00000119403,ENSG00000120798,ENSG00000122257,ENSG00000124181,ENSG00000126226,ENSG00000129197,ENSG00000129347,ENSG00000130177,ENSG00000130254,ENSG00000130396,ENSG00000130783,ENSG00000132424,ENSG00000133740,ENSG00000134152,ENSG00000134597,ENSG00000134686,ENSG00000135365,ENSG00000137404,ENSG00000138032,ENSG00000138617,ENSG00000139352,ENSG00000140525,ENSG00000141569,ENSG00000141956,ENSG00000142856,ENSG00000143033,ENSG00000143437,ENSG00000145386,ENSG00000146067,ENSG00000146676,ENSG00000153157,ENSG00000153914,ENSG00000154920,ENSG00000155545,ENSG00000157741,ENSG00000158636,ENSG00000159256,ENSG00000160117,ENSG00000160685,ENSG00000161265,ENSG00000161860,ENSG00000161904,ENSG00000163545,ENSG00000164048,ENSG00000164663,ENSG00000164938,ENSG00000166295,ENSG00000166851,ENSG00000167333,ENSG00000167393,ENSG00000168137,ENSG00000168264,ENSG00000168434,ENSG00000168488,ENSG00000169249,ENSG00000169967,ENSG00000171097,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172893,ENSG00000172943,ENSG00000176783,ENSG00000179335,ENSG00000179862,ENSG00000181090,ENSG00000181788,ENSG00000182263,ENSG00000182979,ENSG00000183474,ENSG00000185252,ENSG00000188895,ENSG00000189079,ENSG00000196436,ENSG00000197579,ENSG00000198156,ENSG00000198160,ENSG00000198464,ENSG00000204305,ENSG00000204569,ENSG00000204713,ENSG00000213923,ENSG00000214078,ENSG00000221829,ENSG00000221978,ENSG00000242028,ENSG00000243716"	2.26686113785937
"8"	"brown"	TRUE	0.000377	3933	332	114	0.343	0.029	"GO:0031981"	"CC"	3	"nuclear lumen"	4	"ENSG00000006704,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000064999,ENSG00000065970,ENSG00000071564,ENSG00000071626,ENSG00000076108,ENSG00000079134,ENSG00000081665,ENSG00000083544,ENSG00000087365,ENSG00000089902,ENSG00000100796,ENSG00000100811,ENSG00000100836,ENSG00000101224,ENSG00000103168,ENSG00000103510,ENSG00000103995,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000105221,ENSG00000106086,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000109920,ENSG00000112941,ENSG00000115368,ENSG00000116809,ENSG00000119403,ENSG00000120798,ENSG00000122257,ENSG00000129197,ENSG00000129347,ENSG00000130177,ENSG00000130254,ENSG00000130396,ENSG00000130783,ENSG00000132424,ENSG00000133740,ENSG00000134152,ENSG00000134686,ENSG00000135365,ENSG00000138032,ENSG00000140525,ENSG00000141569,ENSG00000141956,ENSG00000142856,ENSG00000143033,ENSG00000143437,ENSG00000145386,ENSG00000146067,ENSG00000146676,ENSG00000153157,ENSG00000153914,ENSG00000154920,ENSG00000155545,ENSG00000157741,ENSG00000158636,ENSG00000159256,ENSG00000160685,ENSG00000161265,ENSG00000161860,ENSG00000163545,ENSG00000164048,ENSG00000164663,ENSG00000164938,ENSG00000166295,ENSG00000166851,ENSG00000167333,ENSG00000167393,ENSG00000168137,ENSG00000168264,ENSG00000168434,ENSG00000168488,ENSG00000169249,ENSG00000169967,ENSG00000171097,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172943,ENSG00000176783,ENSG00000179335,ENSG00000179862,ENSG00000181090,ENSG00000181788,ENSG00000182263,ENSG00000182979,ENSG00000183474,ENSG00000185252,ENSG00000188895,ENSG00000189079,ENSG00000196436,ENSG00000197579,ENSG00000198156,ENSG00000198160,ENSG00000198464,ENSG00000204305,ENSG00000204569,ENSG00000204713,ENSG00000213923,ENSG00000214078,ENSG00000221829,ENSG00000221978,ENSG00000242028,ENSG00000243716"	2.48419377213271
"9"	"brown"	TRUE	0.000362	3384	332	102	0.307	0.03	"GO:0005654"	"CC"	3	"nucleoplasm"	4	"ENSG00000006704,ENSG00000011243,ENSG00000033030,ENSG00000055483,ENSG00000060339,ENSG00000062822,ENSG00000064995,ENSG00000064999,ENSG00000071564,ENSG00000071626,ENSG00000076108,ENSG00000079134,ENSG00000083544,ENSG00000087365,ENSG00000089902,ENSG00000100796,ENSG00000100811,ENSG00000100836,ENSG00000101224,ENSG00000103168,ENSG00000103510,ENSG00000103995,ENSG00000104613,ENSG00000104824,ENSG00000104885,ENSG00000105221,ENSG00000106086,ENSG00000106462,ENSG00000108604,ENSG00000108848,ENSG00000109920,ENSG00000112941,ENSG00000115368,ENSG00000116809,ENSG00000119403,ENSG00000120798,ENSG00000122257,ENSG00000130177,ENSG00000130254,ENSG00000130396,ENSG00000130783,ENSG00000132424,ENSG00000133740,ENSG00000134686,ENSG00000135365,ENSG00000140525,ENSG00000141569,ENSG00000141956,ENSG00000142856,ENSG00000143033,ENSG00000143437,ENSG00000145386,ENSG00000146067,ENSG00000153157,ENSG00000153914,ENSG00000154920,ENSG00000155545,ENSG00000157741,ENSG00000158636,ENSG00000159256,ENSG00000160685,ENSG00000161265,ENSG00000163545,ENSG00000164048,ENSG00000164663,ENSG00000164938,ENSG00000166295,ENSG00000166851,ENSG00000167393,ENSG00000168137,ENSG00000168264,ENSG00000168488,ENSG00000169249,ENSG00000169967,ENSG00000171097,ENSG00000171161,ENSG00000172613,ENSG00000172732,ENSG00000172943,ENSG00000176783,ENSG00000179335,ENSG00000179862,ENSG00000181090,ENSG00000181788,ENSG00000182979,ENSG00000183474,ENSG00000185252,ENSG00000188895,ENSG00000189079,ENSG00000196436,ENSG00000197579,ENSG00000198156,ENSG00000198160,ENSG00000198464,ENSG00000204569,ENSG00000204713,ENSG00000213923,ENSG00000214078,ENSG00000221829,ENSG00000221978,ENSG00000242028,ENSG00000243716"	2.82602063333852
"10"	"brown"	TRUE	0.00129	1997	332	68	0.205	0.034	"GO:0140110"	"MF"	5	"transcription regulator activity"	1	"ENSG00000006704,ENSG00000060339,ENSG00000064995,ENSG00000065970,ENSG00000071564,ENSG00000078699,ENSG00000081665,ENSG00000083544,ENSG00000088876,ENSG00000088881,ENSG00000089902,ENSG00000100811,ENSG00000105419,ENSG00000106462,ENSG00000108604,ENSG00000116809,ENSG00000116819,ENSG00000117000,ENSG00000117010,ENSG00000120798,ENSG00000121417,ENSG00000125878,ENSG00000126746,ENSG00000130783,ENSG00000131061,ENSG00000131115,ENSG00000131127,ENSG00000133740,ENSG00000135365,ENSG00000139352,ENSG00000141232,ENSG00000141956,ENSG00000142556,ENSG00000143437,ENSG00000144791,ENSG00000146676,ENSG00000149922,ENSG00000155545,ENSG00000156853,ENSG00000160685,ENSG00000163884,ENSG00000164048,ENSG00000167785,ENSG00000168795,ENSG00000169957,ENSG00000171161,ENSG00000173875,ENSG00000174652,ENSG00000175322,ENSG00000175727,ENSG00000179862,ENSG00000181788,ENSG00000181896,ENSG00000182979,ENSG00000183864,ENSG00000185252,ENSG00000186777,ENSG00000188629,ENSG00000189079,ENSG00000196267,ENSG00000197619,ENSG00000197961,ENSG00000198160,ENSG00000198182,ENSG00000198464,ENSG00000204060,ENSG00000213096,ENSG00000213347"	NA
