"darkturquoise"	"mediumpurple3"	"floralwhite"	"black"	"lightcyan1"	"lightgreen"	"tan"	"red"	"ivory"	"greenyellow"	"orangered4"	"skyblue"	"pink"	"saddlebrown"	"darkolivegreen"	"green"	"salmon"	"darkred"	"grey60"	"orange"	"blue"	"darkgrey"	"steelblue"	"purple"	"plum1"	"skyblue3"	"midnightblue"	"darkorange"	"lightcyan"	"lightyellow"	"royalblue"	"cyan"	"magenta"	"grey"	"darkgreen"	"brown"	"darkorange2"	"paleturquoise"	"brown4"	"violet"	"darkmagenta"	"yellowgreen"	"white"	"lightsteelblue1"
"Astrocyte"	1	1	0.0255683478478271	1	1	1	1	1	1	1	1	1	1	1	1	0.000855837589001629	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000225706252476343	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.79394962339406e-21	1	1	1	1	1	1	1.22419283766827e-09	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.32608343443886e-05	1	6.03584523041245e-06	1	1	1	1	1	1	1	1	1	1	2.83779088150234e-07	1	1	1	1	1.31067712691945e-05	1	7.88561576888228e-06	1	1	1	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0161852336009669	1	1	1	1	1	1	1	1	1	1	1.21566708823547e-11	1	1	1	1	1	1	7.16662550397839e-06	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Purkinje_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Endothelial_Neuroexpresso"	1	1	1	1	1	1	1.707998696111e-17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaPV_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaRelnCalb_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaVIPReln_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Microglia_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.87394446122672e-26	1	1	1	1	1	1	2.41383631944764e-13	1	1	1	1
