"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"greenyellow"	TRUE	0.0353	5787	173	83	0.48	0.014	"GO:0005634"	"CC"	1	"nucleus"	1	"ENSG00000010318,ENSG00000050344,ENSG00000066739,ENSG00000070444,ENSG00000072195,ENSG00000072778,ENSG00000077458,ENSG00000083838,ENSG00000089280,ENSG00000095564,ENSG00000099622,ENSG00000100298,ENSG00000100312,ENSG00000100345,ENSG00000100726,ENSG00000102119,ENSG00000102317,ENSG00000106692,ENSG00000108963,ENSG00000109618,ENSG00000110046,ENSG00000110786,ENSG00000111834,ENSG00000114857,ENSG00000116560,ENSG00000116580,ENSG00000116754,ENSG00000119707,ENSG00000120539,ENSG00000120798,ENSG00000121741,ENSG00000122257,ENSG00000124251,ENSG00000125967,ENSG00000129197,ENSG00000132475,ENSG00000132952,ENSG00000137337,ENSG00000139718,ENSG00000139908,ENSG00000140534,ENSG00000143190,ENSG00000144554,ENSG00000146963,ENSG00000149016,ENSG00000150783,ENSG00000152454,ENSG00000152467,ENSG00000152795,ENSG00000153157,ENSG00000156502,ENSG00000161265,ENSG00000162601,ENSG00000162664,ENSG00000162669,ENSG00000163945,ENSG00000165288,ENSG00000166987,ENSG00000176890,ENSG00000179862,ENSG00000180336,ENSG00000184205,ENSG00000187166,ENSG00000188779,ENSG00000196335,ENSG00000196378,ENSG00000196388,ENSG00000197323,ENSG00000197343,ENSG00000198026,ENSG00000198563,ENSG00000198901,ENSG00000204590,ENSG00000205085,ENSG00000213782,ENSG00000213906,ENSG00000233822,ENSG00000236287,ENSG00000239388,ENSG00000256087,ENSG00000258366,ENSG00000267680,ENSG00000267796"	1.71060122635403
"2"	"greenyellow"	TRUE	0.0226	20	49	3	0.061	0.15	"KEGG:00670"	"keg"	2	"One carbon pool by folate"	1	"ENSG00000116984,ENSG00000163738,ENSG00000176890"	NA
"3"	"greenyellow"	TRUE	0.0219	1257	88	24	0.273	0.019	"REAC:R-HSA-73857"	"rea"	3	"RNA Polymerase II Transcription"	1	"ENSG00000083838,ENSG00000116754,ENSG00000120798,ENSG00000132475,ENSG00000137337,ENSG00000139718,ENSG00000143190,ENSG00000144554,ENSG00000152454,ENSG00000160961,ENSG00000161265,ENSG00000171295,ENSG00000172748,ENSG00000179862,ENSG00000196378,ENSG00000197044,ENSG00000197323,ENSG00000197343,ENSG00000198315,ENSG00000198393,ENSG00000198563,ENSG00000233822,ENSG00000256087,ENSG00000267680"	NA
"4"	"red"	TRUE	0.00647	4834	380	144	0.379	0.03	"GO:1901360"	"BP"	1	"organic cyclic compound metabolic process"	1	"ENSG00000001497,ENSG00000003402,ENSG00000003756,ENSG00000004534,ENSG00000008838,ENSG00000046647,ENSG00000064545,ENSG00000071894,ENSG00000075292,ENSG00000076108,ENSG00000084764,ENSG00000088038,ENSG00000089335,ENSG00000094631,ENSG00000100201,ENSG00000100968,ENSG00000101452,ENSG00000101751,ENSG00000101997,ENSG00000102349,ENSG00000103168,ENSG00000104852,ENSG00000104907,ENSG00000105497,ENSG00000105662,ENSG00000106459,ENSG00000107938,ENSG00000108469,ENSG00000108848,ENSG00000109576,ENSG00000110844,ENSG00000110888,ENSG00000112855,ENSG00000113240,ENSG00000113593,ENSG00000115524,ENSG00000115875,ENSG00000116731,ENSG00000117360,ENSG00000119684,ENSG00000120093,ENSG00000120948,ENSG00000122085,ENSG00000122481,ENSG00000122484,ENSG00000122512,ENSG00000123737,ENSG00000124193,ENSG00000125755,ENSG00000126226,ENSG00000127054,ENSG00000128191,ENSG00000130254,ENSG00000130997,ENSG00000131051,ENSG00000131748,ENSG00000132275,ENSG00000132485,ENSG00000133226,ENSG00000134899,ENSG00000136271,ENSG00000136709,ENSG00000137411,ENSG00000137504,ENSG00000140326,ENSG00000140488,ENSG00000141644,ENSG00000141736,ENSG00000143379,ENSG00000145214,ENSG00000147118,ENSG00000147162,ENSG00000148308,ENSG00000148400,ENSG00000149532,ENSG00000149716,ENSG00000151923,ENSG00000154832,ENSG00000155229,ENSG00000155275,ENSG00000157353,ENSG00000159899,ENSG00000160117,ENSG00000160285,ENSG00000160953,ENSG00000160959,ENSG00000161551,ENSG00000161692,ENSG00000163161,ENSG00000163482,ENSG00000164053,ENSG00000165819,ENSG00000166169,ENSG00000166704,ENSG00000167232,ENSG00000167377,ENSG00000167562,ENSG00000167967,ENSG00000167978,ENSG00000167984,ENSG00000168395,ENSG00000168876,ENSG00000169045,ENSG00000169062,ENSG00000169249,ENSG00000169635,ENSG00000170322,ENSG00000171606,ENSG00000171824,ENSG00000172732,ENSG00000172890,ENSG00000172922,ENSG00000174233,ENSG00000176401,ENSG00000176444,ENSG00000176715,ENSG00000178338,ENSG00000178971,ENSG00000179335,ENSG00000182979,ENSG00000183718,ENSG00000184634,ENSG00000185024,ENSG00000185246,ENSG00000185946,ENSG00000196967,ENSG00000197586,ENSG00000197808,ENSG00000198131,ENSG00000198728,ENSG00000198917,ENSG00000204227,ENSG00000204231,ENSG00000204348,ENSG00000204351,ENSG00000213676,ENSG00000213780,ENSG00000214941,ENSG00000221978,ENSG00000221988,ENSG00000244754,ENSG00000251247,ENSG00000256525,ENSG00000256771"	2.09634866986716
"5"	"red"	TRUE	0.00162	4641	380	142	0.374	0.031	"GO:0046483"	"BP"	1	"heterocycle metabolic process"	1	"ENSG00000001497,ENSG00000003402,ENSG00000003756,ENSG00000004534,ENSG00000008838,ENSG00000046647,ENSG00000064545,ENSG00000071894,ENSG00000075292,ENSG00000076108,ENSG00000084764,ENSG00000088038,ENSG00000089335,ENSG00000094631,ENSG00000100201,ENSG00000100968,ENSG00000101452,ENSG00000101751,ENSG00000101997,ENSG00000102349,ENSG00000103168,ENSG00000104852,ENSG00000104907,ENSG00000105497,ENSG00000105662,ENSG00000106459,ENSG00000107938,ENSG00000108469,ENSG00000108848,ENSG00000109576,ENSG00000110844,ENSG00000110888,ENSG00000112855,ENSG00000113240,ENSG00000113593,ENSG00000115524,ENSG00000115875,ENSG00000116731,ENSG00000117360,ENSG00000119684,ENSG00000120093,ENSG00000120948,ENSG00000122085,ENSG00000122481,ENSG00000122484,ENSG00000122512,ENSG00000123737,ENSG00000124193,ENSG00000125755,ENSG00000126226,ENSG00000127054,ENSG00000128191,ENSG00000130254,ENSG00000130997,ENSG00000131051,ENSG00000132275,ENSG00000132485,ENSG00000133226,ENSG00000134899,ENSG00000136271,ENSG00000136709,ENSG00000137411,ENSG00000137504,ENSG00000140326,ENSG00000140488,ENSG00000141644,ENSG00000141736,ENSG00000143379,ENSG00000145214,ENSG00000147118,ENSG00000147162,ENSG00000148308,ENSG00000148400,ENSG00000149532,ENSG00000149716,ENSG00000151923,ENSG00000154832,ENSG00000155229,ENSG00000155275,ENSG00000157353,ENSG00000159899,ENSG00000160117,ENSG00000160953,ENSG00000160959,ENSG00000161551,ENSG00000161692,ENSG00000163161,ENSG00000163482,ENSG00000164053,ENSG00000165819,ENSG00000166169,ENSG00000166704,ENSG00000167232,ENSG00000167377,ENSG00000167562,ENSG00000167967,ENSG00000167978,ENSG00000167984,ENSG00000168395,ENSG00000168876,ENSG00000169045,ENSG00000169062,ENSG00000169249,ENSG00000169635,ENSG00000170322,ENSG00000171606,ENSG00000171824,ENSG00000172732,ENSG00000172890,ENSG00000172922,ENSG00000174233,ENSG00000176401,ENSG00000176444,ENSG00000176715,ENSG00000178338,ENSG00000178971,ENSG00000179335,ENSG00000182979,ENSG00000183718,ENSG00000184634,ENSG00000185024,ENSG00000185246,ENSG00000185946,ENSG00000196967,ENSG00000197586,ENSG00000197808,ENSG00000198131,ENSG00000198728,ENSG00000198917,ENSG00000204227,ENSG00000204231,ENSG00000204348,ENSG00000204351,ENSG00000213676,ENSG00000213780,ENSG00000214941,ENSG00000221978,ENSG00000221988,ENSG00000244754,ENSG00000251247,ENSG00000256525,ENSG00000256771"	2.14161737953607
"6"	"red"	TRUE	0.00216	4663	380	142	0.374	0.03	"GO:0006725"	"BP"	1	"cellular aromatic compound metabolic process"	1	"ENSG00000001497,ENSG00000003402,ENSG00000003756,ENSG00000004534,ENSG00000008838,ENSG00000046647,ENSG00000064545,ENSG00000071894,ENSG00000075292,ENSG00000076108,ENSG00000084764,ENSG00000088038,ENSG00000089335,ENSG00000094631,ENSG00000100201,ENSG00000100968,ENSG00000101452,ENSG00000101751,ENSG00000101997,ENSG00000102349,ENSG00000103168,ENSG00000104852,ENSG00000104907,ENSG00000105497,ENSG00000105662,ENSG00000106459,ENSG00000107938,ENSG00000108469,ENSG00000108848,ENSG00000109576,ENSG00000110844,ENSG00000110888,ENSG00000112855,ENSG00000113240,ENSG00000113593,ENSG00000115524,ENSG00000115875,ENSG00000116731,ENSG00000117360,ENSG00000119684,ENSG00000120093,ENSG00000120948,ENSG00000122085,ENSG00000122481,ENSG00000122484,ENSG00000122512,ENSG00000123737,ENSG00000124193,ENSG00000125755,ENSG00000126226,ENSG00000127054,ENSG00000128191,ENSG00000130254,ENSG00000130997,ENSG00000131051,ENSG00000132275,ENSG00000132485,ENSG00000133226,ENSG00000134899,ENSG00000136271,ENSG00000136709,ENSG00000137411,ENSG00000137504,ENSG00000140326,ENSG00000140488,ENSG00000141644,ENSG00000141736,ENSG00000143379,ENSG00000145214,ENSG00000147118,ENSG00000147162,ENSG00000148308,ENSG00000148400,ENSG00000149532,ENSG00000149716,ENSG00000151923,ENSG00000154832,ENSG00000155229,ENSG00000155275,ENSG00000157353,ENSG00000159899,ENSG00000160117,ENSG00000160953,ENSG00000160959,ENSG00000161551,ENSG00000161692,ENSG00000163161,ENSG00000163482,ENSG00000164053,ENSG00000165819,ENSG00000166169,ENSG00000166704,ENSG00000167232,ENSG00000167377,ENSG00000167562,ENSG00000167967,ENSG00000167978,ENSG00000167984,ENSG00000168395,ENSG00000168876,ENSG00000169045,ENSG00000169062,ENSG00000169249,ENSG00000169635,ENSG00000170322,ENSG00000171606,ENSG00000171824,ENSG00000172732,ENSG00000172890,ENSG00000172922,ENSG00000174233,ENSG00000176401,ENSG00000176444,ENSG00000176715,ENSG00000178338,ENSG00000178971,ENSG00000179335,ENSG00000182979,ENSG00000183718,ENSG00000184634,ENSG00000185024,ENSG00000185246,ENSG00000185946,ENSG00000196967,ENSG00000197586,ENSG00000197808,ENSG00000198131,ENSG00000198728,ENSG00000198917,ENSG00000204227,ENSG00000204231,ENSG00000204348,ENSG00000204351,ENSG00000213676,ENSG00000213780,ENSG00000214941,ENSG00000221978,ENSG00000221988,ENSG00000244754,ENSG00000251247,ENSG00000256525,ENSG00000256771"	2.13621682635607
"7"	"red"	TRUE	0.042	5123	380	147	0.387	0.029	"GO:0034641"	"BP"	1	"cellular nitrogen compound metabolic process"	1	"ENSG00000001497,ENSG00000003402,ENSG00000003756,ENSG00000004534,ENSG00000008838,ENSG00000046647,ENSG00000064545,ENSG00000071894,ENSG00000075292,ENSG00000076108,ENSG00000084764,ENSG00000088038,ENSG00000089335,ENSG00000090905,ENSG00000094631,ENSG00000100201,ENSG00000100968,ENSG00000101019,ENSG00000101452,ENSG00000101751,ENSG00000101997,ENSG00000102349,ENSG00000103168,ENSG00000104852,ENSG00000104907,ENSG00000105497,ENSG00000105662,ENSG00000106459,ENSG00000107938,ENSG00000108469,ENSG00000108848,ENSG00000109576,ENSG00000110844,ENSG00000110888,ENSG00000112855,ENSG00000113240,ENSG00000113593,ENSG00000115524,ENSG00000115875,ENSG00000116731,ENSG00000117360,ENSG00000119684,ENSG00000120093,ENSG00000120948,ENSG00000122085,ENSG00000122481,ENSG00000122484,ENSG00000122512,ENSG00000123737,ENSG00000124193,ENSG00000125755,ENSG00000126226,ENSG00000127054,ENSG00000128191,ENSG00000130254,ENSG00000130997,ENSG00000131051,ENSG00000131067,ENSG00000132275,ENSG00000132300,ENSG00000132485,ENSG00000133226,ENSG00000134899,ENSG00000136271,ENSG00000136699,ENSG00000136709,ENSG00000137411,ENSG00000137504,ENSG00000140326,ENSG00000140488,ENSG00000141644,ENSG00000141736,ENSG00000143379,ENSG00000145214,ENSG00000147118,ENSG00000147162,ENSG00000148308,ENSG00000148400,ENSG00000149532,ENSG00000149716,ENSG00000151923,ENSG00000154832,ENSG00000155229,ENSG00000155275,ENSG00000157353,ENSG00000159899,ENSG00000160117,ENSG00000160953,ENSG00000160959,ENSG00000161551,ENSG00000161692,ENSG00000163161,ENSG00000163482,ENSG00000164053,ENSG00000165819,ENSG00000166169,ENSG00000166704,ENSG00000167232,ENSG00000167377,ENSG00000167562,ENSG00000167967,ENSG00000167978,ENSG00000167984,ENSG00000168395,ENSG00000168876,ENSG00000169045,ENSG00000169062,ENSG00000169249,ENSG00000169635,ENSG00000170322,ENSG00000171606,ENSG00000171824,ENSG00000172732,ENSG00000172890,ENSG00000172922,ENSG00000174233,ENSG00000176401,ENSG00000176444,ENSG00000176715,ENSG00000178338,ENSG00000178971,ENSG00000179335,ENSG00000182979,ENSG00000183718,ENSG00000184634,ENSG00000185024,ENSG00000185246,ENSG00000185946,ENSG00000196967,ENSG00000197586,ENSG00000197808,ENSG00000198131,ENSG00000198728,ENSG00000198917,ENSG00000204227,ENSG00000204231,ENSG00000204348,ENSG00000204351,ENSG00000213676,ENSG00000213780,ENSG00000214941,ENSG00000221978,ENSG00000221988,ENSG00000244754,ENSG00000251247,ENSG00000256525,ENSG00000256771"	2.0095653577481
"8"	"red"	TRUE	0.00043	4502	380	141	0.371	0.031	"GO:0006139"	"BP"	1	"nucleobase-containing compound metabolic process"	2	"ENSG00000001497,ENSG00000003402,ENSG00000003756,ENSG00000004534,ENSG00000008838,ENSG00000046647,ENSG00000064545,ENSG00000071894,ENSG00000075292,ENSG00000076108,ENSG00000084764,ENSG00000088038,ENSG00000089335,ENSG00000094631,ENSG00000100201,ENSG00000100968,ENSG00000101452,ENSG00000101751,ENSG00000101997,ENSG00000102349,ENSG00000103168,ENSG00000104852,ENSG00000104907,ENSG00000105497,ENSG00000105662,ENSG00000106459,ENSG00000107938,ENSG00000108469,ENSG00000108848,ENSG00000110844,ENSG00000110888,ENSG00000112855,ENSG00000113240,ENSG00000113593,ENSG00000115524,ENSG00000115875,ENSG00000116731,ENSG00000117360,ENSG00000119684,ENSG00000120093,ENSG00000120948,ENSG00000122085,ENSG00000122481,ENSG00000122484,ENSG00000122512,ENSG00000123737,ENSG00000124193,ENSG00000125755,ENSG00000126226,ENSG00000127054,ENSG00000128191,ENSG00000130254,ENSG00000130997,ENSG00000131051,ENSG00000132275,ENSG00000132485,ENSG00000133226,ENSG00000134899,ENSG00000136271,ENSG00000136709,ENSG00000137411,ENSG00000137504,ENSG00000140326,ENSG00000140488,ENSG00000141644,ENSG00000141736,ENSG00000143379,ENSG00000145214,ENSG00000147118,ENSG00000147162,ENSG00000148308,ENSG00000148400,ENSG00000149532,ENSG00000149716,ENSG00000151923,ENSG00000154832,ENSG00000155229,ENSG00000155275,ENSG00000157353,ENSG00000159899,ENSG00000160117,ENSG00000160953,ENSG00000160959,ENSG00000161551,ENSG00000161692,ENSG00000163161,ENSG00000163482,ENSG00000164053,ENSG00000165819,ENSG00000166169,ENSG00000166704,ENSG00000167232,ENSG00000167377,ENSG00000167562,ENSG00000167967,ENSG00000167978,ENSG00000167984,ENSG00000168395,ENSG00000168876,ENSG00000169045,ENSG00000169062,ENSG00000169249,ENSG00000169635,ENSG00000170322,ENSG00000171606,ENSG00000171824,ENSG00000172732,ENSG00000172890,ENSG00000172922,ENSG00000174233,ENSG00000176401,ENSG00000176444,ENSG00000176715,ENSG00000178338,ENSG00000178971,ENSG00000179335,ENSG00000182979,ENSG00000183718,ENSG00000184634,ENSG00000185024,ENSG00000185246,ENSG00000185946,ENSG00000196967,ENSG00000197586,ENSG00000197808,ENSG00000198131,ENSG00000198728,ENSG00000198917,ENSG00000204227,ENSG00000204231,ENSG00000204348,ENSG00000204351,ENSG00000213676,ENSG00000213780,ENSG00000214941,ENSG00000221978,ENSG00000221988,ENSG00000244754,ENSG00000251247,ENSG00000256525,ENSG00000256771"	2.1681073240248
"9"	"red"	TRUE	7.39e-06	3953	380	134	0.353	0.034	"GO:0090304"	"BP"	1	"nucleic acid metabolic process"	3	"ENSG00000001497,ENSG00000003402,ENSG00000003756,ENSG00000004534,ENSG00000008838,ENSG00000046647,ENSG00000064545,ENSG00000071894,ENSG00000075292,ENSG00000076108,ENSG00000084764,ENSG00000088038,ENSG00000089335,ENSG00000094631,ENSG00000100201,ENSG00000100968,ENSG00000101452,ENSG00000101751,ENSG00000101997,ENSG00000102349,ENSG00000103168,ENSG00000104852,ENSG00000104907,ENSG00000105497,ENSG00000105662,ENSG00000106459,ENSG00000107938,ENSG00000108469,ENSG00000108848,ENSG00000110844,ENSG00000110888,ENSG00000112855,ENSG00000113240,ENSG00000113593,ENSG00000115524,ENSG00000115875,ENSG00000116731,ENSG00000117360,ENSG00000119684,ENSG00000120093,ENSG00000120948,ENSG00000122085,ENSG00000122481,ENSG00000122484,ENSG00000122512,ENSG00000123737,ENSG00000124193,ENSG00000125755,ENSG00000126226,ENSG00000127054,ENSG00000128191,ENSG00000130254,ENSG00000130997,ENSG00000131051,ENSG00000132275,ENSG00000132485,ENSG00000133226,ENSG00000134899,ENSG00000136271,ENSG00000136709,ENSG00000137411,ENSG00000137504,ENSG00000140326,ENSG00000140488,ENSG00000141644,ENSG00000141736,ENSG00000143379,ENSG00000145214,ENSG00000147118,ENSG00000147162,ENSG00000148308,ENSG00000148400,ENSG00000149532,ENSG00000149716,ENSG00000151923,ENSG00000154832,ENSG00000155229,ENSG00000155275,ENSG00000160117,ENSG00000160953,ENSG00000160959,ENSG00000161551,ENSG00000161692,ENSG00000163161,ENSG00000163482,ENSG00000164053,ENSG00000165819,ENSG00000166169,ENSG00000166704,ENSG00000167232,ENSG00000167377,ENSG00000167562,ENSG00000167967,ENSG00000167978,ENSG00000167984,ENSG00000168395,ENSG00000168876,ENSG00000169045,ENSG00000169062,ENSG00000169249,ENSG00000169635,ENSG00000170322,ENSG00000171606,ENSG00000171824,ENSG00000172732,ENSG00000172922,ENSG00000176401,ENSG00000176444,ENSG00000178338,ENSG00000178971,ENSG00000179335,ENSG00000182979,ENSG00000183718,ENSG00000184634,ENSG00000185024,ENSG00000185246,ENSG00000185946,ENSG00000196967,ENSG00000197808,ENSG00000198131,ENSG00000198728,ENSG00000198917,ENSG00000204227,ENSG00000204231,ENSG00000204348,ENSG00000204351,ENSG00000213676,ENSG00000213780,ENSG00000214941,ENSG00000221978,ENSG00000244754,ENSG00000251247,ENSG00000256525,ENSG00000256771"	2.2717223785017
"10"	"red"	TRUE	0.000257	3491	380	117	0.308	0.034	"GO:0016070"	"BP"	1	"RNA metabolic process"	4	"ENSG00000001497,ENSG00000003402,ENSG00000003756,ENSG00000004534,ENSG00000008838,ENSG00000046647,ENSG00000071894,ENSG00000075292,ENSG00000076108,ENSG00000084764,ENSG00000088038,ENSG00000089335,ENSG00000094631,ENSG00000100201,ENSG00000100968,ENSG00000101452,ENSG00000101997,ENSG00000102349,ENSG00000103168,ENSG00000104852,ENSG00000104907,ENSG00000105497,ENSG00000105662,ENSG00000106459,ENSG00000107938,ENSG00000108469,ENSG00000108848,ENSG00000110844,ENSG00000110888,ENSG00000112855,ENSG00000113240,ENSG00000113593,ENSG00000115524,ENSG00000115875,ENSG00000116731,ENSG00000117360,ENSG00000120093,ENSG00000120948,ENSG00000122085,ENSG00000122481,ENSG00000122484,ENSG00000123737,ENSG00000124193,ENSG00000125755,ENSG00000126226,ENSG00000127054,ENSG00000128191,ENSG00000130254,ENSG00000131051,ENSG00000132275,ENSG00000132485,ENSG00000133226,ENSG00000136271,ENSG00000136709,ENSG00000137411,ENSG00000137504,ENSG00000140488,ENSG00000141644,ENSG00000141736,ENSG00000143379,ENSG00000145214,ENSG00000147118,ENSG00000147162,ENSG00000148308,ENSG00000148400,ENSG00000149532,ENSG00000151923,ENSG00000154832,ENSG00000155229,ENSG00000155275,ENSG00000160959,ENSG00000161551,ENSG00000163161,ENSG00000163482,ENSG00000165819,ENSG00000166704,ENSG00000167232,ENSG00000167377,ENSG00000167562,ENSG00000167967,ENSG00000167978,ENSG00000167984,ENSG00000168395,ENSG00000168876,ENSG00000169045,ENSG00000169062,ENSG00000169249,ENSG00000169635,ENSG00000170322,ENSG00000171606,ENSG00000171824,ENSG00000172922,ENSG00000176401,ENSG00000176444,ENSG00000178338,ENSG00000179335,ENSG00000183718,ENSG00000184634,ENSG00000185024,ENSG00000185246,ENSG00000185946,ENSG00000196967,ENSG00000197808,ENSG00000198131,ENSG00000198728,ENSG00000198917,ENSG00000204227,ENSG00000204231,ENSG00000204348,ENSG00000204351,ENSG00000213676,ENSG00000213780,ENSG00000221978,ENSG00000244754,ENSG00000251247,ENSG00000256525,ENSG00000256771"	2.46190117957877
