"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"lightyellow"	TRUE	0.00117	105	385	13	0.034	0.124	"GO:0006289"	"BP"	7	"nucleotide-excision repair"	1	"ENSG00000073050,ENSG00000099817,ENSG00000100387,ENSG00000104884,ENSG00000106399,ENSG00000106628,ENSG00000111652,ENSG00000147400,ENSG00000155229,ENSG00000166169,ENSG00000167986,ENSG00000168002,ENSG00000177700"	6.46949162159781
"2"	"lightyellow"	TRUE	0.0101	73	385	10	0.026	0.137	"GO:0006283"	"BP"	7	"transcription-coupled nucleotide-excision repair"	2	"ENSG00000073050,ENSG00000099817,ENSG00000100387,ENSG00000104884,ENSG00000106399,ENSG00000106628,ENSG00000111652,ENSG00000167986,ENSG00000168002,ENSG00000177700"	7.83709384970555
"3"	"lightyellow"	TRUE	1.52e-05	2275	385	90	0.234	0.04	"GO:0051641"	"BP"	9	"cellular localization"	1	"ENSG00000002822,ENSG00000006715,ENSG00000007255,ENSG00000025772,ENSG00000054611,ENSG00000064601,ENSG00000070366,ENSG00000071553,ENSG00000075142,ENSG00000075945,ENSG00000086065,ENSG00000086666,ENSG00000089063,ENSG00000089248,ENSG00000094914,ENSG00000100028,ENSG00000100417,ENSG00000101246,ENSG00000101473,ENSG00000102119,ENSG00000102898,ENSG00000103051,ENSG00000104886,ENSG00000105185,ENSG00000105401,ENSG00000105402,ENSG00000105618,ENSG00000105669,ENSG00000106211,ENSG00000108641,ENSG00000109846,ENSG00000111196,ENSG00000111481,ENSG00000114316,ENSG00000116586,ENSG00000118096,ENSG00000118640,ENSG00000119650,ENSG00000119878,ENSG00000121691,ENSG00000123106,ENSG00000124172,ENSG00000124587,ENSG00000125124,ENSG00000125755,ENSG00000126768,ENSG00000127445,ENSG00000128581,ENSG00000130724,ENSG00000132432,ENSG00000132881,ENSG00000137100,ENSG00000140319,ENSG00000140350,ENSG00000141376,ENSG00000141577,ENSG00000142230,ENSG00000143486,ENSG00000143575,ENSG00000143742,ENSG00000147400,ENSG00000149357,ENSG00000158623,ENSG00000160695,ENSG00000160948,ENSG00000162961,ENSG00000163634,ENSG00000165714,ENSG00000166685,ENSG00000170043,ENSG00000170296,ENSG00000170310,ENSG00000171298,ENSG00000171853,ENSG00000173163,ENSG00000174483,ENSG00000177602,ENSG00000184903,ENSG00000188186,ENSG00000197858,ENSG00000198258,ENSG00000204569,ENSG00000205323,ENSG00000213123,ENSG00000213465,ENSG00000214253,ENSG00000215305,ENSG00000223501,ENSG00000242612,ENSG00000254505"	3.24197399957096
"4"	"lightyellow"	TRUE	0.00895	1412	385	57	0.148	0.04	"GO:0070727"	"BP"	9	"cellular macromolecule localization"	2	"ENSG00000006715,ENSG00000025772,ENSG00000054611,ENSG00000064601,ENSG00000070366,ENSG00000086666,ENSG00000089248,ENSG00000094914,ENSG00000100417,ENSG00000101246,ENSG00000101473,ENSG00000102119,ENSG00000102898,ENSG00000105185,ENSG00000105401,ENSG00000105402,ENSG00000106211,ENSG00000111196,ENSG00000114316,ENSG00000116586,ENSG00000118640,ENSG00000119878,ENSG00000121691,ENSG00000124587,ENSG00000125124,ENSG00000125755,ENSG00000126768,ENSG00000127445,ENSG00000132432,ENSG00000132881,ENSG00000140319,ENSG00000141376,ENSG00000141577,ENSG00000142230,ENSG00000143486,ENSG00000143575,ENSG00000143742,ENSG00000149357,ENSG00000160695,ENSG00000160948,ENSG00000163634,ENSG00000170296,ENSG00000170310,ENSG00000171853,ENSG00000173163,ENSG00000174483,ENSG00000177602,ENSG00000184903,ENSG00000188186,ENSG00000197858,ENSG00000198258,ENSG00000204569,ENSG00000205323,ENSG00000213465,ENSG00000214253,ENSG00000242612,ENSG00000254505"	4.21374105910208
"5"	"lightyellow"	TRUE	1.6e-05	1721	385	74	0.192	0.043	"GO:0051649"	"BP"	9	"establishment of localization in cell"	1	"ENSG00000002822,ENSG00000006715,ENSG00000007255,ENSG00000025772,ENSG00000054611,ENSG00000064601,ENSG00000070366,ENSG00000075142,ENSG00000075945,ENSG00000086065,ENSG00000086666,ENSG00000089063,ENSG00000089248,ENSG00000094914,ENSG00000100028,ENSG00000100417,ENSG00000101246,ENSG00000101473,ENSG00000102119,ENSG00000102898,ENSG00000103051,ENSG00000104886,ENSG00000105185,ENSG00000105401,ENSG00000105402,ENSG00000105669,ENSG00000106211,ENSG00000109846,ENSG00000111196,ENSG00000111481,ENSG00000118096,ENSG00000118640,ENSG00000119650,ENSG00000121691,ENSG00000123106,ENSG00000124172,ENSG00000124587,ENSG00000125124,ENSG00000125755,ENSG00000126768,ENSG00000128581,ENSG00000130724,ENSG00000132432,ENSG00000137100,ENSG00000140319,ENSG00000140350,ENSG00000141376,ENSG00000141577,ENSG00000142230,ENSG00000143486,ENSG00000143575,ENSG00000143742,ENSG00000149357,ENSG00000158623,ENSG00000160695,ENSG00000160948,ENSG00000162961,ENSG00000163634,ENSG00000165714,ENSG00000166685,ENSG00000170043,ENSG00000170296,ENSG00000170310,ENSG00000171853,ENSG00000184903,ENSG00000198258,ENSG00000204569,ENSG00000205323,ENSG00000213123,ENSG00000214253,ENSG00000215305,ENSG00000223501,ENSG00000242612,ENSG00000254505"	3.41602458041149
"6"	"lightyellow"	TRUE	9.87e-08	1442	385	71	0.184	0.049	"GO:0046907"	"BP"	9	"intracellular transport"	2	"ENSG00000006715,ENSG00000007255,ENSG00000025772,ENSG00000054611,ENSG00000064601,ENSG00000070366,ENSG00000075945,ENSG00000086666,ENSG00000089063,ENSG00000089248,ENSG00000094914,ENSG00000100028,ENSG00000100417,ENSG00000101246,ENSG00000101473,ENSG00000102119,ENSG00000102898,ENSG00000103051,ENSG00000104886,ENSG00000105185,ENSG00000105401,ENSG00000105402,ENSG00000105669,ENSG00000106211,ENSG00000109846,ENSG00000111196,ENSG00000111481,ENSG00000118096,ENSG00000118640,ENSG00000119650,ENSG00000121691,ENSG00000123106,ENSG00000124172,ENSG00000124587,ENSG00000125124,ENSG00000125755,ENSG00000126768,ENSG00000128581,ENSG00000130724,ENSG00000132432,ENSG00000137100,ENSG00000140319,ENSG00000140350,ENSG00000141376,ENSG00000141577,ENSG00000142230,ENSG00000143486,ENSG00000143575,ENSG00000143742,ENSG00000149357,ENSG00000158623,ENSG00000160695,ENSG00000160948,ENSG00000162961,ENSG00000163634,ENSG00000165714,ENSG00000166685,ENSG00000170043,ENSG00000170296,ENSG00000170310,ENSG00000171853,ENSG00000184903,ENSG00000198258,ENSG00000204569,ENSG00000205323,ENSG00000213123,ENSG00000214253,ENSG00000215305,ENSG00000223501,ENSG00000242612,ENSG00000254505"	3.92618257313009
"7"	"lightyellow"	TRUE	0.0072	1402	385	57	0.148	0.041	"GO:0034613"	"BP"	9	"cellular protein localization"	1	"ENSG00000006715,ENSG00000025772,ENSG00000054611,ENSG00000064601,ENSG00000070366,ENSG00000086666,ENSG00000089248,ENSG00000094914,ENSG00000100417,ENSG00000101246,ENSG00000101473,ENSG00000102119,ENSG00000102898,ENSG00000105185,ENSG00000105401,ENSG00000105402,ENSG00000106211,ENSG00000111196,ENSG00000114316,ENSG00000116586,ENSG00000118640,ENSG00000119878,ENSG00000121691,ENSG00000124587,ENSG00000125124,ENSG00000125755,ENSG00000126768,ENSG00000127445,ENSG00000132432,ENSG00000132881,ENSG00000140319,ENSG00000141376,ENSG00000141577,ENSG00000142230,ENSG00000143486,ENSG00000143575,ENSG00000143742,ENSG00000149357,ENSG00000160695,ENSG00000160948,ENSG00000163634,ENSG00000170296,ENSG00000170310,ENSG00000171853,ENSG00000173163,ENSG00000174483,ENSG00000177602,ENSG00000184903,ENSG00000188186,ENSG00000197858,ENSG00000198258,ENSG00000204569,ENSG00000205323,ENSG00000213465,ENSG00000214253,ENSG00000242612,ENSG00000254505"	4.21770342188904
"8"	"lightyellow"	TRUE	0.00117	813	385	41	0.106	0.05	"GO:0006886"	"BP"	9	"intracellular protein transport"	1	"ENSG00000006715,ENSG00000025772,ENSG00000054611,ENSG00000064601,ENSG00000070366,ENSG00000086666,ENSG00000089248,ENSG00000094914,ENSG00000100417,ENSG00000101473,ENSG00000102119,ENSG00000102898,ENSG00000105185,ENSG00000105401,ENSG00000105402,ENSG00000106211,ENSG00000111196,ENSG00000121691,ENSG00000124587,ENSG00000125755,ENSG00000126768,ENSG00000132432,ENSG00000140319,ENSG00000141376,ENSG00000141577,ENSG00000142230,ENSG00000143486,ENSG00000143575,ENSG00000143742,ENSG00000160695,ENSG00000160948,ENSG00000163634,ENSG00000170296,ENSG00000170310,ENSG00000184903,ENSG00000198258,ENSG00000204569,ENSG00000205323,ENSG00000214253,ENSG00000242612,ENSG00000254505"	4.69758195058979
"9"	"lightyellow"	TRUE	0.0262	353	385	22	0.057	0.062	"GO:0006605"	"BP"	9	"protein targeting"	2	"ENSG00000006715,ENSG00000025772,ENSG00000086666,ENSG00000100417,ENSG00000101473,ENSG00000105185,ENSG00000105401,ENSG00000121691,ENSG00000124587,ENSG00000126768,ENSG00000132432,ENSG00000140319,ENSG00000142230,ENSG00000143575,ENSG00000143742,ENSG00000160695,ENSG00000170296,ENSG00000184903,ENSG00000198258,ENSG00000214253,ENSG00000242612,ENSG00000254505"	5.09984449391108
"10"	"lightyellow"	TRUE	0.023	35	385	7	0.018	0.2	"GO:0000291"	"BP"	6	"nuclear-transcribed mRNA catabolic process, exonucleolytic"	1	"ENSG00000077348,ENSG00000130520,ENSG00000140395,ENSG00000151065,ENSG00000168002,ENSG00000170860,ENSG00000171311"	8.0194154064995
"11"	"lightyellow"	TRUE	0.00392	760	385	38	0.099	0.05	"GO:0006396"	"BP"	11	"RNA processing"	1	"ENSG00000006744,ENSG00000065268,ENSG00000074201,ENSG00000077348,ENSG00000099817,ENSG00000100028,ENSG00000101161,ENSG00000104884,ENSG00000105618,ENSG00000105705,ENSG00000110844,ENSG00000111196,ENSG00000114316,ENSG00000124562,ENSG00000124608,ENSG00000125755,ENSG00000130520,ENSG00000135972,ENSG00000141456,ENSG00000145982,ENSG00000146007,ENSG00000148688,ENSG00000149262,ENSG00000150316,ENSG00000150459,ENSG00000156990,ENSG00000163634,ENSG00000167272,ENSG00000168002,ENSG00000169976,ENSG00000170860,ENSG00000171311,ENSG00000173113,ENSG00000177700,ENSG00000183258,ENSG00000198258,ENSG00000204356,ENSG00000205323"	4.43281480150599
"12"	"lightyellow"	TRUE	0.0116	310	385	21	0.055	0.068	"GO:0000375"	"BP"	11	"RNA splicing, via transesterification reactions"	1	"ENSG00000074201,ENSG00000099817,ENSG00000100028,ENSG00000101161,ENSG00000105618,ENSG00000105705,ENSG00000110844,ENSG00000111196,ENSG00000114316,ENSG00000124562,ENSG00000125755,ENSG00000130520,ENSG00000146007,ENSG00000150316,ENSG00000150459,ENSG00000168002,ENSG00000169976,ENSG00000170860,ENSG00000177700,ENSG00000183258,ENSG00000198258"	5.57610265401034
"13"	"lightyellow"	TRUE	0.01	307	385	21	0.055	0.068	"GO:0000377"	"BP"	11	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	2	"ENSG00000074201,ENSG00000099817,ENSG00000100028,ENSG00000101161,ENSG00000105618,ENSG00000105705,ENSG00000110844,ENSG00000111196,ENSG00000114316,ENSG00000124562,ENSG00000125755,ENSG00000130520,ENSG00000146007,ENSG00000150316,ENSG00000150459,ENSG00000168002,ENSG00000169976,ENSG00000170860,ENSG00000177700,ENSG00000183258,ENSG00000198258"	5.62556872222713
"14"	"lightyellow"	TRUE	0.00406	391	385	25	0.065	0.064	"GO:0006397"	"BP"	11	"mRNA processing"	1	"ENSG00000074201,ENSG00000099817,ENSG00000100028,ENSG00000101161,ENSG00000104884,ENSG00000105618,ENSG00000105705,ENSG00000110844,ENSG00000111196,ENSG00000114316,ENSG00000124562,ENSG00000125755,ENSG00000130520,ENSG00000146007,ENSG00000150316,ENSG00000150459,ENSG00000163634,ENSG00000168002,ENSG00000169976,ENSG00000170860,ENSG00000177700,ENSG00000183258,ENSG00000198258,ENSG00000204356,ENSG00000205323"	5.10706474188456
