"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"ivory"	TRUE	0.00825	68	169	7	0.041	0.103	"GO:0001909"	"BP"	14	"leukocyte mediated cytotoxicity"	1	"ENSG00000072694,ENSG00000076944,ENSG00000096996,ENSG00000102879,ENSG00000153310,ENSG00000168961,ENSG00000204516"	7.10757902497473
"2"	"ivory"	TRUE	0.0159	1397	169	31	0.183	0.022	"GO:0051704"	"BP"	1	"multi-organism process"	1	"ENSG00000010327,ENSG00000051523,ENSG00000072694,ENSG00000085265,ENSG00000090659,ENSG00000091106,ENSG00000096996,ENSG00000101336,ENSG00000103490,ENSG00000105329,ENSG00000111348,ENSG00000118640,ENSG00000131042,ENSG00000134061,ENSG00000135077,ENSG00000136634,ENSG00000141655,ENSG00000154589,ENSG00000156127,ENSG00000158473,ENSG00000158869,ENSG00000160791,ENSG00000161640,ENSG00000163220,ENSG00000167992,ENSG00000168961,ENSG00000170458,ENSG00000172724,ENSG00000172936,ENSG00000204516,ENSG00000254087"	3.52629472432004
"3"	"ivory"	TRUE	4.09e-07	5426	169	91	0.538	0.017	"GO:0023052"	"BP"	1	"signaling"	1	"ENSG00000010327,ENSG00000011600,ENSG00000014257,ENSG00000015285,ENSG00000019169,ENSG00000051523,ENSG00000060558,ENSG00000072694,ENSG00000081985,ENSG00000085265,ENSG00000086730,ENSG00000089820,ENSG00000090659,ENSG00000091106,ENSG00000096996,ENSG00000100060,ENSG00000100292,ENSG00000100365,ENSG00000101336,ENSG00000103490,ENSG00000104783,ENSG00000104974,ENSG00000105329,ENSG00000105383,ENSG00000105464,ENSG00000105609,ENSG00000111199,ENSG00000111348,ENSG00000111679,ENSG00000115956,ENSG00000117676,ENSG00000118640,ENSG00000121807,ENSG00000123329,ENSG00000124491,ENSG00000125730,ENSG00000126264,ENSG00000128340,ENSG00000129450,ENSG00000130429,ENSG00000130830,ENSG00000131042,ENSG00000134061,ENSG00000134215,ENSG00000136167,ENSG00000136286,ENSG00000136634,ENSG00000140030,ENSG00000141655,ENSG00000141968,ENSG00000143119,ENSG00000143226,ENSG00000146376,ENSG00000147443,ENSG00000149781,ENSG00000150337,ENSG00000154589,ENSG00000155629,ENSG00000156127,ENSG00000158869,ENSG00000160255,ENSG00000160791,ENSG00000161944,ENSG00000163131,ENSG00000163220,ENSG00000163823,ENSG00000167083,ENSG00000167851,ENSG00000168961,ENSG00000169403,ENSG00000169495,ENSG00000169508,ENSG00000170458,ENSG00000171700,ENSG00000172724,ENSG00000172936,ENSG00000173372,ENSG00000174837,ENSG00000175544,ENSG00000185527,ENSG00000187474,ENSG00000187796,ENSG00000197405,ENSG00000198019,ENSG00000203747,ENSG00000204472,ENSG00000204516,ENSG00000204577,ENSG00000216490,ENSG00000235568,ENSG00000254087"	1.93831330419893
"4"	"ivory"	TRUE	8.83e-10	986	169	37	0.219	0.038	"GO:0022610"	"BP"	1	"biological adhesion"	1	"ENSG00000010327,ENSG00000072694,ENSG00000088827,ENSG00000090659,ENSG00000096996,ENSG00000101336,ENSG00000102879,ENSG00000103490,ENSG00000105329,ENSG00000105383,ENSG00000111199,ENSG00000111348,ENSG00000111679,ENSG00000115956,ENSG00000121807,ENSG00000128340,ENSG00000131042,ENSG00000133800,ENSG00000135077,ENSG00000136634,ENSG00000141968,ENSG00000149781,ENSG00000153310,ENSG00000158473,ENSG00000160255,ENSG00000161640,ENSG00000163154,ENSG00000163220,ENSG00000163823,ENSG00000163975,ENSG00000167851,ENSG00000168961,ENSG00000172724,ENSG00000174837,ENSG00000187210,ENSG00000204472,ENSG00000254087"	4.04118860061473
"5"	"ivory"	TRUE	7.12e-10	979	169	37	0.219	0.038	"GO:0007155"	"BP"	1	"cell adhesion"	2	"ENSG00000010327,ENSG00000072694,ENSG00000088827,ENSG00000090659,ENSG00000096996,ENSG00000101336,ENSG00000102879,ENSG00000103490,ENSG00000105329,ENSG00000105383,ENSG00000111199,ENSG00000111348,ENSG00000111679,ENSG00000115956,ENSG00000121807,ENSG00000128340,ENSG00000131042,ENSG00000133800,ENSG00000135077,ENSG00000136634,ENSG00000141968,ENSG00000149781,ENSG00000153310,ENSG00000158473,ENSG00000160255,ENSG00000161640,ENSG00000163154,ENSG00000163220,ENSG00000163823,ENSG00000163975,ENSG00000167851,ENSG00000168961,ENSG00000172724,ENSG00000174837,ENSG00000187210,ENSG00000204472,ENSG00000254087"	4.04702925134427
"6"	"ivory"	TRUE	3.02e-09	539	169	27	0.16	0.05	"GO:0098609"	"BP"	1	"cell-cell adhesion"	3	"ENSG00000072694,ENSG00000088827,ENSG00000090659,ENSG00000096996,ENSG00000103490,ENSG00000105329,ENSG00000111199,ENSG00000111679,ENSG00000115956,ENSG00000121807,ENSG00000128340,ENSG00000131042,ENSG00000135077,ENSG00000136634,ENSG00000141968,ENSG00000149781,ENSG00000153310,ENSG00000158473,ENSG00000160255,ENSG00000163154,ENSG00000163220,ENSG00000167851,ENSG00000168961,ENSG00000172724,ENSG00000187210,ENSG00000204472,ENSG00000254087"	4.57686283915544
"7"	"ivory"	TRUE	4.53e-13	250	169	23	0.136	0.092	"GO:0007159"	"BP"	1	"leukocyte cell-cell adhesion"	4	"ENSG00000072694,ENSG00000090659,ENSG00000096996,ENSG00000103490,ENSG00000111679,ENSG00000121807,ENSG00000128340,ENSG00000131042,ENSG00000135077,ENSG00000136634,ENSG00000141968,ENSG00000149781,ENSG00000153310,ENSG00000158473,ENSG00000160255,ENSG00000163154,ENSG00000163220,ENSG00000167851,ENSG00000168961,ENSG00000172724,ENSG00000187210,ENSG00000204472,ENSG00000254087"	5.12904364860334
"8"	"ivory"	TRUE	0.0496	89	169	7	0.041	0.079	"GO:0099024"	"BP"	1	"plasma membrane invagination"	1	"ENSG00000038945,ENSG00000072694,ENSG00000125730,ENSG00000150337,ENSG00000160255,ENSG00000167851,ENSG00000204472"	NA
"9"	"ivory"	TRUE	0.000407	1438	169	35	0.207	0.024	"GO:0040011"	"BP"	1	"locomotion"	1	"ENSG00000015285,ENSG00000089820,ENSG00000100292,ENSG00000101336,ENSG00000102879,ENSG00000103490,ENSG00000105329,ENSG00000108798,ENSG00000111348,ENSG00000111679,ENSG00000121807,ENSG00000128340,ENSG00000130830,ENSG00000136167,ENSG00000136286,ENSG00000136634,ENSG00000141655,ENSG00000146376,ENSG00000147443,ENSG00000149781,ENSG00000158869,ENSG00000160255,ENSG00000160791,ENSG00000163220,ENSG00000163823,ENSG00000167851,ENSG00000168961,ENSG00000169403,ENSG00000169508,ENSG00000172724,ENSG00000187210,ENSG00000187474,ENSG00000197405,ENSG00000204472,ENSG00000254087"	3.79827504789951
"10"	"ivory"	TRUE	0.0238	1643	169	34	0.201	0.021	"GO:0006928"	"BP"	1	"movement of cell or subcellular component"	1	"ENSG00000015285,ENSG00000089820,ENSG00000100292,ENSG00000101336,ENSG00000103490,ENSG00000105329,ENSG00000108798,ENSG00000111348,ENSG00000111679,ENSG00000121807,ENSG00000128340,ENSG00000130830,ENSG00000136167,ENSG00000136286,ENSG00000136634,ENSG00000137474,ENSG00000141655,ENSG00000146376,ENSG00000147443,ENSG00000149781,ENSG00000158869,ENSG00000160255,ENSG00000160791,ENSG00000163220,ENSG00000163823,ENSG00000167851,ENSG00000168961,ENSG00000169508,ENSG00000172724,ENSG00000187210,ENSG00000187474,ENSG00000197405,ENSG00000204472,ENSG00000254087"	3.76112700452068
