"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"lightcyan"	TRUE	0.000466	1395	111	34	0.306	0.024	"REAC:R-HSA-74160"	"rea"	1	"Gene expression (Transcription)"	1	"ENSG00000005801,ENSG00000079134,ENSG00000081665,ENSG00000083814,ENSG00000092847,ENSG00000105136,ENSG00000115207,ENSG00000122386,ENSG00000125846,ENSG00000126070,ENSG00000132964,ENSG00000133895,ENSG00000140992,ENSG00000142453,ENSG00000145604,ENSG00000159917,ENSG00000160113,ENSG00000166704,ENSG00000169951,ENSG00000171291,ENSG00000171720,ENSG00000175206,ENSG00000175305,ENSG00000181090,ENSG00000181220,ENSG00000181666,ENSG00000183741,ENSG00000185024,ENSG00000186300,ENSG00000196363,ENSG00000196378,ENSG00000197808,ENSG00000197951,ENSG00000204227"	NA
"2"	"lightcyan"	TRUE	0.000417	1257	111	32	0.288	0.025	"REAC:R-HSA-73857"	"rea"	1	"RNA Polymerase II Transcription"	2	"ENSG00000005801,ENSG00000079134,ENSG00000081665,ENSG00000083814,ENSG00000092847,ENSG00000105136,ENSG00000122386,ENSG00000125846,ENSG00000126070,ENSG00000132964,ENSG00000133895,ENSG00000140992,ENSG00000142453,ENSG00000145604,ENSG00000159917,ENSG00000160113,ENSG00000166704,ENSG00000169951,ENSG00000171291,ENSG00000171720,ENSG00000175206,ENSG00000175305,ENSG00000181090,ENSG00000181220,ENSG00000181666,ENSG00000183741,ENSG00000186300,ENSG00000196363,ENSG00000196378,ENSG00000197808,ENSG00000197951,ENSG00000204227"	NA
"3"	"lightcyan"	TRUE	0.000143	1136	111	31	0.279	0.027	"REAC:R-HSA-212436"	"rea"	1	"Generic Transcription Pathway"	3	"ENSG00000005801,ENSG00000081665,ENSG00000083814,ENSG00000092847,ENSG00000105136,ENSG00000122386,ENSG00000125846,ENSG00000126070,ENSG00000132964,ENSG00000133895,ENSG00000140992,ENSG00000142453,ENSG00000145604,ENSG00000159917,ENSG00000160113,ENSG00000166704,ENSG00000169951,ENSG00000171291,ENSG00000171720,ENSG00000175206,ENSG00000175305,ENSG00000181090,ENSG00000181220,ENSG00000181666,ENSG00000183741,ENSG00000186300,ENSG00000196363,ENSG00000196378,ENSG00000197808,ENSG00000197951,ENSG00000204227"	NA
"4"	"thistle1"	TRUE	1.53e-05	986	112	24	0.214	0.024	"GO:0022610"	"BP"	1	"biological adhesion"	1	"ENSG00000005844,ENSG00000013725,ENSG00000026751,ENSG00000065618,ENSG00000073861,ENSG00000081277,ENSG00000100351,ENSG00000115085,ENSG00000115165,ENSG00000116824,ENSG00000133110,ENSG00000134242,ENSG00000137077,ENSG00000140368,ENSG00000153283,ENSG00000157873,ENSG00000160593,ENSG00000163599,ENSG00000168071,ENSG00000178934,ENSG00000181847,ENSG00000182866,ENSG00000198851,ENSG00000213809"	4.04118860061473
"5"	"thistle1"	TRUE	1.33e-05	979	112	24	0.214	0.025	"GO:0007155"	"BP"	1	"cell adhesion"	2	"ENSG00000005844,ENSG00000013725,ENSG00000026751,ENSG00000065618,ENSG00000073861,ENSG00000081277,ENSG00000100351,ENSG00000115085,ENSG00000115165,ENSG00000116824,ENSG00000133110,ENSG00000134242,ENSG00000137077,ENSG00000140368,ENSG00000153283,ENSG00000157873,ENSG00000160593,ENSG00000163599,ENSG00000168071,ENSG00000178934,ENSG00000181847,ENSG00000182866,ENSG00000198851,ENSG00000213809"	4.04702925134427
"6"	"thistle1"	TRUE	8.04e-05	539	112	17	0.152	0.032	"GO:0098609"	"BP"	1	"cell-cell adhesion"	3	"ENSG00000005844,ENSG00000013725,ENSG00000073861,ENSG00000100351,ENSG00000115085,ENSG00000116824,ENSG00000134242,ENSG00000137077,ENSG00000157873,ENSG00000160593,ENSG00000163599,ENSG00000168071,ENSG00000178934,ENSG00000181847,ENSG00000182866,ENSG00000198851,ENSG00000213809"	4.57686283915544
"7"	"thistle1"	TRUE	1.04e-06	250	112	14	0.125	0.056	"GO:0007159"	"BP"	1	"leukocyte cell-cell adhesion"	4	"ENSG00000005844,ENSG00000013725,ENSG00000073861,ENSG00000100351,ENSG00000115085,ENSG00000134242,ENSG00000137077,ENSG00000157873,ENSG00000163599,ENSG00000168071,ENSG00000181847,ENSG00000182866,ENSG00000198851,ENSG00000213809"	5.12904364860334
"8"	"thistle1"	TRUE	0.00332	478	112	14	0.125	0.029	"GO:0030155"	"BP"	1	"regulation of cell adhesion"	3	"ENSG00000013725,ENSG00000073861,ENSG00000100351,ENSG00000115085,ENSG00000115165,ENSG00000134242,ENSG00000137077,ENSG00000157873,ENSG00000163599,ENSG00000168071,ENSG00000181847,ENSG00000182866,ENSG00000198851,ENSG00000213809"	4.99412433070397
"9"	"thistle1"	TRUE	5.43e-05	286	112	13	0.116	0.045	"GO:0022407"	"BP"	1	"regulation of cell-cell adhesion"	4	"ENSG00000013725,ENSG00000073861,ENSG00000100351,ENSG00000115085,ENSG00000134242,ENSG00000137077,ENSG00000157873,ENSG00000163599,ENSG00000168071,ENSG00000181847,ENSG00000182866,ENSG00000198851,ENSG00000213809"	5.48395647754867
"10"	"thistle1"	TRUE	1.75e-06	215	112	13	0.116	0.06	"GO:1903037"	"BP"	1	"regulation of leukocyte cell-cell adhesion"	5	"ENSG00000013725,ENSG00000073861,ENSG00000100351,ENSG00000115085,ENSG00000134242,ENSG00000137077,ENSG00000157873,ENSG00000163599,ENSG00000168071,ENSG00000181847,ENSG00000182866,ENSG00000198851,ENSG00000213809"	5.68835084218359
"11"	"thistle1"	TRUE	1.03e-17	2441	112	57	0.509	0.023	"GO:0002376"	"BP"	1	"immune system process"	1	"ENSG00000005844,ENSG00000013725,ENSG00000026751,ENSG00000065618,ENSG00000069493,ENSG00000073861,ENSG00000077984,ENSG00000081277,ENSG00000100351,ENSG00000100448,ENSG00000101082,ENSG00000105369,ENSG00000111796,ENSG00000113263,ENSG00000115085,ENSG00000115523,ENSG00000116701,ENSG00000116824,ENSG00000121966,ENSG00000122223,ENSG00000125245,ENSG00000133710,ENSG00000134242,ENSG00000137077,ENSG00000137078,ENSG00000138755,ENSG00000145649,ENSG00000147168,ENSG00000153283,ENSG00000153563,ENSG00000156738,ENSG00000157873,ENSG00000160593,ENSG00000162654,ENSG00000162676,ENSG00000162739,ENSG00000163508,ENSG00000163599,ENSG00000163606,ENSG00000167286,ENSG00000167984,ENSG00000168071,ENSG00000168918,ENSG00000172543,ENSG00000172794,ENSG00000173762,ENSG00000175463,ENSG00000180644,ENSG00000181847,ENSG00000182866,ENSG00000183918,ENSG00000198821,ENSG00000198851,ENSG00000213809,ENSG00000232629,ENSG00000237541,ENSG00000243811"	2.79342981270393
"12"	"thistle1"	TRUE	1.76e-14	1256	112	39	0.348	0.031	"GO:0002682"	"BP"	1	"regulation of immune system process"	2	"ENSG00000005844,ENSG00000013725,ENSG00000026751,ENSG00000065618,ENSG00000069493,ENSG00000073861,ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000111796,ENSG00000113263,ENSG00000115085,ENSG00000116824,ENSG00000122223,ENSG00000133710,ENSG00000134242,ENSG00000137077,ENSG00000137078,ENSG00000138755,ENSG00000153283,ENSG00000153563,ENSG00000157873,ENSG00000160593,ENSG00000162676,ENSG00000162739,ENSG00000163599,ENSG00000163606,ENSG00000167286,ENSG00000167984,ENSG00000168071,ENSG00000168918,ENSG00000181847,ENSG00000182866,ENSG00000183918,ENSG00000198821,ENSG00000198851,ENSG00000213809,ENSG00000232629,ENSG00000237541"	3.53403025883847
"13"	"thistle1"	TRUE	2e-06	889	112	24	0.214	0.027	"GO:0002684"	"BP"	1	"positive regulation of immune system process"	2	"ENSG00000013725,ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000116824,ENSG00000122223,ENSG00000134242,ENSG00000137077,ENSG00000138755,ENSG00000157873,ENSG00000162676,ENSG00000162739,ENSG00000163599,ENSG00000167286,ENSG00000168071,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000213809,ENSG00000232629,ENSG00000237541"	3.93924489731477
"14"	"thistle1"	TRUE	0.0116	390	112	12	0.107	0.031	"GO:0050900"	"BP"	1	"leukocyte migration"	2	"ENSG00000005844,ENSG00000073861,ENSG00000115085,ENSG00000116824,ENSG00000121966,ENSG00000122223,ENSG00000137077,ENSG00000138755,ENSG00000160593,ENSG00000168918,ENSG00000182866,ENSG00000213809"	5.4408834972721
"15"	"thistle1"	TRUE	3.34e-07	7282	112	79	0.705	0.011	"GO:0050896"	"BP"	1	"response to stimulus"	1	"ENSG00000005844,ENSG00000013725,ENSG00000026751,ENSG00000064201,ENSG00000065618,ENSG00000069493,ENSG00000073861,ENSG00000077984,ENSG00000081277,ENSG00000100351,ENSG00000100385,ENSG00000100448,ENSG00000101082,ENSG00000101447,ENSG00000104814,ENSG00000105369,ENSG00000106268,ENSG00000111796,ENSG00000113263,ENSG00000115085,ENSG00000115523,ENSG00000116701,ENSG00000116824,ENSG00000121966,ENSG00000122223,ENSG00000125245,ENSG00000127152,ENSG00000130592,ENSG00000133110,ENSG00000133710,ENSG00000134242,ENSG00000137077,ENSG00000137078,ENSG00000137203,ENSG00000138755,ENSG00000140368,ENSG00000145649,ENSG00000145708,ENSG00000147168,ENSG00000153283,ENSG00000153563,ENSG00000156738,ENSG00000157873,ENSG00000159618,ENSG00000160593,ENSG00000162654,ENSG00000162676,ENSG00000162739,ENSG00000163508,ENSG00000163564,ENSG00000163599,ENSG00000163606,ENSG00000164691,ENSG00000167286,ENSG00000167895,ENSG00000167984,ENSG00000168918,ENSG00000171596,ENSG00000172215,ENSG00000172236,ENSG00000172543,ENSG00000172794,ENSG00000173762,ENSG00000174946,ENSG00000175463,ENSG00000180644,ENSG00000180739,ENSG00000182179,ENSG00000182866,ENSG00000183542,ENSG00000183918,ENSG00000185527,ENSG00000198821,ENSG00000198851,ENSG00000213809,ENSG00000227507,ENSG00000232629,ENSG00000237541,ENSG00000243811"	1.35563016342414
"16"	"thistle1"	TRUE	0.0018	3230	112	42	0.375	0.013	"GO:0048583"	"BP"	1	"regulation of response to stimulus"	2	"ENSG00000005844,ENSG00000013725,ENSG00000026751,ENSG00000065618,ENSG00000069493,ENSG00000073861,ENSG00000100351,ENSG00000101082,ENSG00000101447,ENSG00000104814,ENSG00000105369,ENSG00000111796,ENSG00000113263,ENSG00000115085,ENSG00000121966,ENSG00000125245,ENSG00000133710,ENSG00000134242,ENSG00000137077,ENSG00000138755,ENSG00000145708,ENSG00000153283,ENSG00000153563,ENSG00000160593,ENSG00000162676,ENSG00000162739,ENSG00000163564,ENSG00000163599,ENSG00000163606,ENSG00000164691,ENSG00000167286,ENSG00000167895,ENSG00000167984,ENSG00000168918,ENSG00000182866,ENSG00000183918,ENSG00000185527,ENSG00000198821,ENSG00000198851,ENSG00000213809,ENSG00000232629,ENSG00000237541"	2.73497161221734
"17"	"thistle1"	TRUE	6.39e-18	1801	112	50	0.446	0.028	"GO:0006955"	"BP"	1	"immune response"	2	"ENSG00000005844,ENSG00000013725,ENSG00000026751,ENSG00000065618,ENSG00000069493,ENSG00000073861,ENSG00000077984,ENSG00000081277,ENSG00000100351,ENSG00000100448,ENSG00000101082,ENSG00000105369,ENSG00000111796,ENSG00000113263,ENSG00000115085,ENSG00000115523,ENSG00000116701,ENSG00000122223,ENSG00000133710,ENSG00000134242,ENSG00000137077,ENSG00000138755,ENSG00000145649,ENSG00000147168,ENSG00000153283,ENSG00000153563,ENSG00000156738,ENSG00000157873,ENSG00000160593,ENSG00000162654,ENSG00000162676,ENSG00000162739,ENSG00000163508,ENSG00000163599,ENSG00000163606,ENSG00000167286,ENSG00000167984,ENSG00000168918,ENSG00000172543,ENSG00000172794,ENSG00000173762,ENSG00000175463,ENSG00000180644,ENSG00000182866,ENSG00000183918,ENSG00000198821,ENSG00000198851,ENSG00000213809,ENSG00000232629,ENSG00000237541"	3.39074573133391
"18"	"thistle1"	TRUE	1.11e-11	855	112	30	0.268	0.035	"GO:0050776"	"BP"	1	"regulation of immune response"	3	"ENSG00000005844,ENSG00000026751,ENSG00000065618,ENSG00000069493,ENSG00000073861,ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000111796,ENSG00000113263,ENSG00000115085,ENSG00000133710,ENSG00000134242,ENSG00000153283,ENSG00000153563,ENSG00000160593,ENSG00000162676,ENSG00000162739,ENSG00000163599,ENSG00000163606,ENSG00000167286,ENSG00000167984,ENSG00000168918,ENSG00000182866,ENSG00000183918,ENSG00000198821,ENSG00000198851,ENSG00000213809,ENSG00000232629,ENSG00000237541"	3.93736837208781
"19"	"thistle1"	TRUE	0.00148	515	112	15	0.134	0.029	"GO:0002764"	"BP"	1	"immune response-regulating signaling pathway"	4	"ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000134242,ENSG00000162676,ENSG00000163599,ENSG00000167286,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000232629,ENSG00000237541"	4.29720863962757
"20"	"thistle1"	TRUE	0.000205	379	112	14	0.125	0.037	"GO:0002768"	"BP"	1	"immune response-regulating cell surface receptor signaling pathway"	5	"ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000134242,ENSG00000163599,ENSG00000167286,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000232629,ENSG00000237541"	5.19013134058318
"21"	"thistle1"	TRUE	0.00177	671	112	17	0.152	0.025	"GO:0050778"	"BP"	1	"positive regulation of immune response"	3	"ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000134242,ENSG00000162676,ENSG00000162739,ENSG00000163599,ENSG00000167286,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000213809,ENSG00000232629,ENSG00000237541"	4.24028907453779
"22"	"thistle1"	TRUE	0.00465	565	112	15	0.134	0.027	"GO:0002253"	"BP"	1	"activation of immune response"	4	"ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000134242,ENSG00000162676,ENSG00000163599,ENSG00000167286,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000232629,ENSG00000237541"	4.38475750655221
"23"	"thistle1"	TRUE	0.000788	490	112	15	0.134	0.031	"GO:0002757"	"BP"	1	"immune response-activating signal transduction"	5	"ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000134242,ENSG00000162676,ENSG00000163599,ENSG00000167286,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000232629,ENSG00000237541"	4.49764054337466
"24"	"thistle1"	TRUE	8.53e-05	353	112	14	0.125	0.04	"GO:0002429"	"BP"	1	"immune response-activating cell surface receptor signaling pathway"	6	"ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000134242,ENSG00000163599,ENSG00000167286,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000232629,ENSG00000237541"	5.77163855000045
"25"	"thistle1"	TRUE	3.11e-08	192	112	14	0.125	0.073	"GO:0050851"	"BP"	1	"antigen receptor-mediated signaling pathway"	7	"ENSG00000100351,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000134242,ENSG00000163599,ENSG00000167286,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000232629,ENSG00000237541"	6.56338770736494
"26"	"thistle1"	TRUE	9.28e-08	104	112	11	0.098	0.106	"GO:0050852"	"BP"	1	"T cell receptor signaling pathway"	8	"ENSG00000100351,ENSG00000113263,ENSG00000115085,ENSG00000134242,ENSG00000167286,ENSG00000168918,ENSG00000182866,ENSG00000198821,ENSG00000198851,ENSG00000232629,ENSG00000237541"	6.89160396313913
"27"	"thistle1"	TRUE	2.8e-13	1140	112	36	0.321	0.032	"GO:0001775"	"BP"	1	"cell activation"	1	"ENSG00000005844,ENSG00000013725,ENSG00000026751,ENSG00000073861,ENSG00000081277,ENSG00000100351,ENSG00000100448,ENSG00000101082,ENSG00000105369,ENSG00000113263,ENSG00000115085,ENSG00000116824,ENSG00000122223,ENSG00000125245,ENSG00000133710,ENSG00000134242,ENSG00000137077,ENSG00000137078,ENSG00000153563,ENSG00000156738,ENSG00000157873,ENSG00000160593,ENSG00000162739,ENSG00000163508,ENSG00000163599,ENSG00000167286,ENSG00000167984,ENSG00000168071,ENSG00000172794,ENSG00000173762,ENSG00000175463,ENSG00000180644,ENSG00000181847,ENSG00000182866,ENSG00000198851,ENSG00000213809"	4.36846860655422
