"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"lightcoral"	TRUE	0.00216	760	304	33	0.109	0.043	"GO:0006396"	"BP"	6	"RNA processing"	1	"ENSG00000004534,ENSG00000007392,ENSG00000008128,ENSG00000071894,ENSG00000079134,ENSG00000087087,ENSG00000100416,ENSG00000100836,ENSG00000100941,ENSG00000104852,ENSG00000105298,ENSG00000110844,ENSG00000117360,ENSG00000120948,ENSG00000124193,ENSG00000125755,ENSG00000127054,ENSG00000129566,ENSG00000136271,ENSG00000154743,ENSG00000161265,ENSG00000161547,ENSG00000163882,ENSG00000167978,ENSG00000169045,ENSG00000176444,ENSG00000182173,ENSG00000189007,ENSG00000198563,ENSG00000198917,ENSG00000213339,ENSG00000213780,ENSG00000248333"	4.43281480150599
"2"	"lightcoral"	TRUE	0.00133	375	304	22	0.072	0.059	"GO:0008380"	"BP"	6	"RNA splicing"	2	"ENSG00000007392,ENSG00000071894,ENSG00000087087,ENSG00000100836,ENSG00000100941,ENSG00000104852,ENSG00000105298,ENSG00000110844,ENSG00000117360,ENSG00000120948,ENSG00000124193,ENSG00000125755,ENSG00000129566,ENSG00000154743,ENSG00000161265,ENSG00000161547,ENSG00000163882,ENSG00000167978,ENSG00000169045,ENSG00000176444,ENSG00000182173,ENSG00000198563"	5.11921555966708
"3"	"lightcoral"	TRUE	0.00982	391	304	21	0.069	0.054	"GO:0006397"	"BP"	6	"mRNA processing"	2	"ENSG00000007392,ENSG00000008128,ENSG00000071894,ENSG00000079134,ENSG00000087087,ENSG00000100836,ENSG00000100941,ENSG00000104852,ENSG00000105298,ENSG00000110844,ENSG00000117360,ENSG00000124193,ENSG00000125755,ENSG00000161265,ENSG00000161547,ENSG00000163882,ENSG00000167978,ENSG00000169045,ENSG00000198563,ENSG00000213780,ENSG00000248333"	5.10706474188456
"4"	"lightcoral"	TRUE	0.0432	109	304	10	0.033	0.092	"GO:0071427"	"BP"	5	"mRNA-containing ribonucleoprotein complex export from nucleus"	1	"ENSG00000071894,ENSG00000079134,ENSG00000100836,ENSG00000124193,ENSG00000125450,ENSG00000125755,ENSG00000126226,ENSG00000161265,ENSG00000161547,ENSG00000198563"	7.22090771028173
"5"	"lightcoral"	TRUE	0.0432	109	304	10	0.033	0.092	"GO:0006406"	"BP"	5	"mRNA export from nucleus"	1	"ENSG00000071894,ENSG00000079134,ENSG00000100836,ENSG00000124193,ENSG00000125450,ENSG00000125755,ENSG00000126226,ENSG00000161265,ENSG00000161547,ENSG00000198563"	7.22090771028173
"6"	"lightcoral"	TRUE	0.013	4834	304	118	0.388	0.024	"GO:1901360"	"BP"	1	"organic cyclic compound metabolic process"	1	"ENSG00000004534,ENSG00000007392,ENSG00000008128,ENSG00000008838,ENSG00000013573,ENSG00000071894,ENSG00000079134,ENSG00000087087,ENSG00000094631,ENSG00000095752,ENSG00000099821,ENSG00000100038,ENSG00000100197,ENSG00000100416,ENSG00000100429,ENSG00000100836,ENSG00000100941,ENSG00000101442,ENSG00000102125,ENSG00000102878,ENSG00000103168,ENSG00000104365,ENSG00000104852,ENSG00000105298,ENSG00000106462,ENSG00000107404,ENSG00000108465,ENSG00000108590,ENSG00000108773,ENSG00000109063,ENSG00000109685,ENSG00000110844,ENSG00000111364,ENSG00000112679,ENSG00000113108,ENSG00000116809,ENSG00000116830,ENSG00000117360,ENSG00000120948,ENSG00000122515,ENSG00000124193,ENSG00000125450,ENSG00000125755,ENSG00000126215,ENSG00000126226,ENSG00000126456,ENSG00000127054,ENSG00000127586,ENSG00000129071,ENSG00000129351,ENSG00000129566,ENSG00000130758,ENSG00000131748,ENSG00000131778,ENSG00000132207,ENSG00000132781,ENSG00000132793,ENSG00000133895,ENSG00000134905,ENSG00000135473,ENSG00000136271,ENSG00000137411,ENSG00000139540,ENSG00000140398,ENSG00000140521,ENSG00000141956,ENSG00000144524,ENSG00000145217,ENSG00000147174,ENSG00000148308,ENSG00000148362,ENSG00000154743,ENSG00000154832,ENSG00000158773,ENSG00000159322,ENSG00000161010,ENSG00000161265,ENSG00000161547,ENSG00000163882,ENSG00000165684,ENSG00000166508,ENSG00000167604,ENSG00000167792,ENSG00000167967,ENSG00000167978,ENSG00000169045,ENSG00000169131,ENSG00000169727,ENSG00000171163,ENSG00000172890,ENSG00000173638,ENSG00000175054,ENSG00000175931,ENSG00000176444,ENSG00000178028,ENSG00000178338,ENSG00000178971,ENSG00000182173,ENSG00000185000,ENSG00000187607,ENSG00000189007,ENSG00000197774,ENSG00000198276,ENSG00000198563,ENSG00000198917,ENSG00000204231,ENSG00000204304,ENSG00000204305,ENSG00000204348,ENSG00000204351,ENSG00000213339,ENSG00000213398,ENSG00000213780,ENSG00000214941,ENSG00000230797,ENSG00000248333,ENSG00000258366,ENSG00000261052"	2.09634866986716
"7"	"lightcoral"	TRUE	0.00497	4641	304	116	0.382	0.025	"GO:0046483"	"BP"	1	"heterocycle metabolic process"	1	"ENSG00000004534,ENSG00000007392,ENSG00000008128,ENSG00000008838,ENSG00000013573,ENSG00000071894,ENSG00000079134,ENSG00000087087,ENSG00000094631,ENSG00000095752,ENSG00000099821,ENSG00000100038,ENSG00000100197,ENSG00000100416,ENSG00000100429,ENSG00000100836,ENSG00000100941,ENSG00000101442,ENSG00000102125,ENSG00000102878,ENSG00000103168,ENSG00000104365,ENSG00000104852,ENSG00000105298,ENSG00000106462,ENSG00000107404,ENSG00000108465,ENSG00000108590,ENSG00000108773,ENSG00000109063,ENSG00000109685,ENSG00000110844,ENSG00000111364,ENSG00000112679,ENSG00000113108,ENSG00000116809,ENSG00000116830,ENSG00000117360,ENSG00000120948,ENSG00000122515,ENSG00000124193,ENSG00000125450,ENSG00000125755,ENSG00000126215,ENSG00000126226,ENSG00000126456,ENSG00000127054,ENSG00000127586,ENSG00000129071,ENSG00000129351,ENSG00000129566,ENSG00000130758,ENSG00000131778,ENSG00000132207,ENSG00000132781,ENSG00000132793,ENSG00000133895,ENSG00000134905,ENSG00000135473,ENSG00000136271,ENSG00000137411,ENSG00000139540,ENSG00000140398,ENSG00000140521,ENSG00000141956,ENSG00000144524,ENSG00000145217,ENSG00000147174,ENSG00000148308,ENSG00000148362,ENSG00000154743,ENSG00000154832,ENSG00000158773,ENSG00000159322,ENSG00000161010,ENSG00000161265,ENSG00000161547,ENSG00000163882,ENSG00000165684,ENSG00000166508,ENSG00000167604,ENSG00000167792,ENSG00000167967,ENSG00000167978,ENSG00000169045,ENSG00000169131,ENSG00000169727,ENSG00000171163,ENSG00000172890,ENSG00000173638,ENSG00000175054,ENSG00000175931,ENSG00000176444,ENSG00000178028,ENSG00000178338,ENSG00000178971,ENSG00000182173,ENSG00000185000,ENSG00000187607,ENSG00000189007,ENSG00000197774,ENSG00000198276,ENSG00000198563,ENSG00000198917,ENSG00000204231,ENSG00000204304,ENSG00000204305,ENSG00000204348,ENSG00000204351,ENSG00000213339,ENSG00000213780,ENSG00000214941,ENSG00000230797,ENSG00000248333,ENSG00000258366,ENSG00000261052"	2.14161737953607
"8"	"lightcoral"	TRUE	0.00352	4663	304	117	0.385	0.025	"GO:0006725"	"BP"	1	"cellular aromatic compound metabolic process"	1	"ENSG00000004534,ENSG00000007392,ENSG00000008128,ENSG00000008838,ENSG00000013573,ENSG00000071894,ENSG00000079134,ENSG00000087087,ENSG00000094631,ENSG00000095752,ENSG00000099821,ENSG00000100038,ENSG00000100197,ENSG00000100416,ENSG00000100429,ENSG00000100836,ENSG00000100941,ENSG00000101442,ENSG00000102125,ENSG00000102878,ENSG00000103168,ENSG00000104365,ENSG00000104852,ENSG00000105298,ENSG00000105854,ENSG00000106462,ENSG00000107404,ENSG00000108465,ENSG00000108590,ENSG00000108773,ENSG00000109063,ENSG00000109685,ENSG00000110844,ENSG00000111364,ENSG00000112679,ENSG00000113108,ENSG00000116809,ENSG00000116830,ENSG00000117360,ENSG00000120948,ENSG00000122515,ENSG00000124193,ENSG00000125450,ENSG00000125755,ENSG00000126215,ENSG00000126226,ENSG00000126456,ENSG00000127054,ENSG00000127586,ENSG00000129071,ENSG00000129351,ENSG00000129566,ENSG00000130758,ENSG00000131778,ENSG00000132207,ENSG00000132781,ENSG00000132793,ENSG00000133895,ENSG00000134905,ENSG00000135473,ENSG00000136271,ENSG00000137411,ENSG00000139540,ENSG00000140398,ENSG00000140521,ENSG00000141956,ENSG00000144524,ENSG00000145217,ENSG00000147174,ENSG00000148308,ENSG00000148362,ENSG00000154743,ENSG00000154832,ENSG00000158773,ENSG00000159322,ENSG00000161010,ENSG00000161265,ENSG00000161547,ENSG00000163882,ENSG00000165684,ENSG00000166508,ENSG00000167604,ENSG00000167792,ENSG00000167967,ENSG00000167978,ENSG00000169045,ENSG00000169131,ENSG00000169727,ENSG00000171163,ENSG00000172890,ENSG00000173638,ENSG00000175054,ENSG00000175931,ENSG00000176444,ENSG00000178028,ENSG00000178338,ENSG00000178971,ENSG00000182173,ENSG00000185000,ENSG00000187607,ENSG00000189007,ENSG00000197774,ENSG00000198276,ENSG00000198563,ENSG00000198917,ENSG00000204231,ENSG00000204304,ENSG00000204305,ENSG00000204348,ENSG00000204351,ENSG00000213339,ENSG00000213780,ENSG00000214941,ENSG00000230797,ENSG00000248333,ENSG00000258366,ENSG00000261052"	2.13621682635607
"9"	"lightcoral"	TRUE	0.00166	5123	304	127	0.418	0.025	"GO:0034641"	"BP"	1	"cellular nitrogen compound metabolic process"	1	"ENSG00000004534,ENSG00000007392,ENSG00000008128,ENSG00000008838,ENSG00000013573,ENSG00000064687,ENSG00000070669,ENSG00000071894,ENSG00000075151,ENSG00000079134,ENSG00000087087,ENSG00000094631,ENSG00000095752,ENSG00000099821,ENSG00000100038,ENSG00000100197,ENSG00000100416,ENSG00000100429,ENSG00000100836,ENSG00000100941,ENSG00000101442,ENSG00000102125,ENSG00000102878,ENSG00000103168,ENSG00000104365,ENSG00000104852,ENSG00000105298,ENSG00000106462,ENSG00000107404,ENSG00000108465,ENSG00000108590,ENSG00000108773,ENSG00000109063,ENSG00000109685,ENSG00000110844,ENSG00000111364,ENSG00000112679,ENSG00000113108,ENSG00000115687,ENSG00000116809,ENSG00000116830,ENSG00000117360,ENSG00000120948,ENSG00000122515,ENSG00000124193,ENSG00000125450,ENSG00000125755,ENSG00000126215,ENSG00000126226,ENSG00000126456,ENSG00000126602,ENSG00000127054,ENSG00000127586,ENSG00000129071,ENSG00000129351,ENSG00000129566,ENSG00000130758,ENSG00000131778,ENSG00000132207,ENSG00000132300,ENSG00000132781,ENSG00000132793,ENSG00000133895,ENSG00000134905,ENSG00000135473,ENSG00000136271,ENSG00000137411,ENSG00000139540,ENSG00000140398,ENSG00000140521,ENSG00000141956,ENSG00000144524,ENSG00000145191,ENSG00000145217,ENSG00000147174,ENSG00000148120,ENSG00000148308,ENSG00000148362,ENSG00000148399,ENSG00000154743,ENSG00000154832,ENSG00000158773,ENSG00000159322,ENSG00000161010,ENSG00000161265,ENSG00000161547,ENSG00000163882,ENSG00000165684,ENSG00000166508,ENSG00000167604,ENSG00000167792,ENSG00000167967,ENSG00000167978,ENSG00000169045,ENSG00000169131,ENSG00000169727,ENSG00000171163,ENSG00000172890,ENSG00000173638,ENSG00000175054,ENSG00000175931,ENSG00000176444,ENSG00000178028,ENSG00000178338,ENSG00000178971,ENSG00000180098,ENSG00000182154,ENSG00000182173,ENSG00000185000,ENSG00000187607,ENSG00000189007,ENSG00000197774,ENSG00000198276,ENSG00000198563,ENSG00000198917,ENSG00000204231,ENSG00000204304,ENSG00000204305,ENSG00000204348,ENSG00000204351,ENSG00000213339,ENSG00000213780,ENSG00000214941,ENSG00000230797,ENSG00000248333,ENSG00000258366,ENSG00000261052"	2.0095653577481
"10"	"lightcoral"	TRUE	0.00333	4502	304	114	0.375	0.025	"GO:0006139"	"BP"	1	"nucleobase-containing compound metabolic process"	1	"ENSG00000004534,ENSG00000007392,ENSG00000008128,ENSG00000008838,ENSG00000013573,ENSG00000071894,ENSG00000079134,ENSG00000087087,ENSG00000094631,ENSG00000095752,ENSG00000099821,ENSG00000100038,ENSG00000100416,ENSG00000100429,ENSG00000100836,ENSG00000100941,ENSG00000101442,ENSG00000102125,ENSG00000102878,ENSG00000103168,ENSG00000104365,ENSG00000104852,ENSG00000105298,ENSG00000106462,ENSG00000107404,ENSG00000108465,ENSG00000108590,ENSG00000108773,ENSG00000109063,ENSG00000109685,ENSG00000110844,ENSG00000111364,ENSG00000112679,ENSG00000113108,ENSG00000116809,ENSG00000116830,ENSG00000117360,ENSG00000120948,ENSG00000122515,ENSG00000124193,ENSG00000125450,ENSG00000125755,ENSG00000126215,ENSG00000126226,ENSG00000126456,ENSG00000127054,ENSG00000127586,ENSG00000129071,ENSG00000129351,ENSG00000129566,ENSG00000130758,ENSG00000131778,ENSG00000132207,ENSG00000132781,ENSG00000132793,ENSG00000133895,ENSG00000134905,ENSG00000135473,ENSG00000136271,ENSG00000137411,ENSG00000139540,ENSG00000140398,ENSG00000140521,ENSG00000141956,ENSG00000144524,ENSG00000145217,ENSG00000147174,ENSG00000148308,ENSG00000148362,ENSG00000154743,ENSG00000154832,ENSG00000158773,ENSG00000159322,ENSG00000161010,ENSG00000161265,ENSG00000161547,ENSG00000163882,ENSG00000165684,ENSG00000166508,ENSG00000167604,ENSG00000167792,ENSG00000167967,ENSG00000167978,ENSG00000169045,ENSG00000169131,ENSG00000169727,ENSG00000171163,ENSG00000172890,ENSG00000175054,ENSG00000175931,ENSG00000176444,ENSG00000178028,ENSG00000178338,ENSG00000178971,ENSG00000182173,ENSG00000185000,ENSG00000187607,ENSG00000189007,ENSG00000197774,ENSG00000198276,ENSG00000198563,ENSG00000198917,ENSG00000204231,ENSG00000204304,ENSG00000204305,ENSG00000204348,ENSG00000204351,ENSG00000213339,ENSG00000213780,ENSG00000214941,ENSG00000230797,ENSG00000248333,ENSG00000258366,ENSG00000261052"	2.1681073240248
