"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"plum1"	TRUE	0.018	53	162	6	0.037	0.113	"GO:0017158"	"BP"	1	"regulation of calcium ion-dependent exocytosis"	1	"ENSG00000103528,ENSG00000142765,ENSG00000149043,ENSG00000165125,ENSG00000196557,ENSG00000198722"	7.8748341776884
"2"	"coral1"	TRUE	0.0169	7540	201	116	0.577	0.015	"GO:0043170"	"BP"	3	"macromolecule metabolic process"	1	"ENSG00000025156,ENSG00000047188,ENSG00000055483,ENSG00000061936,ENSG00000067365,ENSG00000068305,ENSG00000069696,ENSG00000073417,ENSG00000078043,ENSG00000079432,ENSG00000080345,ENSG00000085465,ENSG00000086848,ENSG00000090905,ENSG00000094916,ENSG00000095564,ENSG00000100077,ENSG00000100312,ENSG00000100564,ENSG00000100697,ENSG00000101391,ENSG00000101493,ENSG00000101557,ENSG00000102312,ENSG00000103269,ENSG00000105146,ENSG00000105722,ENSG00000107959,ENSG00000108557,ENSG00000108924,ENSG00000109111,ENSG00000109606,ENSG00000109686,ENSG00000110944,ENSG00000111300,ENSG00000111581,ENSG00000111605,ENSG00000111670,ENSG00000112159,ENSG00000112941,ENSG00000113569,ENSG00000113649,ENSG00000114857,ENSG00000114933,ENSG00000115368,ENSG00000116560,ENSG00000116754,ENSG00000117335,ENSG00000119231,ENSG00000119707,ENSG00000120314,ENSG00000121671,ENSG00000124602,ENSG00000129197,ENSG00000129351,ENSG00000131876,ENSG00000132326,ENSG00000132334,ENSG00000135541,ENSG00000137409,ENSG00000138668,ENSG00000139842,ENSG00000140829,ENSG00000142623,ENSG00000143190,ENSG00000143569,ENSG00000144028,ENSG00000145495,ENSG00000146963,ENSG00000147133,ENSG00000147140,ENSG00000147231,ENSG00000149187,ENSG00000152454,ENSG00000155463,ENSG00000158321,ENSG00000160917,ENSG00000161202,ENSG00000162402,ENSG00000162601,ENSG00000162664,ENSG00000163877,ENSG00000164663,ENSG00000165288,ENSG00000165392,ENSG00000169967,ENSG00000171824,ENSG00000172232,ENSG00000173273,ENSG00000173575,ENSG00000174606,ENSG00000175548,ENSG00000180182,ENSG00000181222,ENSG00000181523,ENSG00000181827,ENSG00000185163,ENSG00000185245,ENSG00000186174,ENSG00000186652,ENSG00000187742,ENSG00000196235,ENSG00000196313,ENSG00000196396,ENSG00000197181,ENSG00000198231,ENSG00000198517,ENSG00000198742,ENSG00000198815,ENSG00000199038,ENSG00000204599,ENSG00000213782,ENSG00000239388,ENSG00000241484,ENSG00000242689,ENSG00000256087"	1.48452897992254
"3"	"coral1"	TRUE	0.0314	3953	201	71	0.353	0.018	"GO:0090304"	"BP"	3	"nucleic acid metabolic process"	2	"ENSG00000025156,ENSG00000047188,ENSG00000055483,ENSG00000061936,ENSG00000068305,ENSG00000078043,ENSG00000079432,ENSG00000080345,ENSG00000094916,ENSG00000095564,ENSG00000100697,ENSG00000101493,ENSG00000105722,ENSG00000108557,ENSG00000108924,ENSG00000109111,ENSG00000109606,ENSG00000111581,ENSG00000111605,ENSG00000112159,ENSG00000112941,ENSG00000113649,ENSG00000115368,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000120314,ENSG00000121671,ENSG00000129197,ENSG00000129351,ENSG00000131876,ENSG00000132326,ENSG00000135541,ENSG00000138668,ENSG00000139842,ENSG00000140829,ENSG00000143190,ENSG00000144028,ENSG00000146963,ENSG00000147133,ENSG00000147140,ENSG00000147231,ENSG00000149187,ENSG00000152454,ENSG00000158321,ENSG00000160917,ENSG00000161202,ENSG00000162601,ENSG00000162664,ENSG00000163877,ENSG00000164663,ENSG00000165288,ENSG00000165392,ENSG00000169967,ENSG00000171824,ENSG00000173273,ENSG00000173575,ENSG00000174606,ENSG00000180182,ENSG00000181222,ENSG00000181827,ENSG00000185163,ENSG00000186174,ENSG00000196235,ENSG00000197181,ENSG00000198231,ENSG00000198517,ENSG00000198742,ENSG00000198815,ENSG00000213782,ENSG00000256087"	2.2717223785017
"4"	"coral1"	TRUE	0.0135	3491	201	66	0.328	0.019	"GO:0016070"	"BP"	3	"RNA metabolic process"	3	"ENSG00000025156,ENSG00000047188,ENSG00000055483,ENSG00000061936,ENSG00000068305,ENSG00000078043,ENSG00000079432,ENSG00000080345,ENSG00000094916,ENSG00000095564,ENSG00000100697,ENSG00000101493,ENSG00000105722,ENSG00000108557,ENSG00000108924,ENSG00000109111,ENSG00000109606,ENSG00000111581,ENSG00000111605,ENSG00000112159,ENSG00000113649,ENSG00000115368,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000120314,ENSG00000121671,ENSG00000129351,ENSG00000131876,ENSG00000132326,ENSG00000135541,ENSG00000138668,ENSG00000140829,ENSG00000143190,ENSG00000144028,ENSG00000146963,ENSG00000147133,ENSG00000147140,ENSG00000149187,ENSG00000152454,ENSG00000158321,ENSG00000160917,ENSG00000161202,ENSG00000162601,ENSG00000162664,ENSG00000163877,ENSG00000164663,ENSG00000165288,ENSG00000169967,ENSG00000171824,ENSG00000173273,ENSG00000173575,ENSG00000174606,ENSG00000180182,ENSG00000181222,ENSG00000181827,ENSG00000185163,ENSG00000186174,ENSG00000196235,ENSG00000197181,ENSG00000198231,ENSG00000198517,ENSG00000198742,ENSG00000198815,ENSG00000213782,ENSG00000256087"	2.46190117957877
"5"	"coral1"	TRUE	0.0138	4319	201	77	0.383	0.018	"GO:0010467"	"BP"	3	"gene expression"	2	"ENSG00000025156,ENSG00000047188,ENSG00000055483,ENSG00000061936,ENSG00000068305,ENSG00000078043,ENSG00000079432,ENSG00000080345,ENSG00000090905,ENSG00000094916,ENSG00000095564,ENSG00000100697,ENSG00000101493,ENSG00000103269,ENSG00000105722,ENSG00000108557,ENSG00000108924,ENSG00000109111,ENSG00000109606,ENSG00000111300,ENSG00000111581,ENSG00000111605,ENSG00000112159,ENSG00000113569,ENSG00000113649,ENSG00000115368,ENSG00000116560,ENSG00000116754,ENSG00000117335,ENSG00000119707,ENSG00000120314,ENSG00000121671,ENSG00000129351,ENSG00000131876,ENSG00000132326,ENSG00000135541,ENSG00000138668,ENSG00000140829,ENSG00000143190,ENSG00000143569,ENSG00000144028,ENSG00000146963,ENSG00000147133,ENSG00000147140,ENSG00000149187,ENSG00000152454,ENSG00000155463,ENSG00000158321,ENSG00000160917,ENSG00000161202,ENSG00000162601,ENSG00000162664,ENSG00000163877,ENSG00000164663,ENSG00000165288,ENSG00000169967,ENSG00000171824,ENSG00000172232,ENSG00000173273,ENSG00000173575,ENSG00000174606,ENSG00000180182,ENSG00000181222,ENSG00000181827,ENSG00000186174,ENSG00000187742,ENSG00000196235,ENSG00000196313,ENSG00000197181,ENSG00000198231,ENSG00000198517,ENSG00000198742,ENSG00000198815,ENSG00000199038,ENSG00000213782,ENSG00000242689,ENSG00000256087"	2.23716411165379
"6"	"coral1"	TRUE	5.06e-06	760	201	30	0.149	0.039	"GO:0006396"	"BP"	3	"RNA processing"	3	"ENSG00000047188,ENSG00000055483,ENSG00000061936,ENSG00000100697,ENSG00000109111,ENSG00000109606,ENSG00000111605,ENSG00000112159,ENSG00000115368,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000120314,ENSG00000131876,ENSG00000138668,ENSG00000140829,ENSG00000144028,ENSG00000146963,ENSG00000147140,ENSG00000149187,ENSG00000160917,ENSG00000162664,ENSG00000163877,ENSG00000164663,ENSG00000171824,ENSG00000181222,ENSG00000196235,ENSG00000197181,ENSG00000198231,ENSG00000213782"	4.43281480150599
"7"	"coral1"	TRUE	0.000636	375	201	18	0.09	0.048	"GO:0008380"	"BP"	3	"RNA splicing"	4	"ENSG00000061936,ENSG00000109606,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000131876,ENSG00000138668,ENSG00000140829,ENSG00000144028,ENSG00000146963,ENSG00000147140,ENSG00000149187,ENSG00000160917,ENSG00000162664,ENSG00000164663,ENSG00000181222,ENSG00000198231,ENSG00000213782"	5.11921555966708
"8"	"coral1"	TRUE	0.00115	310	201	16	0.08	0.052	"GO:0000375"	"BP"	3	"RNA splicing, via transesterification reactions"	5	"ENSG00000061936,ENSG00000109606,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000131876,ENSG00000138668,ENSG00000140829,ENSG00000144028,ENSG00000146963,ENSG00000147140,ENSG00000149187,ENSG00000160917,ENSG00000164663,ENSG00000181222,ENSG00000198231"	5.57610265401034
"9"	"coral1"	TRUE	0.00101	307	201	16	0.08	0.052	"GO:0000377"	"BP"	3	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	6	"ENSG00000061936,ENSG00000109606,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000131876,ENSG00000138668,ENSG00000140829,ENSG00000144028,ENSG00000146963,ENSG00000147140,ENSG00000149187,ENSG00000160917,ENSG00000164663,ENSG00000181222,ENSG00000198231"	5.62556872222713
"10"	"coral1"	TRUE	0.000241	391	201	19	0.095	0.049	"GO:0006397"	"BP"	3	"mRNA processing"	4	"ENSG00000061936,ENSG00000109111,ENSG00000109606,ENSG00000111605,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000131876,ENSG00000138668,ENSG00000140829,ENSG00000144028,ENSG00000146963,ENSG00000147140,ENSG00000149187,ENSG00000160917,ENSG00000164663,ENSG00000181222,ENSG00000196235,ENSG00000198231"	5.10706474188456
