"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"green"	TRUE	0.0424	30	174	5	0.029	0.167	"REAC:R-HSA-73863"	"rea"	3	"RNA Polymerase I Transcription Termination"	1	"ENSG00000066379,ENSG00000099817,ENSG00000100142,ENSG00000104884,ENSG00000163882"	NA
"2"	"green"	TRUE	0.00421	32	174	6	0.034	0.188	"REAC:R-HSA-113418"	"rea"	4	"Formation of the Early Elongation Complex"	1	"ENSG00000099817,ENSG00000100142,ENSG00000104884,ENSG00000163882,ENSG00000188986,ENSG00000204356"	NA
"3"	"green"	TRUE	0.0407	47	174	6	0.034	0.128	"REAC:R-HSA-167152"	"rea"	1	"Formation of HIV elongation complex in the absence of HIV Tat"	1	"ENSG00000099817,ENSG00000100142,ENSG00000104884,ENSG00000163882,ENSG00000188986,ENSG00000204356"	NA
"4"	"green"	TRUE	0.0358	29	174	5	0.029	0.172	"REAC:R-HSA-73772"	"rea"	5	"RNA Polymerase I Promoter Escape"	1	"ENSG00000066379,ENSG00000099817,ENSG00000100142,ENSG00000104884,ENSG00000163882"	NA
"5"	"green"	TRUE	0.0317	45	174	6	0.034	0.133	"REAC:R-HSA-167169"	"rea"	2	"HIV Transcription Elongation"	1	"ENSG00000099817,ENSG00000100142,ENSG00000104884,ENSG00000163882,ENSG00000188986,ENSG00000204356"	NA
"6"	"green"	TRUE	0.00421	32	174	6	0.034	0.188	"REAC:R-HSA-167158"	"rea"	2	"Formation of the HIV-1 Early Elongation Complex"	2	"ENSG00000099817,ENSG00000100142,ENSG00000104884,ENSG00000163882,ENSG00000188986,ENSG00000204356"	NA
"7"	"green"	TRUE	0.0317	45	174	6	0.034	0.133	"REAC:R-HSA-167246"	"rea"	2	"Tat-mediated elongation of the HIV-1 transcript"	2	"ENSG00000099817,ENSG00000100142,ENSG00000104884,ENSG00000163882,ENSG00000188986,ENSG00000204356"	NA
"8"	"green"	TRUE	0.0317	45	174	6	0.034	0.133	"REAC:R-HSA-167200"	"rea"	2	"Formation of HIV-1 elongation complex containing HIV-1 Tat"	3	"ENSG00000099817,ENSG00000100142,ENSG00000104884,ENSG00000163882,ENSG00000188986,ENSG00000204356"	NA
"9"	"green"	TRUE	0.00871	22	174	5	0.029	0.227	"REAC:R-HSA-167242"	"rea"	2	"Abortive elongation of HIV-1 transcript in the absence of Tat"	2	"ENSG00000099817,ENSG00000100142,ENSG00000163882,ENSG00000188986,ENSG00000204356"	NA
"10"	"darkolivegreen"	TRUE	0.00812	4569	201	81	0.403	0.018	"GO:0071944"	"CC"	1	"cell periphery"	1	"ENSG00000018280,ENSG00000023839,ENSG00000064547,ENSG00000073150,ENSG00000074276,ENSG00000078053,ENSG00000088833,ENSG00000089639,ENSG00000091262,ENSG00000093134,ENSG00000096063,ENSG00000101265,ENSG00000103154,ENSG00000105520,ENSG00000108932,ENSG00000109667,ENSG00000110628,ENSG00000111052,ENSG00000111886,ENSG00000113303,ENSG00000115594,ENSG00000115598,ENSG00000115607,ENSG00000117834,ENSG00000119888,ENSG00000123643,ENSG00000123700,ENSG00000123838,ENSG00000126861,ENSG00000128011,ENSG00000130167,ENSG00000131389,ENSG00000131480,ENSG00000132259,ENSG00000132359,ENSG00000135519,ENSG00000137261,ENSG00000137462,ENSG00000137642,ENSG00000141096,ENSG00000143595,ENSG00000144671,ENSG00000146094,ENSG00000148660,ENSG00000150681,ENSG00000151651,ENSG00000156052,ENSG00000160781,ENSG00000161533,ENSG00000163357,ENSG00000165125,ENSG00000165682,ENSG00000165917,ENSG00000166900,ENSG00000167676,ENSG00000167995,ENSG00000169180,ENSG00000170190,ENSG00000171777,ENSG00000172243,ENSG00000172322,ENSG00000175003,ENSG00000179921,ENSG00000181631,ENSG00000182600,ENSG00000184611,ENSG00000185215,ENSG00000187554,ENSG00000188037,ENSG00000188056,ENSG00000188559,ENSG00000188906,ENSG00000196338,ENSG00000197321,ENSG00000198216,ENSG00000198223,ENSG00000204421,ENSG00000204428,ENSG00000213937,ENSG00000221937,ENSG00000256660"	2.07779832322015
