"Number.of.Genes"	"Total.Samples"	"Samples.used"	"Total.Modules.in.Net"	"betas"	"Total.unique.terms"	"Total.signals"	"X.protein_coding"	"X.antisense"	"X.pseudogene"	"X.ncRNA"	"X.lincRNA"	"X.snoRNA"	"X.snRNA"	"X.other"	"Net"
"AdiposeSub"	20728	523	442	40	22	2741	45	73.091888656091	8.62516212710765	8.69999002294722	0	5.86650703382221	0.414047690312282	0.104759054175397	3.19764541554424	"Yes"
"AdiposeVisceral"	20313	363	355	50	19	2874	50	74.7787160443585	8.08322311527114	8.03235324041103	0	5.45833757248957	0.406958998880863	0.0610438498321294	3.17936717875673	"Yes"
"AdrenalGland"	20025	205	190	27	21	2666	55	74.6492675881989	8.26800082525273	7.86569011759851	0	5.77161130596245	0.361048070971735	0.0773674437796575	3.00701464823602	"Yes"
"ArteryAorta"	20393	315	299	56	14	2583	43	73.7754791603286	8.4474191258493	8.30037521549539	0	5.88682689382416	0.360004056383734	0.0354933576716357	3.19440219044722	"Yes"
"ArteryCoronary"	20495	183	173	62	13	2444	53	74.0511114471496	8.4328847220122	8.09012551035839	0	5.83194717475679	0.37300267150562	0.0352840364937749	3.18564443772367	"Yes"
"ArteryTibial"	19718	543	441	35	14	2374	39	74.8272251308901	8.05759162303665	8.36649214659686	0	5.57591623036649	0.329842931937173	0.0418848167539267	2.80104712041886	"Yes"
"Bladder"	21660	11	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"
"BrainAmygdala"	19804	124	97	46	21	2033	94	77.0775875526877	7.60784721860852	6.12478534630796	0	6.43700889837123	0.218556486444294	0.0572409845449342	2.47697351303533	"Yes"
"BrainAnteriorCingulateCortex"	20273	148	121	23	21	2176	86	76.1175033092353	7.93707361775787	6.31300274921087	0	6.67956419916505	0.224009774971999	0.0865492312391813	2.64229711841971	"Yes"
"BrainCaudateBG"	20358	199	157	27	21	2262	96	75.7439042936077	7.97891215085923	6.5950220509961	0	6.7420286916409	0.243321336239672	0.065899528564911	2.63091194809145	"Yes"
"BrainCerebellarHemisphere"	21860	172	134	46	21	1886	70	70.983816619999	9.03611598879977	9.45849746096531	0	6.72962839922168	0.379668739025201	0.175596791799155	3.23667600018983	"Yes"
"BrainCerebellum"	22514	215	173	48	21	1980	78	69.8958429348327	9.34187482717301	9.98248686514886	0	6.83012259194396	0.391741174301779	0.165913909116048	3.39201769748362	"Yes"
"BrainCortex"	21207	195	158	25	14	2054	81	74.1897753301818	8.32886592913885	7.31029777279595	0	7.01788586188411	0.258297187972123	0.0828500414250207	2.81202787660217	"Yes"
"BrainFrontalCortex"	20975	164	127	26	21	1951	80	74.6329687653956	8.19785200512366	7.0548822544093	0	7.03517587939699	0.231549906394719	0.0837520938023451	2.76381909547737	"Yes"
"BrainHippocampus"	19793	153	123	39	21	1909	95	77.166380073993	7.55041425668282	6.14350476785993	0	6.32067114793393	0.224063363034756	0.0729508623834089	2.52201552811214	"Yes"
"BrainHypothalamus"	20904	155	120	27	21	2164	66	75.1753086419753	8.19259259259259	6.88888888888889	0	6.74567901234568	0.251851851851852	0.0740740740740741	2.6716049382716	"Yes"
"BrainNucleusAccumbensBG"	20644	180	146	28	21	2011	90	75.005005005005	8.17317317317317	6.91191191191191	0	6.88188188188188	0.235235235235235	0.0750750750750751	2.71771771771772	"Yes"
"BrainPutamenBG"	19668	149	123	14	21	2125	65	77.1331236897275	7.52620545073375	6.13731656184486	0	6.39412997903564	0.20440251572327	0.0628930817610063	2.54192872117399	"Yes"
"BrainSpinalCordC1"	20551	113	90	33	21	1921	81	75.0954198473282	7.96002410606669	7.39252711932503	0	6.49859381277622	0.256126958617919	0.060265166733628	2.73704298915227	"Yes"
"BrainSubstantiaNigra"	20006	109	87	32	21	1795	83	76.5491287761625	7.76884214867512	6.39241158882359	0	6.41818744200433	0.237137849262811	0.0721723889060728	2.5621198061656	"Yes"
"BreastMammaryTissue"	20983	306	290	44	21	2654	44	73.041678983151	8.64124544290078	8.69543797418465	0	5.83801359739876	0.403980687752488	0.0936052813085033	3.28603803330378	"Yes"
"CellsEBVTransLym"	18801	149	130	25	9	1796	16	71.5402830552343	8.61831598656314	10.4631312296933	0	5.15997576959084	0.528663472658186	0.203755713420343	3.48587477283992	"Yes"
"CellsTransFibroblast"	18543	362	343	14	10	1704	6	74.4202858255019	8.09653561697158	8.7304676639048	0	5.44959128065395	0.405938942334427	0.0667296891508647	2.83045098148251	"Yes"
"CervixEctocervix"	22072	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"
"CervixEndocervix"	20901	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"
"ColonSigmoid"	20724	254	233	51	16	2594	53	74.1507457474934	8.2905172843817	8.19075173342645	0	5.92607372674216	0.349179428343393	0.0498827754776276	3.04284930413527	"Yes"
"ColonTransverse"	20628	285	274	10	9	2356	41	75.0714321519876	8.03549050077698	7.6946212842749	0	5.25840894280415	0.375958694671412	0.0501278259561883	3.5139605995288	"Yes"
"EsophagusGEJunction"	20402	263	244	53	20	2104	32	74.3463721118768	8.31475476286988	8.13741386299149	0	5.78638021888934	0.35468179975679	0.0456019456830158	3.01479529793271	"Yes"
