"Number.of.Genes"	"Total.Samples"	"Samples.used"	"SMCenter.Batch.corrected"	"SMGEBTCH.Batch.corrected"	"Number.of.Surrogated.Variables"	"Total.Modules.in.Net"	"Plots.PCA"	"Plots.Nets...MDS"	"Net"	"Total.signals"	"Total.unique.terms"	"X.protein_coding"	"X.antisense"	"X.pseudogene"	"X.ncRNA"	"X.lincRNA"	"X.snoRNA"	"X.snRNA"	"X.other"	"Beta"
"Adipose - Subcutaneous"	20728	523	442	"Yes"	"Yes"	17	37	"Yes"	"Yes"	"Yes"	52	2552	73.091888656091	8.62516212710765	8.69999002294722	0	5.86650703382221	0.414047690312282	0.104759054175397	3.19764541554424	11
"Adipose - Visceral (Omentum)"	20313	363	355	"Yes"	"Yes"	7	61	"Yes"	"Yes"	"Yes"	59	2854	74.7787160443585	8.08322311527114	8.03235324041103	0	5.45833757248957	0.406958998880863	0.0610438498321294	3.17936717875673	15
"Adrenal Gland"	20025	205	190	"Yes"	"Yes"	9	43	"Yes"	"Yes"	"Yes"	49	2536	74.6492675881989	8.26800082525273	7.86569011759851	0	5.77161130596245	0.361048070971735	0.0773674437796575	3.00701464823602	12
"Artery - Aorta"	20393	315	299	"Yes"	"Yes"	12	90	"Yes"	"Yes"	"Yes"	51	2660	73.7754791603286	8.4474191258493	8.30037521549539	0	5.88682689382416	0.360004056383734	0.0354933576716357	3.19440219044722	14
"Artery - Coronary"	20495	183	173	"Yes"	"Yes"	10	57	"Yes"	"Yes"	"Yes"	53	2443	74.0511114471496	8.4328847220122	8.09012551035839	0	5.83194717475679	0.37300267150562	0.0352840364937749	3.18564443772367	11
"Artery - Tibial"	19718	543	441	"Yes"	"Yes"	15	41	"Yes"	"Yes"	"Yes"	39	2490	74.8272251308901	8.05759162303665	8.36649214659686	0	5.57591623036649	0.329842931937173	0.0418848167539267	2.80104712041886	12
"Bladder"	21660	11	11	"No"	"No"	0	0	"No"	"No"	"No"	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0
"Brain - Amygdala"	19804	124	97	"Yes"	"Yes"	7	86	"Yes"	"Yes"	"Yes"	72	1530	77.0775875526877	7.60784721860852	6.12478534630796	0	6.43700889837123	0.218556486444294	0.0572409845449342	2.47697351303533	18
"Brain - Anterior cingulate cortex (BA24)"	20273	148	121	"Yes"	"Yes"	8	54	"Yes"	"Yes"	"Yes"	90	1637	76.1175033092353	7.93707361775787	6.31300274921087	0	6.67956419916505	0.224009774971999	0.0865492312391813	2.64229711841971	24
"Brain - Caudate (basal ganglia)"	20358	199	157	"Yes"	"Yes"	9	21	"Yes"	"Yes"	"Yes"	57	1751	75.7439042936077	7.97891215085923	6.5950220509961	0	6.7420286916409	0.243321336239672	0.065899528564911	2.63091194809145	21
