"Total signals"	"Cell type"
"midnightblue"	0	""
"tan"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"darkred"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"mediumpurple3"	0	""
"blue"	0	""
"cyan"	2	" Cortex_Oligo_Neuroexpresso Oligodendrocyte"
"darkorange"	2	" Cytotoxiccells Tcells"
"sienna3"	0	""
"salmon"	0	""
"lightcyan1"	0	""
"royalblue"	3	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkgreen"	0	""
"black"	0	""
"darkturquoise"	0	""
"purple"	0	""
"brown"	0	""
"lightyellow"	0	""
"skyblue"	0	""
"skyblue3"	5	" Cerebellum_Bergmann_Neuroexpresso Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Mural"
"orange"	0	""
"grey60"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkolivegreen"	2	" Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"pink"	0	""
"saddlebrown"	1	" Ependymal"
"lightcyan"	2	" Dopaminergic_Neuron Dopaminergic"
"darkmagenta"	0	""
"magenta"	1	" Astrocyte"
"darkgrey"	0	""
"orangered4"	0	""
"greenyellow"	0	""
"paleturquoise"	0	""
"lightsteelblue1"	0	""
"plum1"	1	" Astrocyte"
"yellowgreen"	0	""
"violet"	0	""
"white"	8	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia"
"lightgreen"	1	" DARMANIS_FETAL1"
