"Total signals"	"Cell type"
"turquoise"	0	""
"greenyellow"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"orange"	0	""
"lightyellow"	0	""
"ivory"	0	""
"lightcyan1"	3	" Cortex_Endothelial_Neuroexpresso Endothelial Hippocampus_MicrogliaDeactivation_Neuroexpresso"
"magenta"	8	" Bcells Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia Tcells Tfh"
"lightcyan"	1	" Astrocyte"
"salmon"	1	" Astrocyte"
"pink"	0	""
"navajowhite2"	0	""
"skyblue"	0	""
"brown"	0	""
"palevioletred3"	1	" Oligodendrocyte"
"skyblue3"	0	""
"orangered4"	0	""
"red"	0	""
"lightpink4"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"royalblue"	1	" Mural"
"darkmagenta"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkred"	1	" Ependymal"
"tan"	0	""
"plum1"	0	""
"paleturquoise"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"antiquewhite4"	2	" Cytotoxiccells Tcells"
"darkturquoise"	0	""
"darkgreen"	0	""
"plum2"	0	""
"green"	0	""
"cyan"	0	""
"salmon4"	0	""
"bisque4"	0	""
"purple"	2	" Dopaminergic_Neuron Dopaminergic"
"thistle1"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"thistle2"	0	""
"lightgreen"	0	""
"midnightblue"	0	""
"mediumpurple3"	0	""
"floralwhite"	0	""
"coral1"	0	""
"steelblue"	0	""
"blue"	0	""
"darkgrey"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"grey60"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"black"	0	""
"darkslateblue"	0	""
"maroon"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkseagreen4"	0	""
"darkolivegreen"	0	""
"violet"	0	""
"yellowgreen"	1	" Mastcells"
"brown4"	0	""
"lightsteelblue1"	0	""
"yellow"	0	""
"darkorange2"	0	""
"saddlebrown"	0	""
"honeydew1"	0	""
"darkorange"	1	" DARMANIS_FETAL1"
"mediumorchid"	0	""
"coral2"	0	""
"lavenderblush3"	0	""
