"Total signals"	"Cell type"
"red"	0	""
"darkmagenta"	0	""
"royalblue"	0	""
"grey60"	0	""
"green"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"pink"	0	""
"paleturquoise"	4	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Microglia"
"brown"	0	""
"yellowgreen"	0	""
"plum1"	1	" Bcells"
"skyblue"	0	""
"cyan"	0	""
"darkred"	0	""
"magenta"	5	" Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic Interneuron Neuron_Interneuton"
"purple"	0	""
"tan"	0	""
"darkolivegreen"	0	""
"lightyellow"	0	""
"orange"	1	" Oligodendrocyte"
"lightgreen"	5	" Astrocyte Cerebellum_Bergmann_Neuroexpresso Endothelial Hippocampus_Oligo_Neuroexpresso Mural"
"darkgrey"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"violet"	0	""
"floralwhite"	0	""
"darkgreen"	0	""
"steelblue"	2	" Dopaminergic_Neuron Dopaminergic"
"white"	2	" Astrocyte Mural"
"salmon"	2	" Interneuron Neuron_Interneuton"
"black"	0	""
"turquoise"	0	""
"midnightblue"	1	" Endothelial"
"yellow"	0	""
"ivory"	0	""
"orangered4"	1	" Mastcells"
"greenyellow"	1	" DARMANIS_FETAL1"
"lightcyan"	0	""
"lightcyan1"	0	""
"darkorange"	0	""
"blue"	0	""
"skyblue3"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"lightsteelblue1"	0	""
"saddlebrown"	5	" Cortex_Endothelial_Neuroexpresso Endothelial Ex2 Ex5 Mural"
"mediumpurple3"	0	""
"sienna3"	2	" Cytotoxiccells Tcells"
