"Total signals"	"Cell type"
"darkslateblue"	0	""
"honeydew1"	0	""
"turquoise"	0	""
"lavenderblush3"	0	""
"darkturquoise"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"violet"	4	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Neutrophils"
"darkgrey"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"pink"	2	" Dopaminergic_Neuron Dopaminergic"
"plum2"	0	""
"ivory"	0	""
"greenyellow"	1	" Astrocyte"
"plum1"	0	""
"brown4"	0	""
"cyan"	0	""
"darkred"	0	""
"darkorange2"	0	""
"green"	0	""
"tan"	2	" Interneuron Neuron_Interneuton"
"blue"	0	""
"orangered4"	0	""
"thistle1"	0	""
"lightgreen"	0	""
"maroon"	0	""
"purple"	4	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"white"	0	""
"orange"	1	" DARMANIS_FETAL1"
"magenta"	3	" Bcells Cytotoxiccells Tcells"
"lightcyan"	0	""
"darkgreen"	0	""
"thistle2"	0	""
"bisque4"	0	""
"skyblue3"	0	""
"mediumpurple3"	0	""
"midnightblue"	0	""
"grey60"	0	""
"floralwhite"	0	""
"darkorange"	0	""
"yellow"	0	""
"saddlebrown"	1	" Ependymal"
"darkmagenta"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkolivegreen"	0	""
"sienna3"	1	" Mural"
"royalblue"	0	""
"navajowhite2"	0	""
"paleturquoise"	0	""
"lightcyan1"	0	""
"salmon"	0	""
"lightsteelblue1"	2	" DAMANIS_MICROGLIA Microglia"
"brown"	0	""
"steelblue"	1	" Endothelial"
"black"	0	""
"yellowgreen"	0	""
"palevioletred3"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"salmon4"	5	" Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"lightpink4"	1	" Mural"
"lightyellow"	0	""
"red"	0	""
