"Total signals"	"Cell type"
"tan"	0	""
"navajowhite2"	0	""
"purple"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"darkseagreen4"	0	""
"darkseagreen3"	0	""
"salmon4"	0	""
"coral2"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"cyan"	0	""
"lavenderblush3"	0	""
"lightyellow"	0	""
"darkgreen"	0	""
"white"	0	""
"coral1"	0	""
"saddlebrown"	0	""
"thistle1"	0	""
"darkturquoise"	0	""
"mediumorchid"	2	" Interneuron Neuron_Interneuton"
"lightcyan"	0	""
"grey60"	0	""
"magenta"	7	" Cortex_GabaVIPReln_Neuroexpresso GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso In6 Interneuron Neuroexpresso_CortexD_GabaVIPReln Neuron_Interneuton"
"honeydew1"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"yellow"	0	""
"darkolivegreen"	0	""
"lightgreen"	0	""
"mediumpurple3"	6	" Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"darkorange"	0	""
"darkorange2"	0	""
"darkslateblue"	0	""
"royalblue"	0	""
"paleturquoise"	0	""
"indianred4"	0	""
"coral3"	2	" Dopaminergic_Neuron_SN Dopaminergic"
"brown2"	0	""
"darkolivegreen4"	5	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"lightsteelblue1"	0	""
"ivory"	0	""
"black"	0	""
"honeydew"	0	""
"coral"	0	""
"plum3"	0	""
"turquoise"	1	" Ependymal"
"thistle2"	1	" Ependymal"
"antiquewhite2"	0	""
"midnightblue"	4	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Oligodendrocyte"
"lightpink3"	0	""
"darkgrey"	0	""
"firebrick4"	2	" Interneuron Neuron_Interneuton"
"lightcoral"	0	""
"thistle"	0	""
"darkmagenta"	2	" Interneuron Neuron_Interneuton"
"lightsteelblue"	0	""
"blue"	0	""
"yellow4"	0	""
"antiquewhite4"	0	""
"darkviolet"	0	""
"floralwhite"	0	""
"skyblue"	1	" Microglia"
"thistle3"	0	""
"skyblue1"	1	" Astrocyte"
"darkred"	0	""
"maroon"	1	" Tcm"
"orangered4"	0	""
"brown4"	0	""
"greenyellow"	0	""
"plum"	0	""
"brown"	0	""
"skyblue3"	0	""
"mediumpurple2"	0	""
"lightcyan1"	9	" CA1_Pyramidal CA1.Pyramidal Cortex_Pyramidal_Neuroexpresso Neuron_Pyramidal_CA1 Neuron_Pyramidal_S1 Pyramidal_CA1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"navajowhite1"	1	" Microglia"
"orangered3"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"bisque4"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"violet"	1	" Astrocyte"
"steelblue"	1	" DARMANIS_OPCS"
"lavenderblush2"	0	""
"plum2"	0	""
"yellowgreen"	0	""
"blue2"	0	""
"skyblue2"	0	""
"sienna3"	5	" D_NEuronCom4 Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"palevioletred3"	0	""
"pink"	0	""
"lightpink4"	0	""
"orange"	0	""
"salmon2"	0	""
"magenta4"	1	" Mural"
