"Total signals"	"Cell type"
"darkgrey"	6	" Cortex_GabaRelnCalb_Neuroexpresso GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso Interneuron Mural Neuron_Interneuton"
"darkgreen"	0	""
"darkorange"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"lightcyan"	4	" Astrocyte Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"lightyellow"	0	""
"darkturquoise"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"royalblue"	2	" Astrocyte Cerebellum_Bergmann_Neuroexpresso"
"grey"	0	""
"darkred"	0	""
"cyan"	0	""
"green"	0	""
"black"	9	" CA1_Pyramidal CA1.Pyramidal Dopaminergic_Neuron_SN Dopaminergic In2 Interneuron Neuron_Interneuton Neuron_Pyramidal_CA1 Pyramidal_CA1"
"lightgreen"	0	""
"turquoise"	0	""
"blue"	0	""
"orange"	0	""
"white"	5	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso"
"red"	10	" CA1_Pyramidal CA1.Pyramidal Interneuron Neuron_Interneuton Neuron_Pyramidal_CA1 Neuron_Pyramidal_S1 Pyramidal_CA1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"pink"	1	" Ependymal"
"skyblue"	0	""
"midnightblue"	7	" CA1_Pyramidal CA1.Pyramidal Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic Neuron_Pyramidal_CA1 Pyramidal_CA1"
