"Total signals"	"Cell type"
"salmon"	0	""
"green"	0	""
"yellowgreen"	0	""
"blue"	0	""
"cyan"	0	""
"darkorange"	0	""
"darkolivegreen"	0	""
"royalblue"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"darkturquoise"	0	""
"midnightblue"	0	""
"violet"	0	""
"mediumpurple3"	0	""
"sienna3"	4	" Dopaminergic_Neuron_SN Dopaminergic Interneuron Neuron_Interneuton"
"greenyellow"	16	" CA1_Pyramidal CA1.Pyramidal Cerebellum_Basket_Neuroexpresso Dopaminergic_Neuron_SN Dopaminergic Ex1 GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso Interneuron Neuron_Interneuton Neuron_Pyramidal_CA1 Neuron_Pyramidal_S1 Pyramidal_CA1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"white"	0	""
"darkgrey"	5	" Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Mural"
"lightcyan1"	0	""
"steelblue"	0	""
"lightcyan"	5	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Microglia"
"black"	0	""
"darkgreen"	0	""
"tan"	0	""
"skyblue"	0	""
"skyblue3"	0	""
"yellow"	3	" Astrocyte Cerebellum_Bergmann_Neuroexpresso In1"
"brown"	0	""
"orangered4"	0	""
"lightyellow"	5	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"lightgreen"	2	" Cerebellum_Purkinje_Neuroexpresso In5"
"purple"	0	""
"orange"	0	""
"pink"	0	""
"lightsteelblue1"	0	""
"darkmagenta"	0	""
"magenta"	3	" Astrocyte Cerebellum_Bergmann_Neuroexpresso DARMANIS_ASTROCYES"
"saddlebrown"	0	""
"turquoise"	0	""
"darkred"	0	""
"plum1"	0	""
"red"	0	""
