"Total signals"	"Cell type"
"darkturquoise"	0	""
"purple"	13	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA DARMANIS_FETAL1 Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"brown"	0	""
"orange"	0	""
"black"	1	" Ependymal"
"darkmagenta"	0	""
"white"	0	""
"saddlebrown"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"sienna3"	0	""
"darkgreen"	4	" Cerebellum_Bergmann_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"violet"	12	" CA1_Pyramidal CA1.Pyramidal Dopaminergic_Neuron Dopaminergic Interneuron Neuron_Interneuton Neuron_Pyramidal_CA1 Neuron_Pyramidal_S1 Pyramidal_CA1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"blue"	6	" CA1_Pyramidal CA1.Pyramidal Interneuron Neuron_Interneuton Neuron_Pyramidal_CA1 Pyramidal_CA1"
"skyblue"	6	" Cerebellum_Purkinje_Neuroexpresso Ex6 Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"yellowgreen"	3	" Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic"
"steelblue"	0	""
"cyan"	0	""
"darkgrey"	1	" Oligodendrocyte"
"darkolivegreen"	3	" Cerebellum_Purkinje_Neuroexpresso D_NEuronCom4 In1"
"midnightblue"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"salmon"	0	""
"pink"	0	""
"darkred"	3	" Astrocyte Cerebellum_Bergmann_Neuroexpresso DARMANIS_ASTROCYES"
"green"	6	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso Cortex_OligoPrecursors_Neuroexpresso DARMANIS_OLIGO Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"lightcyan"	0	""
"paleturquoise"	1	" Tcells"
"royalblue"	2	" Astrocyte Cerebellum_MicrogliaActivation_Neuroexpresso"
"darkorange"	1	" Oligodendrocyte"
