"Total signals"	"Cell type"
"indianred3"	0	""
"lightcyan"	0	""
"blue2"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"bisque4"	0	""
"white"	0	""
"darkmagenta"	2	" Cortex_Oligo_Neuroexpresso Oligodendrocyte"
"lightgreen"	0	""
"lightpink3"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"plum1"	0	""
"firebrick4"	0	""
"pink4"	0	""
"yellowgreen"	0	""
"thistle"	0	""
"orangered3"	0	""
"cyan"	0	""
"midnightblue"	0	""
"antiquewhite2"	0	""
"orange"	0	""
"pink"	0	""
"salmon"	1	" Cortex_Oligo_Neuroexpresso"
"orangered1"	0	""
"coral3"	0	""
"mediumpurple1"	0	""
"brown"	0	""
"magenta"	5	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso"
"navajowhite2"	0	""
"tan"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"lavenderblush2"	1	" Cerebellum_Bergmann_Neuroexpresso"
"yellow3"	0	""
"darkolivegreen"	0	""
"grey60"	0	""
"darkorange"	0	""
"darkturquoise"	0	""
"navajowhite1"	0	""
"firebrick3"	0	""
"lightcoral"	0	""
"skyblue1"	0	""
"coral2"	0	""
"lightblue4"	0	""
"darkgreen"	0	""
"lightyellow"	1	" DARMANIS_OLIGO"
"thistle2"	0	""
"salmon4"	2	" Interneuron Neuron_Interneuton"
"yellow4"	0	""
"honeydew"	0	""
"lightsteelblue1"	0	""
"lavenderblush3"	0	""
"turquoise"	0	""
"lightpink4"	0	""
"skyblue3"	1	" Astrocyte"
"brown4"	0	""
"greenyellow"	0	""
"saddlebrown"	0	""
"mediumorchid"	1	" Oligodendrocyte"
"mediumpurple3"	2	" Dopaminergic_Neuron Dopaminergic"
"orangered4"	0	""
"green"	3	" Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic"
"darkred"	2	" Interneuron Neuron_Interneuton"
"palevioletred2"	0	""
"plum"	0	""
"paleturquoise"	0	""
"darkolivegreen2"	0	""
"palevioletred3"	0	""
"darkorange2"	0	""
"lightcyan1"	0	""
"thistle3"	0	""
"steelblue"	0	""
"darkslateblue"	0	""
"brown2"	0	""
"mediumpurple4"	7	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"honeydew1"	0	""
"plum3"	1	" DARMANIS_MIXTURENEUOLIGOPC"
"lightsteelblue"	0	""
"magenta4"	0	""
"coral"	0	""
"darkseagreen4"	0	""
"lightslateblue"	0	""
"indianred4"	0	""
"mediumpurple2"	0	""
"purple"	0	""
"antiquewhite4"	0	""
"floralwhite"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkolivegreen4"	0	""
"yellow"	9	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"violet"	0	""
"sienna3"	0	""
"coral1"	0	""
"skyblue4"	0	""
"maroon"	0	""
"plum2"	0	""
"darkviolet"	7	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
