"Total signals"	"Cell type"
"grey60"	0	""
"paleturquoise"	0	""
"darkgrey"	0	""
"pink"	1	" Microglia"
"cyan"	0	""
"yellow"	0	""
"purple"	0	""
"orange"	0	""
"skyblue"	0	""
"darkorange"	0	""
"turquoise"	0	""
"lightyellow"	0	""
"white"	0	""
"black"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"darkgreen"	0	""
"royalblue"	0	""
"midnightblue"	0	""
"lightcyan"	0	""
"magenta"	0	""
"brown"	3	" Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic"
"darkred"	0	""
"darkolivegreen"	0	""
"darkturquoise"	0	""
"tan"	0	""
"steelblue"	0	""
"sienna3"	0	""
"violet"	0	""
"darkmagenta"	1	" DARMANIS_FETAL1"
"greenyellow"	5	" Mural Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"yellowgreen"	4	" Cerebellum_Microglia_Neuroexpresso Cortex_Microglia_Neuroexpresso Macrophages Microglia"
"saddlebrown"	0	""
