"Total signals"	"Cell type"
"yellowgreen"	0	""
"paleturquoise"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"turquoise"	0	""
"yellow"	3	" Cortex_Oligo_Neuroexpresso Hippocampus_Oligo_Neuroexpresso Oligodendrocyte"
"blue"	0	""
"lightcyan1"	1	" Cytotoxiccells"
"red"	0	""
"violet"	2	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso"
"lightsteelblue1"	0	""
"darkolivegreen"	1	" DARMANIS_FETAL1"
"skyblue"	0	""
"lightcyan"	0	""
"brown"	0	""
"salmon"	0	""
"lightgreen"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"pink"	0	""
"darkorange"	0	""
"midnightblue"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"royalblue"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"grey60"	0	""
"mediumpurple3"	0	""
"darkgrey"	1	" Mural"
"orange"	1	" Tcells"
"white"	0	""
"darkred"	0	""
"green"	0	""
"darkturquoise"	0	""
"lightyellow"	0	""
"magenta"	15	" CA1_Pyramidal CA1.Pyramidal Cortex_GabaPV_Neuroexpresso Cortex_GabaVIPReln_Neuroexpresso DARMANIS_NEUROND Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic Ex2 GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso Interneuron Neuron_Interneuton Neuron_Pyramidal_CA1 Pyramidal_CA1"
"black"	0	""
"sienna3"	0	""
"plum1"	0	""
"purple"	0	""
"skyblue3"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"cyan"	0	""
"saddlebrown"	1	" Astrocyte"
"darkgreen"	0	""
"greenyellow"	0	""
"steelblue"	0	""
"orangered4"	4	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"grey"	0	""
"darkmagenta"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"ivory"	1	" Mastcells"
