"Total signals"	"Cell type"
"green"	0	""
"magenta"	0	""
"royalblue"	0	""
"blue"	0	""
"mediumpurple3"	0	""
"honeydew1"	0	""
"antiquewhite4"	0	""
"darkgrey"	2	" Dopaminergic_Neuron Dopaminergic"
"firebrick4"	0	""
"ivory"	0	""
"yellow"	0	""
"orangered4"	0	""
"lightcyan"	0	""
"orange"	0	""
"lightpink4"	0	""
"lightcoral"	1	" Cerebellum_MicrogliaDeactivation_Neuroexpresso"
"greenyellow"	0	""
"paleturquoise"	0	""
"maroon"	0	""
"palevioletred3"	1	" Astrocyte"
"steelblue"	4	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkred"	0	""
"navajowhite2"	0	""
"brown"	0	""
"grey60"	0	""
"darkolivegreen"	0	""
"brown4"	3	" Cortex_Endothelial_Neuroexpresso Endothelial Hippocampus_MicrogliaDeactivation_Neuroexpresso"
"orangered3"	0	""
"salmon4"	0	""
"lavenderblush3"	0	""
"darkslateblue"	0	""
"skyblue"	0	""
"pink"	0	""
"lightcyan1"	0	""
"purple"	0	""
"thistle2"	0	""
"black"	0	""
"plum1"	0	""
"white"	0	""
"yellowgreen"	5	" DARMANIS_NEUROND Dopaminergic_Neuron Dopaminergic Interneuron Neuron_Interneuton"
"thistle1"	1	" DARMANIS_MIXTURENEUOLIGOPC"
"sienna3"	0	""
"darkorange"	0	""
"saddlebrown"	0	""
"darkseagreen4"	0	""
"mediumpurple2"	0	""
"lightsteelblue1"	0	""
"plum"	0	""
"red"	0	""
"darkturquoise"	1	" Ex6"
"bisque4"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"salmon"	0	""
"cyan"	0	""
"lightgreen"	0	""
"floralwhite"	0	""
"lightyellow"	0	""
"indianred4"	0	""
"tan"	0	""
"mediumorchid"	1	" Mural"
"darkgreen"	0	""
"plum2"	3	" Cortex_MicrogliaDeactivation_Neuroexpresso Mastcells Microglia"
"yellow4"	0	""
"skyblue3"	0	""
"midnightblue"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"darkorange2"	0	""
"skyblue2"	0	""
"coral1"	0	""
"darkmagenta"	0	""
"lightsteelblue"	2	" Cytotoxiccells Tcells"
"violet"	0	""
"skyblue1"	1	" DARMANIS_FETAL1"
"coral2"	0	""
