"Total signals"	"Cell type"
"lightyellow"	0	""
"darkgrey"	0	""
"pink"	0	""
"cyan"	14	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Cytotoxiccells DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils Tcells"
"royalblue"	0	""
"steelblue"	0	""
"paleturquoise"	1	" Astrocyte"
"darkturquoise"	3	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"green"	1	" Mural"
"purple"	15	" CA1_Pyramidal CA1.Pyramidal Cortex_Endothelial_Neuroexpresso Endothelial Ex1 Ex8 Hippocampus_Pyramidal_Neuroexpresso In2 In4 Interneuron Mastcells Neuron_Interneuton Neuron_Pyramidal_CA1 Pyramidal_CA1 PyramidalThy_HIPPD_Neuroexpresso"
"lightcyan"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"red"	0	""
"brown"	0	""
"turquoise"	0	""
"yellow"	0	""
"white"	0	""
"tan"	0	""
"yellowgreen"	0	""
"grey60"	0	""
"greenyellow"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"skyblue"	0	""
"darkorange"	1	" Ependymal"
"sienna3"	0	""
"darkmagenta"	0	""
"darkred"	2	" Dopaminergic_Neuron Dopaminergic"
"black"	3	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_FETAL1 Th2cells"
"darkolivegreen"	6	" Bcells Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia"
"darkgreen"	0	""
"lightgreen"	0	""
"midnightblue"	0	""
"magenta"	0	""
"blue"	0	""
"violet"	0	""
"saddlebrown"	0	""
"orange"	0	""
