"Total signals"	"Cell type"
"red"	0	""
"brown"	0	""
"green"	0	""
"lightcyan"	1	" Ependymal"
"greenyellow"	8	" DARMANIS_NEUROND Dopaminergic_Neuron Dopaminergic GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso Interneuron Neuroexpresso_CortexD_GabaVIPReln Neuron_Interneuton"
"darkgrey"	0	""
"orange"	0	""
"grey60"	5	" CA1_Pyramidal CA1.Pyramidal Cortex_OligoPrecursors_Neuroexpresso Neuron_Pyramidal_CA1 Pyramidal_CA1"
"lightgreen"	2	" Mastcells Microglia"
"magenta"	0	""
"blue"	0	""
"pink"	0	""
"cyan"	0	""
"tan"	0	""
"salmon"	2	" Dopaminergic_Neuron Dopaminergic"
"darkorange"	1	" Bcells"
"darkred"	4	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkmagenta"	0	""
"violet"	0	""
"turquoise"	0	""
"steelblue"	0	""
"darkgreen"	0	""
"midnightblue"	3	" Cerebellum_Oligo_Neuroexpresso Cortex_Oligo_Neuroexpresso Oligodendrocyte"
"black"	0	""
"lightyellow"	0	""
"purple"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"royalblue"	0	""
"darkturquoise"	0	""
"darkolivegreen"	1	" Neutrophils"
"saddlebrown"	0	""
"white"	6	" Cerebellum_Microglia_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Cytotoxiccells Microglia Tcells"
