"Total signals"	"Cell type"
"white"	0	""
"lightgreen"	0	""
"sienna3"	0	""
"brown4"	0	""
"lightyellow"	0	""
"orangered4"	0	""
"darkturquoise"	1	" Astrocyte"
"lightsteelblue1"	0	""
"lightcyan"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"palevioletred3"	1	" Mastcells"
"violet"	0	""
"tan"	0	""
"salmon4"	0	""
"honeydew1"	1	" Mural"
"darkorange2"	0	""
"green"	0	""
"skyblue"	0	""
"lavenderblush3"	0	""
"saddlebrown"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"lightpink4"	0	""
"magenta"	0	""
"blue"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"purple"	0	""
"pink"	0	""
"darkred"	2	" Dopaminergic_Neuron Dopaminergic"
"cyan"	0	""
"turquoise"	0	""
"yellowgreen"	0	""
"grey60"	0	""
"red"	0	""
"yellow"	0	""
"orange"	0	""
"thistle2"	0	""
"grey"	0	""
"mediumpurple3"	1	" Oligodendrocyte"
"plum1"	0	""
"coral1"	1	" Mural"
"lightcyan1"	0	""
"bisque4"	0	""
"darkslateblue"	0	""
"plum2"	8	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"antiquewhite4"	0	""
"greenyellow"	0	""
"darkolivegreen"	0	""
"black"	0	""
"brown"	1	" Ex2"
"darkgrey"	1	" DARMANIS_FETAL1"
"navajowhite2"	0	""
"darkgreen"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"paleturquoise"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"darkmagenta"	3	" CD8Tcells Cytotoxiccells Tcells"
"thistle1"	1	" Microglia"
"maroon"	0	""
"darkseagreen4"	0	""
"ivory"	0	""
