"Total signals"	"Cell type"
"pink"	0	""
"salmon"	0	""
"grey60"	0	""
"lightsteelblue1"	0	""
"darkseagreen4"	0	""
"darkturquoise"	1	" DARMANIS_FETAL1"
"skyblue3"	0	""
"antiquewhite4"	0	""
"salmon4"	0	""
"honeydew1"	0	""
"darkolivegreen"	0	""
"coral2"	0	""
"darkgrey"	0	""
"mediumpurple3"	0	""
"lightgreen"	0	""
"darkred"	0	""
"brown"	0	""
"ivory"	0	""
"orangered4"	4	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Mural"
"lightcyan1"	0	""
"darkgreen"	0	""
"lightcyan"	0	""
"lightyellow"	1	" Bcells"
"bisque4"	0	""
"saddlebrown"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"darkorange"	0	""
"navajowhite2"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkmagenta"	0	""
"maroon"	0	""
"royalblue"	0	""
"tan"	0	""
"lightpink4"	0	""
"floralwhite"	0	""
"violet"	0	""
"skyblue"	0	""
"thistle1"	0	""
"black"	0	""
"palevioletred3"	0	""
"coral1"	0	""
"brown4"	2	" Cytotoxiccells Tcells"
"darkslateblue"	0	""
"greenyellow"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"plum2"	0	""
"lavenderblush3"	0	""
"blue"	0	""
"skyblue2"	0	""
"yellowgreen"	0	""
"cyan"	0	""
