"Total signals"	"Cell type"
"darkred"	0	""
"thistle2"	0	""
"blue"	0	""
"orange"	0	""
"white"	0	""
"darkorange"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"steelblue"	0	""
"cyan"	0	""
"paleturquoise"	1	" Oligodendrocyte"
"brown4"	0	""
"bisque4"	0	""
"palevioletred3"	0	""
"lightcyan"	0	""
"violet"	1	" Astrocyte"
"pink"	0	""
"darkolivegreen"	0	""
"sienna3"	0	""
"plum1"	0	""
"darkgrey"	2	" Ex5 Mural"
"darkturquoise"	0	""
"salmon4"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"lightsteelblue1"	1	" Ependymal"
"tan"	8	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Endothelial_Neuroexpresso Cortex_Microglia_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso"
"lightgreen"	0	""
"orangered4"	0	""
"thistle1"	0	""
"brown"	0	""
"royalblue"	0	""
"red"	0	""
"darkslateblue"	0	""
"ivory"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"magenta"	0	""
"lightyellow"	0	""
"darkgreen"	0	""
"turquoise"	8	" CA1_Pyramidal CA1.Pyramidal Cortex_Microglia_Neuroexpresso Cortex_Oligo_Neuroexpresso DARMANIS_OPCS Hippocampus_Oligo_Neuroexpresso Neuron_Pyramidal_CA1 Pyramidal_CA1"
"darkmagenta"	0	""
"floralwhite"	0	""
"green"	0	""
"yellowgreen"	0	""
"lightcyan1"	0	""
"black"	0	""
"purple"	0	""
"skyblue3"	0	""
"yellow"	0	""
"plum2"	0	""
"darkorange2"	0	""
"midnightblue"	0	""
"salmon"	0	""
"saddlebrown"	0	""
"mediumpurple3"	0	""
"grey60"	0	""
