"Total signals"	"Cell type"
"orangered4"	0	""
"tan"	0	""
"salmon"	0	""
"yellowgreen"	0	""
"turquoise"	0	""
"mediumpurple3"	0	""
"orange"	1	" Endothelial"
"violet"	0	""
"lightyellow"	0	""
"red"	0	""
"darkgreen"	0	""
"darkred"	0	""
"pink"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"sienna3"	0	""
"brown"	5	" Astrocyte Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Mural"
"skyblue"	0	""
"magenta"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"paleturquoise"	0	""
"darkturquoise"	0	""
"darkgrey"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Tcells"
"lightcyan"	0	""
"blue"	0	""
"cyan"	0	""
"royalblue"	0	""
"grey"	0	""
"yellow"	1	" Ependymal"
"black"	0	""
"white"	0	""
"green"	0	""
"darkorange"	4	" Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"plum1"	0	""
"purple"	2	" DARMANIS_FETAL1 Th2cells"
"lightgreen"	0	""
"midnightblue"	0	""
"greenyellow"	0	""
"grey60"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkmagenta"	0	""
"darkolivegreen"	0	""
"skyblue3"	0	""
"steelblue"	0	""
