"Total signals"	"Cell type"
"greenyellow"	0	""
"brown4"	0	""
"thistle1"	0	""
"brown"	0	""
"mediumorchid"	1	" Oligodendrocyte"
"darkseagreen4"	0	""
"lightpink4"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"yellow"	0	""
"turquoise"	0	""
"mediumpurple3"	0	""
"plum2"	0	""
"bisque4"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"tan"	6	" DARMANIS_NEUROND Ex7 GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso Interneuron Neuron_Interneuton"
"royalblue"	0	""
"black"	0	""
"navajowhite2"	1	" Cortex_MicrogliaActivation_Neuroexpresso"
"skyblue2"	0	""
"coral1"	0	""
"lightsteelblue1"	0	""
"darkorange"	0	""
"darkturquoise"	0	""
"blue"	0	""
"white"	0	""
"saddlebrown"	1	" Tcells"
"lavenderblush3"	2	" Hyppocampus_Microglia_Neuroexpresso Microglia"
"steelblue"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Microglia"
"orangered4"	0	""
"grey60"	0	""
"coral2"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"green"	0	""
"cyan"	0	""
"darkorange2"	0	""
"midnightblue"	0	""
"orange"	0	""
"antiquewhite4"	0	""
"darkgreen"	0	""
"lightcyan"	0	""
"pink"	0	""
"plum1"	0	""
"skyblue3"	0	""
"magenta"	0	""
"darkmagenta"	0	""
"darkslateblue"	0	""
"skyblue"	0	""
"paleturquoise"	0	""
"grey"	0	""
"maroon"	0	""
"darkolivegreen"	0	""
"darkred"	0	""
"purple"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"violet"	2	" Dopaminergic_Neuron Dopaminergic"
"floralwhite"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"sienna3"	0	""
"lightyellow"	0	""
"darkgrey"	0	""
"ivory"	1	" DARMANIS_FETAL1"
"lightcyan1"	0	""
"yellow4"	0	""
"thistle2"	1	" Mural"
"honeydew1"	0	""
"palevioletred3"	0	""
"salmon4"	0	""
